TRIAL	SIZE	INST		CYCL			RUNTIME (ms)
0	512x512	6585065097	4618237663		1194.3
1	512x512	6585063716	4569310284		1183.34
2	512x512	6585064608	4574026678		1179.77
3	512x512	6585063560	4560172759		1183.69
4	512x512	6585064505	4573975228		1180.27
5	512x512	6585063660	4572152878		1179.66
6	512x512	6585063307	4573829797		1178.96
7	512x512	6585064572	4570123955		1181.73
8	512x512	6585063594	4572742031		1179.59
9	512x512	6585063313	4556783502		1184.46

--------------------------- AVERAGES ---------------------------
TRIAL	SIZE	INST		CYCL			RUNTIME (ms)
ALL	512x512	6585063993	4574135477		1182.58
