Metric,false,master,close,spread
perf::PERF_COUNT_HW_CPU_CYCLES,"1688776004,1679053603,1683569870,1687122061,1669365138,1688642369,1685059013,1689499162,1688466059,1681110617,1688460370","1695082877,1686248342,1686134617,1685830868,1688162667,1687870399,1690619588,1692810715,1686115758,1689989652,1683985247","1683780434,1691272445,1693905591,1689527043,1690155237,1683583344,1688841033,1687249943,1690325860,1689316082,1688279100","1688098815,1687424985,1687507046,1690843988,1687130928,1684776714,1681631612,1693015079,1685225156,1676814172,1690876034"
perf::PERF_COUNT_HW_INSTRUCTIONS,"1573672226,1573686213,1573682494,1573695257,1573699440,1573719155,1573716923,1573721636,1573736148,1573737593,1573752781","1573673123,1573678437,1573685311,1573695735,1573722087,1573707573,1573724176,1573721712,1573740736,1573739278,1573764911","1573670139,1573677221,1573683789,1573691234,1573701158,1573707374,1573714193,1573724303,1573757578,1573737697,1573744884","1573671515,1573678125,1573685561,1573691149,1573719227,1573710569,1573713813,1573767970,1573775344,1573738832,1573746010"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"84428203,84429698,84429379,84434606,84437093,84436696,84438162,84440141,84442628,84443331,84446203","84429817,84432013,84430153,84433143,84434612,84434986,84438353,84441288,84444872,84450050,84445940","84431050,84431542,84431971,84434018,84437132,84438425,84438524,84461427,84463843,84446602,84446686","84425731,84428713,84432699,84432352,84437225,84436971,84452737,84440279,84463385,84444869,84446890"
perf::PERF_COUNT_HW_BRANCH_MISSES,"614931,624574,614373,624330,626282,628879,617525,629982,618110,628095,615801","618041,625064,614816,625481,614443,629033,615578,620023,625497,619358,617049","617349,613148,618475,616100,629946,630756,615471,621380,617254,614578,628781","623418,615598,613488,615807,615458,630053,620447,629060,625608,617924,617839"
perf::PERF_COUNT_HW_BUS_CYCLES,"12083121,12022012,12180635,12059311,12065373,12109492,12072829,12242266,12069053,12176196,12100748","12158203,12241084,12063112,12115798,12078517,12201764,12214479,12092347,12033619,12050244,12049885","12162051,12167738,6405564,12015420,12058616,12170864,12208908,12043280,12084699,12082849,12042310","12163691,12164356,12044235,12235358,12055725,12183315,12171002,12049607,12038620,12093445,12051448"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"1299916404,1301690628,1306918044,1304780616,1306397484,1307907324,1296949644,1309058172,1306408500,1303023780,1310934456","1302794388,1307823300,1304027640,1306132236,1288512360,1306406556,1301610168,1303551144,1302717060,1305850032,1303435044","1304926092,1298562516,1306068408,1302831756,1305742680,1305149652,1311910992,688802184,1302270372,1298969892,1296977400","1301440068,1301585112,1304557272,1303803216,1300278636,1303267428,1295112564,1299547476,1303281252,1303894584,1301821632"
perf::PERF_COUNT_SW_PAGE_FAULTS,"134,1024,91,351,1665,78,972,16,1730,16,101","1367,929,967,59,225,93,16,201,421,210,362","1368,375,765,569,131,178,10,1792,359,297,390","1362,372,156,56,377,390,16,708,106,213,646"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"604323051,604320823,604351988,604288966,604299141,604334411,604246411,604370929,604270950,604297147,604309142","604322209,604379461,604348226,604311956,604217665,604334028,604255653,604177353,604225694,604298011,604308954","604354520,604202284,604260319,604306611,604325150,604312085,604272556,604292322,604260664,604247678,604241795","604304273,604314252,604306426,604260252,604297037,604358878,604285633,604292501,604328493,604187686,604314626"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"132777108,132304745,131491578,132257931,132355483,132733749,132237214,132312584,132469628,132908331,132670191","132415517,132118580,132383564,132208555,133273245,132417443,132794794,133214031,133004399,132381034,133344092","131547958,133159316,132125777,132039550,132243454,132383137,132638815,132516305,132266913,132190653,133354552","132294241,132038850,132309058,132360082,132087602,131638869,132747594,127560291,131938644,133129783,131868479"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"89595960,89595534,89595919,89595703,89595874,89596821,89597531,89597601,89597429,89597532,89598604","89595078,89595583,89595870,89595669,89595820,89596759,89597344,89597028,89597619,89597680,89597956","89594529,89594962,89595194,89595625,89595893,89596441,89597280,89597209,89601720,89597828,89598146","89594634,89595740,89595878,89595650,89596052,89596621,89597323,89597221,89597554,89597785,89598076"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"612116,576604,592003,584886,623527,591137,586294,614007,591018,589385,582429","570237,595327,574213,575703,586811,578857,593025,561090,574127,591342,576881","600152,589001,562864,579781,567980,583637,575057,580906,559701,582306,582672","575288,568459,603688,606020,595801,560533,573348,588121,1658047,574474,554826"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"16833189,16755728,16841250,16791783,16712670,16666434,16773571,16806687,16749733,16800841,16758942","16639264,16722603,16577432,16756327,16719323,16638783,16780693,16691235,16775348,16707336,16688227","16782603,16808185,16752226,16735966,16767114,16727062,16705403,16714155,16699995,16709324,16789008","16745166,16768047,16787782,16720132,16688781,16756449,16763632,16630184,16745963,16718937,16700807"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"207492,190532,210784,182157,212763,227293,170381,205191,174852,210242,234669","203906,191532,200585,204781,191702,185728,176463,194856,248582,178192,183914","176262,181701,204624,183046,184039,187317,231462,192707,211443,200885,209379","194322,185370,202401,241517,212669,214086,192236,239593,201975,195173,196005"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"2048164,2028453,2031608,2018018,2050243,2014227,2019237,2043834,2038545,2031892,2015299","2043099,2037757,2027321,2026993,2049966,2040944,2063622,2042284,2046478,2052815,2029646","2034604,2019135,2066851,2056608,2049752,2035201,2016526,2056267,2047920,2027322,2061801","2040602,2041090,2051526,2054403,2055406,2034619,2028431,2024596,2050935,2031241,2051898"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"292356,269338,268325,256213,278914,270463,286436,280709,259871,271584,267569","263667,264457,263464,282035,279099,272254,272757,267605,289877,265228,266540","263781,264477,279317,265856,257078,262695,277663,284518,315499,268065,282760","272117,257192,290926,281492,283611,272854,275532,298156,294335,269177,272374"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"604221659,604289383,604364533,604270747,604310797,604280609,604283625,604369054,604253743,604323374,604279340","604297575,604348275,604312339,604314087,604266052,604224223,604278888,604199376,604216493,604287921,604222450","604361891,604278549,604320207,604350779,604288353,604328051,604296570,604202592,608055344,604312693,604292729","604273947,604203371,604281294,604281768,604319382,604366148,604285125,604278517,604306015,604251262,604358088"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"179,126076,67980,1095064,164079,148926,1204,180259,174708,80570,150600","103756,122609,104176,155134,1180,2504,178254,3018,396,156202,337","123058,645,140704,131204,142677,100136,317034,4984,155650,158165,83109","419990,5050,161818,401339,123781,129113,160168,154308,156289,194127,89117"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"89595138,89596026,89595275,89596001,89596314,89596313,89596739,89630120,89598276,89598291,89598053","89595273,89595009,89596173,89595625,89595976,89596280,89598262,89597265,89597363,89598398,89598603","89594573,89595200,89595838,89595680,89596597,89596360,89597079,89596986,89601099,89598182,89597900","89594545,89594919,89595862,89596033,89596840,89596901,89596971,89597326,89597810,89597756,89598008"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"337,2698,682,2194,4027,2318,2552,5111,4274,820,13375","2376,5543,7826,1253,654,102,2732,215,404,1365,281","3861,1180,3480,3369,2007,2782,2980,493,6431,2229,1023","1406,433,1440,3905,2223,7022,4471,2943,5308,2907,10739"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"635648211,629761294,635874998,635601447,637607800,639954779,630782013,639887294,633894459,634645944,644838637","634371530,635939341,631682525,632740757,627806520,633999629,634563180,630780003,638512866,630962680,629679694","631777963,631611601,639649595,633915101,633661052,632298518,639073784,631279851,635168891,632462683,635198747","632546680,633384020,631759485,641142956,631212939,636966666,630211645,638961838,633744035,635331174,635840531"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"428560218,426883297,428207288,429505757,430776617,435254941,430885594,433794039,427220254,431611979,436038382","428484900,432128070,426216490,426281164,420502615,428703191,426996874,427725364,431449421,424565049,424475487","431726011,427973833,426739109,426076819,429353721,429444319,431574117,427749662,430833458,431486057,425627415","432630880,425747991,425635432,434014142,430362071,435566194,424440336,427921374,241785420,428525355,430124745"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"23760185,22431068,20676610,21599534,25171759,30998892,25994238,27165391,25551670,27077962,33031913","23978018,20513984,24851348,21181059,20662090,20243964,22359210,21079267,26499477,22149899,22034135","20510481,20983780,21817404,20097713,22625420,22810888,30049995,22025676,21180159,25136384,22155485","22004144,21423696,23727541,35645902,22598480,27253015,21789028,25389152,22845962,25334913,27084523"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"410568333,408274367,411922049,411773925,417872535,418682109,411892981,419848990,415036522,415679008,424023527","411600341,413780675,406880333,411017342,411157280,407618074,410608117,410641498,419644997,406952517,411446431","409239268,408139212,418330953,412574004,415350898,409917389,415594970,408983556,227428367,414449534,414788348","410222112,405699404,408580354,430553034,411349837,412345024,406442789,410898521,416405787,415343891,415640065"
CYCLE_ACTIVITY:STALLS_L2_MISS,"317185798,318439234,320567385,311991206,312041474,320171993,311926809,319776181,315394321,317463810,322847201","319280603,318416406,316369484,317392174,309060160,315764264,314516028,316305771,317944057,315657964,311480693","314890000,316748052,315350602,311314248,317308128,317104285,314116858,313935600,316928882,316516103,317213764","312074238,315204656,315373423,324763983,317257660,317079797,313747490,317172246,317318868,311787575,317378128"
CYCLE_ACTIVITY:STALLS_L3_MISS,"23861769,24152666,17436134,23618285,22255705,28481983,20799403,25698089,23145910,24268743,28940338","20687362,20192688,23589420,24728791,19157053,17620446,23719046,22793659,25692696,19418753,18550880","22865159,19422420,22447536,19224477,21835779,20058885,20591124,20562876,20804079,21538587,22715830","22122681,17834806,21780576,33172202,21022168,20225624,20482403,26717636,25182942,20560503,23191754"
RESOURCE_STALLS,"692133246,691111280,688263922,695012103,687815929,709320756,690174689,712975768,702477932,705557224,718054253","694491820,694694415,688885649,695785550,686170242,688963787,692265312,696218701,693559702,694702500,692558375","704819053,693009339,695699665,683249594,693464114,688569594,710858718,688866274,682368276,688514907,707893481","691657036,690786766,692606254,706903341,685483906,709479370,697665979,696642234,410339675,694456385,704358461"
L2_RQSTS:ALL_DEMAND_DATA_RD,"45610487,45133830,45610307,45465188,45582006,45412570,45423104,45424862,45459999,45692927,45304819","45173610,45441788,45332839,45124314,45560128,45583718,45367424,45524211,45396915,45349624,45491805","45392486,45517280,45511633,45574063,45370768,45374439,45507707,45693150,45390149,45220550,45474634","45279902,45498287,45458527,45128409,45376266,45492659,45514793,45354264,45371132,45604180,45647558"
L2_RQSTS:DEMAND_DATA_RD_HIT,"29734179,29513327,1719761411,29507910,29674838,29550678,29660439,29522611,29623773,29679356,29610619","29473220,29644411,29549809,29440988,29721836,29797972,29599936,29795894,29429758,29656242,29700954","29438564,29675178,29624508,29787339,29459099,29526023,29662978,29814429,29053645,29414237,29595415","29507787,29813048,29686620,29240350,29485704,29614743,29674783,29631014,27799004,29797220,29804283"
L2_RQSTS:DEMAND_DATA_RD_MISS,"15814870,15886828,15874281,15804194,15938364,15825763,15864250,15852294,15868729,15844955,15859590","15798204,15829487,15767232,15763204,15664762,15874215,15629789,15798942,15888889,15818041,15903612","15886878,15866865,15857033,15850608,15834813,15896935,15844851,15885977,14472145,15794296,15885557","15859208,15939848,15897135,15743377,15813439,15841326,15826180,15753401,14528496,15877180,15909362"
L2_RQSTS:ALL_RFO,"9892010,9893639,9919860,9902516,9943540,9902891,9919685,9953592,9900342,9898468,9897635","9931914,9903713,9891353,9907051,9910761,9917512,9920439,9907549,9927834,9898233,9925274","9873293,9907232,9932635,9901630,9899619,9896391,9906511,9926441,9903669,9943453,9883882","9888141,9721690,9885000,9933314,9915442,9917426,9912785,9714177,9681699,9906302,9884532"
L2_RQSTS:RFO_HIT,"8016877,8038939,8044213,8068678,8068714,8060433,8089075,8095101,8027558,8030323,8032669","8022399,8041989,8056773,8046259,8052374,8033281,8030152,8042956,8064291,8021080,8052687","8044166,8048653,8058177,8020175,8037580,8038050,8053824,8051888,8032685,8079604,7744010","8021985,8061988,8020075,8055990,8036917,8046206,8057209,8037680,7595018,8042901,8021345"
L2_RQSTS:RFO_MISS,"1716710872,1857857,1871967,1836918,1866123,1830069,1847448,1864867,1861531,1861212,1854306","1863102,1880820,1857264,1850195,1867673,1877718,1871560,1858485,1871736,1866135,1858594","1855149,1863798,1898383,1859551,1875002,1873446,1848900,2036351,1868265,1853238,1865073","1872418,1868562,1880848,1862826,1898560,1852302,1864196,1876268,1876000,1887804,1872745"
L2_RQSTS:ALL_CODE_RD,"577762,568356,573879,576536,585390,572190,593210,602102,569639,582032,560498","582169,578263,548527,542286,538150,538177,568786,554537,571332,553294,541565","557920,553791,583645,570549,585072,552447,556138,579503,990418,583569,600179","564633,556661,582898,567343,570695,559042,550572,549098,572380,566105,539648"
L2_RQSTS:CODE_RD_HIT,"209299,199896,212333,197570,216155,222571,212046,217382,186415,180432,187533","185933,199408,199365,189328,174578,181871,219602,188168,200869,202143,190271","180130,202324,186178,203644,190990,201052,227246,196306,1094637,234460,221743","198638,165628,177717,213501,202636,191439,198791,193796,412952,211347,209692"
L2_RQSTS:CODE_RD_MISS,"377977,362649,369406,368176,369587,368691,362761,375723,381507,380168,368543","352889,370123,360395,344730,367599,365169,354646,367590,361500,359979,356273","364051,366446,364240,372671,365029,369188,356666,361182,382892,359783,363111","361668,360193,361458,354298,367610,374872,362858,388505,362763,361728,364739"
L2_RQSTS:ALL_PF,"122632885,121603241,122778125,121803675,122326466,121958261,122461432,121419103,122101793,123088895,123015447","122496732,121473743,121725654,121831233,122736193,122830407,122722141,122617297,123000210,122361459,122756358","120459395,122650939,121740834,123073699,122032631,122113064,121659872,122490501,121607586,121612527,122829577","121603693,122305763,121759613,123999468,122378620,121537601,122735266,122181841,122219064,122196681,122543833"
L2_RQSTS:PF_HIT,"1715306417,72813522,72842680,72108085,72169339,72286209,73039127,71727044,72411432,73391924,73047464","72791553,71950727,72138564,72484159,72427127,72932725,71680689,72336987,72780952,72376951,72661072","71313242,73172828,71068337,72599827,71586473,72154526,71955588,72487109,71904897,72458608,72794663","71879207,72766055,72035627,74178133,72355287,71680813,73200040,72396561,72062867,72339714,72568464"
L2_RQSTS:PF_MISS,"49847982,49035508,49785464,49415302,49983416,49395819,49460581,50114853,49781581,49697323,49990448","49909611,49678954,49859165,49250829,50182681,49913465,50712813,50235053,49859351,50350572,49975980","48941868,49482863,50720324,50460385,50090575,49702161,49729462,50023627,49694487,49248466,50115808","49691454,49614746,49407433,49701904,50086622,49602282,49830842,49388509,50153891,49870897,46220652"
L2_RQSTS:ALL_DEMAND_REFERENCES,"56119766,55802111,56098696,55712633,56163989,55629118,55922066,55810959,56067983,56020229,55713211","55902428,55847970,55768214,55729795,55999780,56112971,55942460,56103562,55748945,55822966,56062971","55810732,56070048,55976503,56113600,55798919,55833679,55920729,56164497,55839580,55734603,56052800","55671913,56090317,55917246,55587620,55793019,55851513,55917612,55837321,55828872,56024538,56147410"
L2_RQSTS:ALL_DEMAND_MISS,"18189164,18145395,18147255,18081741,18166917,18027713,18026368,18125919,18125542,18121216,18075743","17842346,17968742,17976683,17960881,18042163,18151228,18066632,18023049,18099520,18020794,18039495","18059067,18097176,18014137,1717182378,18065427,18002219,18019270,18065254,18093691,18014545,18112532","18035492,18055798,18024127,18137685,18001918,18034952,18135224,17984922,18056693,18016608,18107573"
L2_RQSTS:REFERENCES,"178351431,177843558,178431395,177348870,179078696,177676445,178396281,177602598,177880577,179233789,178888496","178925739,177727644,178261992,177652053,178763745,178326278,178237502,178592445,178456167,178370015,178962152","176305551,178507441,177875562,178761540,178049817,177910845,177753078,178946936,178878623,177402942,178893307","177154414,178788642,177842559,179310902,178233512,177351883,178726666,177652350,179436569,178599179,178755750"
L2_RQSTS:MISS,"1716653604,67205507,68033841,67518683,68201978,67525573,67463481,68082201,67788474,67794472,68204279","68042192,67768915,67792539,67243612,68456628,67981261,68764981,68306787,67861031,68290118,68104692","67033623,67590410,68806877,68642932,68491182,67835996,67711641,68138711,63320738,67220666,68179237","67799007,67876913,68239260,67759077,67969916,67721692,68040027,67444321,66337844,68070920,68031363"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"16837968,16830831,1718875197,16768562,16788460,16746014,16718299,16847486,16723508,16795238,16746247","16710352,16720174,16780940,16708377,16576382,16810817,16714587,16724922,16821869,16680800,16764829","16782882,1698056750,16728340,16825198,16788679,16711597,16654751,16737458,15612435,16704355,16757592","16535136,16829277,16722430,16768221,16681476,16757174,16780397,16705447,15686344,16726432,16790424"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"2044451,2055288,1717759548,2050861,2038490,2006739,2018047,2042453,2036579,2026631,2027760","2030573,2037043,2020753,2016370,2034029,2043273,2068194,2043490,2036749,2044640,2042198","2028158,2073546,1725719587,2048284,2039597,2078569,2026039,2054162,2359717,2019453,2044043","2087080,2041133,2056475,2051553,2053432,2035107,2024965,2034963,2048223,2033257,2050446"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"1717221279,371841,364125,393862,371571,366071,369846,364143,365287,378903,367718","361245,378299,364365,352723,361622,359065,357990,365100,366908,368195,357487","362587,405168,364050,397748,372106,404848,351426,368643,621396,365896,360762","369866,363960,363946,394680,357889,373135,356511,375271,392813,352420,370285"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"15583718,15043353,1716347023,15577393,15657679,15447166,15157167,15541638,15478188,15239780,15869834","15770763,15247339,15424487,15161719,15863724,15307393,16010145,15863533,15749647,15715152,15584141","14855677,14995510,15977075,15807268,16165960,15314847,15295119,15277908,15592640,15087318,15674437","15434278,15299172,15644411,16092460,15410859,15294726,15347330,15436094,15849412,15321871,15266119"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"3604644,3667396,3633265,3647295,3616530,3595793,3579595,3592122,3676530,3641605,3663445","3643309,3710519,3634487,3603638,3765593,3735405,3731755,3708704,3631739,3685889,3643036","3632596,3641477,3733327,3695318,3693919,3620157,3593123,3615793,2347978,3573658,3615346","3614644,3705346,3648030,3742405,3661861,3638212,3660614,3597209,3658534,3596139,3669411"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"1716695886,1695954076,29438163,29346661,29423033,29014256,29443165,29489756,29408788,29548085,29157937","29251011,29531221,29571366,29257888,29542701,29718934,29603917,29633578,29107632,29460172,29623786","29282267,29680521,29841223,29864919,29544153,29504722,29540258,29912647,21647025,29275149,29529286","29447140,29622697,29507517,28694217,29575734,28837308,29456219,29386219,29307340,29575011,29742821"
Runtime,"3.976,1.993,1.027,0.684,0.515,0.413,0.345,0.296,0.26,0.231,0.209,0.256,0.237","5.134,2.622,1.377,0.924,0.71,0.567,0.476,0.408,0.357,0.318,0.286,0.261,0.239","7.573,7.689,7.87,8.112,8.112,8.411,8.702,8.626,9.005,9.271,9.255,9.222,9.534","5.13,2.616,1.377,0.925,0.717,0.568,0.476,0.408,0.357,0.318,0.285,0.261,0.239","3.78,1.999,1.065,0.723,0.557,0.449,0.382,0.336,0.3,0.272,0.252,0.23,0.215"
