Metric,false,master,close,spread
perf::PERF_COUNT_HW_CPU_CYCLES,"1680892403,1686970927,1673623047,1687099004,1686453948,1686695941,1691125126,1688872164,1691747493,1687674485,1694568872","1666849371,1702446409,1685976318,1654375320,1696627021,1671883679,1689649859,1688347100,1691995834,1688109484,1688108186","1690045440,1668813362,1687450192,1684892754,1696623858,1689263558,1686263153,1694390199,1680483840,1676262019,1686384942","1688165691,1692305617,1674121546,1689151900,1688879622,1692014568,1688055843,1688563607,1688074800,1688257987,1690818534"
perf::PERF_COUNT_HW_INSTRUCTIONS,"1573676192,1573685794,1573682999,1573710963,1573705879,1573718756,1573723884,1573721188,1573739922,1573737093,1573767025","1573672825,1573679102,1573697636,1573694351,1573699738,1573716750,1573719164,1573725519,1573749982,1573737360,1573746416","1573690108,1573678173,1573686916,1573700481,1573699839,1573710077,1573714712,1573723204,1573729769,1573737409,1573745728","1573667598,1573680737,1573686767,1573698640,1573702152,1573707757,1573716239,1573724302,1573775463,1573740468,1573743176"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"84428127,84432813,84430586,84439268,84435368,84442304,84441719,84443155,84449343,84447190,84445415","84431853,84429173,84433333,84435173,84450800,84438042,84446203,84442188,84444683,84457986,84449635","84429046,84427191,84435936,84434886,84436787,84439718,84441751,84461521,84443356,84443005,84448453","84429666,84430971,84443801,84434524,84433931,84440005,84441743,84454131,84463714,84444933,84452452"
perf::PERF_COUNT_HW_BRANCH_MISSES,"619694,611594,615214,616140,623480,613533,614774,627897,606680,613913,625077","611171,619355,629600,612798,620546,616876,616433,616053,617574,624950,626764","614135,613061,626844,616578,632706,628403,615486,632065,470359,614598,612392","616445,626061,631516,617168,625954,616303,616271,625460,619823,616304,632460"
perf::PERF_COUNT_HW_BUS_CYCLES,"12064991,12202135,12180019,12045595,12060030,12022756,12079192,12177778,12035369,12173132,12065414","12182907,12218632,12032594,12161317,12022939,12210856,12057006,12051202,12030697,12003792,12098400","12202003,12190172,12089762,12120898,12093138,12232469,12210807,9735303,12045245,12079560,12090551","12264249,12185087,12080477,12099531,12037833,12197714,12220753,12113383,6393213,12071263,12131015"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"1299178116,1299459564,1302245208,1300806540,1297445364,1302004368,1292316984,1303021080,1306526112,1301856840,1300884948","1307439036,1307893932,1286424936,1304825112,1306028664,1301316084,1303321104,1301649264,1302339276,1298917836,1300977072","1304304552,1303108128,1301185512,1304183376,1298804328,1306440792,1303799652,686706660,689306112,1303914780,1301079132","1301318568,1303792848,1307398428,1300616784,1304464392,1309627764,1303764984,1305225144,689260752,1302018948,1306679364"
perf::PERF_COUNT_SW_PAGE_FAULTS,"790,1467,138,1696,347,747,610,1521,1640,98,383","1360,880,843,59,1692,460,1605,51,564,1649,333","558,767,729,8,34772,1633,16,1212,40,152,410","221,332,562,817,812,246,1089,1427,299,455,440"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"604254782,604259826,604237664,604275981,604287069,604272753,604198678,604355279,604320609,604330955,604264459","604296765,604290332,604321732,604268743,604312954,604315686,604289948,604287705,604283245,604271659,604287967","604280494,604251273,604251409,604260500,604215766,604415163,604365609,604259711,608057184,604317002,604306810","604353060,604292118,604316147,604288095,604335972,604326000,604337963,604250563,608056821,604232913,604327561"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"132223079,132837292,133631752,132300987,132573883,133852684,133586720,131809329,132395011,132232282,133630613","132380517,132511531,132434595,133089139,132086911,132879082,131812667,132281107,132786725,132031472,132214576","132473922,132794109,132346548,132325569,133243118,131777194,131965078,132322164,132412032,132443904,132172406","131695016,131986064,131753360,132166686,132400719,131850084,132655185,132295601,132238543,132910828,132127482"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"89595190,89596466,89596836,89595737,89596507,89597631,89597460,89599192,89598215,89599032,89597993","89594648,89595250,89596237,89596148,89596629,89597052,89597207,89597424,89597856,89598266,89598160","89596543,89596589,89595892,89596422,89596166,89596554,89596542,89597624,89597432,89600660,89598253","89594619,89595602,89595711,89595626,89596562,89597480,89598840,89598782,89598580,89600429,89600545"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"566895,580414,599527,592102,578673,570335,597420,635850,585153,591897,604172","606486,600814,596271,576963,570406,589109,601711,561256,574724,576404,566969","600306,587545,585032,632419,570315,587007,595895,582738,578972,576139,588431","577860,559592,605908,574981,585928,572827,592489,584103,615195,587986,567470"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"16718251,16716006,16666581,16592018,16800981,16806821,16752750,16660775,16762676,16746525,16751779","16676203,16755377,16715878,16672948,16611040,16761953,16596640,16674401,16771024,16499209,16744132","16759084,16736914,16758268,16688421,16729179,16764910,16700924,15631482,15670714,16699195,16764408","16664820,16671632,16667861,16651131,16718332,16659809,16688202,16605296,16698482,16753730,16591627"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"214315,187858,190869,209166,164112,177290,175580,194297,192374,202534,194640","211441,210215,184270,184183,191731,204986,193320,183951,188585,191900,186277","203275,191899,191601,190086,195577,185779,186574,203073,184297,206099,171156","200404,183671,190768,186430,190975,182724,220889,231156,203130,190737,210284"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"2008611,2021249,2025703,2029459,2021782,2021612,2023207,2041599,2007590,2009203,2028718","2062082,2023357,2033736,2038150,2035402,2030187,2023240,2010980,2010338,2004570,2004813","2020735,2038341,2030696,2017966,2024403,2024333,2022856,2011381,2205762,2014202,2021890","2043204,2000153,2096578,2047281,2014766,2054515,2011709,1999690,2512272,2036487,2048607"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"282319,260741,277722,280087,255051,268213,277326,260941,271152,275517,269540","289895,274862,264262,267808,268952,279053,279665,271237,255525,273629,252797","277779,260800,272645,264962,258685,254608,268763,277249,300233,280651,260981","270764,266707,270428,263546,263699,265040,275075,273321,258360,270734,276693"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"604243916,604250996,604232179,604327727,604292546,604218694,604263989,604369222,604268298,604324682,604269643","604285880,604249680,604281880,604285293,604322712,604303853,604288635,604290935,604310372,604268264,604317158","604189538,604236439,604294029,604275349,604219462,604403527,604364369,604294129,604298651,604293854,604313550","604360325,604268293,604294796,604306369,604239766,604354062,604345083,604305854,604317811,604272896,604347398"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"8031,119999,67358,150847,151856,452,157371,170321,3523,167784,70138","98975,73315,103648,153680,156928,609,2578,167212,2684,1372,154541","657239,68066,146846,156275,242,120210,162196,155286,152098,156900,70967","118341,400167,3734,111458,71093,93483,172563,164842,148127,47320,111456"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"89594471,89595545,89595793,89596065,89596613,89596826,89597333,89597667,89598338,89598623,89598538","89594927,89595349,89596711,89596387,89596541,89597015,89598444,89597566,89597826,89598177,89600141","89594648,89594748,89595740,89596064,89596198,89596596,89597088,89597727,89601483,89597593,89598596","89595438,89594908,89595223,89596734,89597627,89597150,89597344,89599102,89598298,89601678,89600222"
