Metric,false,master,close,spread
perf::PERF_COUNT_HW_CPU_CYCLES,"1422185945,898433630,819005685,763405067,729287218,956360869,1750698186,2265750077","1438478685,1024006902,887352317,885973237,907806179,1254271085,1655646530,2111833737","1446627699,991570210,828394565,788387618,759027635,913269630,1136760172,1648642431","1432067202,969058475,830829781,765842789,758697807,966024417,1432408823,1656378618"
perf::PERF_COUNT_HW_INSTRUCTIONS,"2563355519,1576022482,1202392864,1019999751,912821740,548282404,591774258,1808951453","2563355378,1577813122,1205936486,1025791822,920414917,767430436,787436798,807591650","2563355386,1575914482,1202364932,653367432,912718806,750839990,760239252,1068102774","2563355111,1575906847,1204477545,1019949213,912702347,607317652,1054747094,755411536"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"104039689,85139784,77814179,74681811,73107527,177878140,714315272,322485058","104038837,85644040,78852068,76251046,75263701,77599320,83296603,89060830","104038841,85092909,77797489,74679623,73071521,72975586,730836734,430093857","104038561,85091628,78837444,74666704,73067278,176671468,969865763,386489624"
perf::PERF_COUNT_HW_BRANCH_MISSES,"536262,441825,422481,400017,392881,574335074,442245266,176989553","534724,439872,407632,396029,388896,392286,391411,390500","507053,451171,418077,400565,389623,409358,508274156,136210049","560873,437944,420269,394303,389876,522195164,875342260,224048069"
perf::PERF_COUNT_HW_BUS_CYCLES,"10631285,7027460,6846038,6570999,6299878,7880580,394953949,241829216","10495524,7434806,6779489,6531606,6883183,9143950,12221181,14873334","10532780,7232803,6552760,6166453,6307892,7975241,570592064,234427734","10457418,7428998,6318002,6204216,6222828,7524315,56727436,13872376"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"1146309300,761454000,723166380,691286400,696677760,848598660,1496662907,1727593515","1146621852,788104836,723640500,704433348,731123820,996203448,1306919016,1619761968","1138624884,766280088,693562068,665515332,673815024,853150644,1140029424,1302061500","1133224128,781700220,664110792,684082908,660273768,835106845,1407847824,1236926638"
perf::PERF_COUNT_SW_PAGE_FAULTS,"16,32,42,1702,1743,780092204,674171328,591687568","15,68,1038,557,13,583,1650,874","15,1580,1607,645,526,536,44508422,648595061","14,10,212,558,0,893,133965076,401621428"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0,572299220,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,88991812,89226017","0,0,0,0,0,53087043,413241023,222051731"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0,1343171389,650360315","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,222631684","0,0,0,0,0,550618906,44798112,649431726"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"1026633410,864571924,776555138,368040874,320913436,606010534,426413714,492775235","1026633663,608651070,447452387,368852513,321958983,250544032,253295691,256279758","1026633668,608380112,446930035,368026483,320884621,248299907,249883449,247100427","1026633490,608376359,446937676,368021814,574571726,556070267,245708411,558876720"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"206497093,129339069,96781567,81393113,72439452,56556835,59135353,301760800","205693323,128852179,96395302,81593719,71307598,55915441,56088160,56640206","205685589,128193475,96392207,81694102,72510189,56697656,565105317,285839417","205016180,129686074,97382514,81500493,72146546,100604623,105337162,146525299"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"122559610,89612959,779192359,73472761,70285418,65177158,162862527,140164560","122559847,89606471,78758200,73466564,70278804,65178936,65178982,65182674","122559847,89606757,78759338,73467467,70278055,65249856,211441090,963520682","122559847,89605475,78761445,73465735,70278508,65183684,109932789,287354823"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"376290,880262291,494025,470722,449102,457853,283533022,188000295","372763,472320,461817,483491,455559,453538,439576,461318","379140,467544,476286,451631,479624,469802,47861172,314952458","376287,470468,466019,495252,424432,444163,510903,225823719"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"30410786,10396878,7345374,5504218,4157496,619090421,90872574,357126875","30346491,10222442,7296542,5566431,4215430,2472787,2453139,2502950","30436325,10345876,7316923,5582358,4198106,522182437,2418894,449417235","30351438,10248367,7326357,5555814,4163066,46603053,259953200,3958147"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"243169,151731,799939457,118759,113942,113473,100624,573852105","251865,157950,125958,111977,122870,101220,104313,112225","222631,161896,138122,113379,110542,104788,267086539,267127799","219905,145727,131958,112697,587403438,122107,233804923,268034118"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"4540283,3419117,3135047,2912376,2736719,196112263,2540662,2569145","4341191,3499217,3062339,2983830,2843961,2626280,2694933,2662459","5013959,3474914,3078661,2968651,2821198,2526019,517600681,225409643","4301689,3454785,3085635,2963837,2852590,2678710,971360911,313815714"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"279321,880395738,295177,270207,260790,269530,265369918,88381887","292410,280681,261145,257109,274990,251817,256021,268781","283564,286411,285098,251606,265586,269608,181328060,630871702","281680,290469,300248,280261,282638,265648,233443,89385402"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"1026633492,608404902,446935519,368050803,320916630,675171565,842917518,804305130","1026633711,608649416,447434151,368814215,321985864,250510771,253396759,256292121","1026633715,608380861,446929384,368031185,320892284,248300673,426527226,472372495","1026633657,608376592,446937625,368023211,320892112,524885253,333944249,247147560"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"50,1069123,799247923,78371,189,52331345,47431,964016779","6984,92385,38430,7703,52595,34982,39997,43564","7011,95265,65092,119,5613,46296,30089,178087000","9606,6094,15473,118,5654,9137,913511866,44995247"
