Metric,false,master,close,spread
perf::PERF_COUNT_HW_CPU_CYCLES,"1412862272,923646577,778825345,748990600,755844848,966392059,1760299476,2288325467","1417738931,994466264,905803526,896406871,919352915,1265788634,1692156242,2118828303","1441354500,979547676,836938255,783092167,767355887,895541524,1152170475,1384013374","1444077547,950766787,814595803,1203053855,754475370,947815972,1471638696,1667384469"
perf::PERF_COUNT_HW_INSTRUCTIONS,"2563356142,1576241370,1202423932,1020088681,912810787,703368419,965306310,1340336354","2563355408,1578003666,1206026039,1025426335,920393093,767182782,787395319,807543477","2563355384,1576034116,1202395156,1020030343,912732542,750873451,898786898,710248272","2563355416,1575914338,1202425373,1019719965,912739388,749946522,994095043,1111909605"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"104039800,85232191,77833441,74711192,73109258,72593331,456098815,971234720","104038866,85579317,78832590,76353495,75091881,77509307,83251043,88494360","104038852,85143381,77811808,74698790,73082017,73024315,728914847,385981898","104038867,85094979,77823903,74575374,73086882,72592918,131453705,254274949"
perf::PERF_COUNT_HW_BRANCH_MISSES,"518213,452556,421038,395441,391954,105646659,94755533,740770303","537613,434995,418280,397623,388916,406346,394538,394670","518836,449184,417537,398764,392161,397019,690076370,180993848","508428,441264,415348,579556,389022,53220484,953552188,398136"
perf::PERF_COUNT_HW_BUS_CYCLES,"10711784,7174104,6513601,6579012,6203231,8175605,242994619,379951398","11103126,7649859,6945638,6742203,7107457,9209345,12424069,15027840","10481035,7582247,6686266,6617655,6564049,8669204,109985019,453366846","10411975,7475342,6790798,10020062,6716354,8069235,145491473,11417007"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"1156637124,770221548,697193568,679436856,713877840,912183009,1632323787,1962250488","1126723392,811766016,736039656,725993496,758189160,1002084156,1329853140,1622406240","1131799392,812878524,721252188,684128484,701662392,910581264,1063328903,1473827753","1125007704,790879140,718557048,1056503628,692416296,868713911,1460286593,1625779697"
perf::PERF_COUNT_SW_PAGE_FAULTS,"15,369,13,837,362,150110062,383558845,959057491","16,943,556,557,0,603,316,404","16,1161,934,565,1171,1299,1569,133402830","16,553,311,564,960,529,44356104,177903554"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0,284454255,242299764","0,0,0,0,0,0,0,0","0,0,0,0,0,0,135754296,222600399","0,0,0,0,0,595185751,189844812,790112521"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,636279104,0,51111729","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,312003030","0,0,0,0,577462869,0,214834951,222638927"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"1026632727,608467608,446953329,368068115,320915224,344599842,253495335,892032383","1026633419,608620918,447473541,368806120,321890467,250458245,253314811,256306847","1026632901,608411829,446938773,368043080,320892617,248328768,660206104,247109979","1026633687,608379229,446944862,364269588,320897419,248066568,301592103,561183144"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"206536445,128308542,96417669,81320929,72095295,517001668,479822250,978422055","206809553,128163147,97835471,81407956,72490597,56882939,57457931,56961866","206888326,129449512,96348245,80820272,71538562,502015556,55729546,1093600933","206848300,128795734,96421932,84248116,71968247,56919047,60042648,103250760"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"122559610,89628717,78764538,73476417,70285044,65185074,887603659,1688233913","122559847,89606018,78760609,73467973,70278476,65166102,65177035,65180355","122559847,89614774,78761803,73471115,70280800,65256966,790439818,332605795","122559846,89606504,78763123,73449891,70281868,65179081,65199664,109760770"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"370687,499743,435790,675069644,451720,150225160,101173739,580474234","375836,441281,457341,454842,408579,438630,425006,435708","379813,494663,508323,439794,460046,488976,134045428,881583611","381297,446363,457480,518056,422013,449661,142108024,223700566"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"29883057,10311872,7329111,5518542,4162156,46615128,188530762,897222592","30192680,10095542,7220833,5482836,4121432,2504626,2497531,2515611","30196834,10258868,7374067,5577239,4200228,2410649,2414768,180547419","30418180,10218450,7310065,7086495,4170927,2479389,928216594,226218330"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"360736,205133,161474,189909,131438,236538,807905140,430876290","273149,166952,137378,118304,166795,103221,225806,105044","272909,241757,237368,129961,227962,114557,136354768,222429605","272597,176075,149427,151590,123665,695406080,266007786,222569329"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"4126423,3325549,3064405,2938232,2764661,2633779,374320554,234901190","4335214,3421624,3088574,3047412,2828562,2682124,2640771,2695217","4542501,3413034,3060704,3020721,2841189,2479295,2610994,91340446","4274724,3403541,3096858,2457065,635320194,195174619,832961511,898439262"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"296870,307622,301759,675515038,299548,292941,286910,419493253","308020,300930,275289,284246,316877,259962,308684,268147","308064,350304,336652,288129,348982,328953,45083831,45108724","306364,308196,290606,281246,297609,52576907,55924691,630464836"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"1026633472,608469447,446946511,368067127,320911053,657904704,517018264,1219293365","1026633680,608619411,447445570,368806768,321832444,250512410,253118565,256315307","1026633645,608412074,446939118,676245615,320901043,248322094,709452497,1088130448","1026633687,608378693,446944343,364274103,320900943,248071401,401716833,380152805"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"41596,55850,43772,69619,63840,52872652,323925701,190661825","39,94386,53,66,50,97,13289,190","47,75,110,3726,46397,37240,133473592,27006","50,92496,2055,40902,26628,44304,44488634,177956121"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"122559610,89629018,78763803,73477162,70286803,215007950,618473199,252016232","122559841,89606081,78760929,73468649,70279509,65166386,65179773,65180849","122559841,89614688,78761698,73471084,70282323,65261086,199022737,287951044","122559840,89606231,78763419,73448458,70283178,65180581,65136610,198590820"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"158,610,245,720148103,879,1519,274811132,461980868","105,11787,189,209,77,283,201,2805","224,561,86,817,760,11340,44336187,945438950","222,1193,809,688,694,514,55828262,44628140"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"717223031,395459107,714042878,253923521,224488055,203524565,561772839,1075302388","761208796,444184287,351860384,283445974,250190436,207926424,211583155,212289258","776971758,463126455,343792692,674247489,261421836,204675184,281521903,942513633","763123136,440326360,339316226,373784041,250313248,190509855,255704841,391202201"
