Metric,false,master,close,spread
perf::PERF_COUNT_HW_CPU_CYCLES,"3552072875,1872832972,1292861614,1061016389,934399388,885770650,1137353721,1359491939","3566070384,1900631927,1366660880,1173309458,1097265080,1247454243,1621071846,2095520813","3579186310,1887547460,1290975531,1062319368,962961699,909021409,1172904499,1712170613","3580896390,1861517059,1273931915,1054784435,944405057,1325101750,1569368389,1341545584"
perf::PERF_COUNT_HW_INSTRUCTIONS,"12237956894,6193237091,4098183475,3172332068,2580359279,1702304306,1629988619,1259055197","12237957193,6195352926,4101879659,3178064607,2587351408,1635143200,1653687652,1675326086","12237957198,6193225711,4098139015,3172236250,2622905457,1620111520,802853129,1852671821","12237957675,6193264062,4098193790,3172347824,2580343293,1753634780,1725486124,924260412"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"83260394,43384426,28572588,24486923,20810079,524475259,620461661,67115250","83260387,43909590,29589638,26052490,22758765,22085154,27836457,33515604","83260387,43350529,28554055,24425150,782078665,18386617,170954945,634130845","83260383,43380670,28577698,24477834,770726561,950869291,972426745,624686524"
perf::PERF_COUNT_HW_BRANCH_MISSES,"766944,413444,263379,231630,176092,134127235,102220110,877700689","772494,413233,263122,230024,176771,131451,131472,132309","766011,413521,1199036784,44767083,44635565,499965452,44482819,44325175","767960,413873,263212,233646,176602,129098,929732150,126786"
perf::PERF_COUNT_HW_BUS_CYCLES,"26940886,14547115,9983368,8201336,138612952,8206458,10258094,282110027","25522688,14268868,10294276,8927548,8417991,9139763,12284523,14652137","25652797,14241432,10288418,930336439,7880424,6945306,10664781,15357559","25650970,14108207,9899183,920951309,51347392,104050963,119096441,107015800"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"2909766672,1574258652,1079190864,887065020,771315156,909077418,1054595306,1518381751","2756923344,1543518504,1115522280,965935692,907651116,975414960,1311007680,1592061372","2770256052,1538869752,1111030020,915685776,853642152,759905104,1119298994,1420559275","2768692536,1526612292,1254964327,882222084,906554679,1357283646,1672274266,1260965053"
perf::PERF_COUNT_SW_PAGE_FAULTS,"48,29,1193580376,12,418,27,641264366,318352408","69,982,217,13,118,0,30,588","70,551,1200454989,262,393,88855904,88859550,325266885","68,30,294,964660092,474,94398848,184269867,205"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0,276054870,1032076692","0,0,0,0,0,0,0,0","0,0,0,89350421,88546971,44366368,777640112,581879940","0,0,0,0,0,949652092,188062011,613814388"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,1194103143,925824754,0,0,373979226,441979483","0,0,0,0,0,0,0,0","0,0,0,0,0,44295394,133238339,693078761","0,0,0,0,0,0,88979005,311789229"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"4274275605,2168988845,1431225388,1157941190,905343337,698213562,806297531,755818581","4274275529,2169246541,1431770145,1114909947,906322264,567365886,570234533,573128490","4274275538,2168967765,1199458204,1114090822,905310571,565505553,567445912,612038858","4274275537,2168980756,1184706812,1114125069,905335508,608673732,698941814,656275223"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"715618057,365225504,239178175,189421143,756514322,141499264,194405576,503322367","715583228,365652937,239345018,189382394,153782031,96619150,96555545,96650969","715603485,365273587,239180415,927003314,198305536,147797042,96553542,185414399","715720427,365693800,239269869,189565514,153852608,1083066992,318803156,96771893"
