Metric,false,master,close,spread
perf::PERF_COUNT_HW_CPU_CYCLES,"805378181,1014678406,1187179959,1369499092,466672976,676193751,642836208,488107710,487277316,724977072,506790909","1069008906,1389316227,1715885049,2044709614,478215036,495812938,486706665,481367114,473947850,915932604,492909707","839242538,1014969259,1176271198,1345062396,503952834,513799588,517300191,508885731,501649981,513301970,926158695","853508137,1455461445,1639558113,1333278667,469904105,493343361,501275321,470848239,504898083,946522685,470340895"
perf::PERF_COUNT_HW_INSTRUCTIONS,"1741269517,1751131297,660890781,1767714862,488502451,1599342797,662062349,1601404091,725930283,1600414894,1599380185","1626065867,1640718254,1657864651,1672797075,1599056798,1599103062,1599099757,1599101661,1599114330,1599033338,1599133111","1663521702,663546058,1978335570,1808664079,1601295244,1601393712,1601127171,1601061037,1599278666,1601206810,1601351163","1664427043,1837035433,1895383341,1435890201,506247299,1601248669,948816720,1599246357,1601207288,1601177990,1599179387"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"16210054,720312680,21523540,203518798,12018259,12035721,12687058,670790306,12177161,12092055,12643958","19610646,24077074,28556459,33006365,11841338,11851215,11848857,11849309,11854313,11804549,11866868","17168398,608315935,512493371,678964676,467401208,12962077,507520568,12268215,939737045,13273402,12000946","17097762,155861025,204341458,1060801716,13067795,13098477,11988975,12435647,508447364,12013297,498960630"
perf::PERF_COUNT_HW_BRANCH_MISSES,"147222658,541705927,51409091,88875821,464171568,203957,660627380,167722,276785,668199761,444911","131056,131007,131112,130439,129775,130433,131539,131759,130266,124061,129495","568847821,557061768,318462222,358157672,299607,506473025,130010,673777,269108,507221025,480900","191289844,120891,134428044,267520672,307864,276539,277198,931083508,488824,270056,301637"
perf::PERF_COUNT_HW_BUS_CYCLES,"6693102,500387360,55068226,188499783,478912132,4696085,4391465,4638083,4270271,4429863,4050259","7973903,10278257,12716130,14987644,4579941,3869928,3794760,3738755,3726555,7141565,3805857","6499143,701920183,319653421,10673629,4020684,4320512,505094838,4083337,942418459,512809293,7469414","7164312,1121778079,1105959235,157089743,4078520,4025905,4473328,3986999,500113730,7447732,7317569"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"742290034,1040486472,1169271380,1287383258,706720556,498396672,673298781,652373167,706149030,609232331,424095313","861932340,1198043244,1373223132,1620034236,496005444,424252296,408657204,403265304,400307400,770682600,412239888","710051193,831825288,1164090972,1317612830,397866378,447014541,440904240,430866336,438191885,792653367,439721253","768330007,1344020956,1433062910,1245109782,500766421,500725214,431592610,788526723,425009700,515856005,428318558"
perf::PERF_COUNT_SW_PAGE_FAULTS,"627,45723624,588022984,815956201,615715369,316094,484367151,481012069,486173,0,214587","365,337,12,3,0,39,0,0,512,412,0","564394063,50429791,133484739,0,158371,177693,175514,406269,359464,35219,800946","243,984609539,1042247148,1005507957,504828698,31184,37203,792688,944870,210361,105415"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"601722369,91974321,0,267470220,115534,0,317573,147125,71779,559520,319475","0,0,0,0,0,0,0,0,0,0,0","88856660,560170218,591694247,133646859,499881390,227560,68958,501011737,0,207445,240099","656626397,98281785,177654077,755243855,137403,505681560,296681,43221,309022,99608,205413"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,586090506,681881532,0,33285,210532,74383,391250,315603,499274722,116338","0,0,0,0,0,0,0,0,0,0,0","0,648850362,643569551,133646816,34965,176401,34084,507720360,179569,507967332,35080","139492472,136990162,317213043,566573380,58133,68737,316464,489253094,475016218,507138914,70055"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"653399261,613730592,611005680,804314446,680627182,562792808,562399501,562640451,562677197,562414575,499703298","566062774,568284112,570540710,572816930,562208581,562225012,562233758,562233020,562231934,562144455,562234478","564876682,566089011,611522771,656183548,562914069,562894091,505257527,507276320,562831977,562310180,562413314","660090686,704057986,791906009,612052561,563045072,562348588,562884441,562993692,562936152,562932704,562337852"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"463805665,192443409,767827610,803960457,96822837,97488076,97046472,95123910,97113676,96781455,96746589","96646232,96695793,96692247,96639213,96562038,96720717,96693217,96581111,96566767,94732980,96650492","141450368,601425258,96883099,185598498,96912863,96764768,96925783,96958200,96695425,96925347,96923139","141084018,146592644,369323270,140957570,96972825,96544538,494726222,97114697,97218685,97090375,97130187"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"474379743,5803746,149457420,50385918,666476309,5933193,6162958,6592272,6217577,6084102,725688350","5792877,5793201,5793526,5793803,5800989,5803652,5806437,5806963,5807541,5798902,5807057","553585061,139017662,50323254,576001910,5834685,6108223,506420539,6055872,6088953,5796462,6042913","5984238,102057371,5920097,50299707,6169913,6240356,6471563,5934975,6181659,6062060,6233136"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"603867168,44283352,142255102,225511116,101535,196011,92073,257826,675783,498379646,611758","62579,49678,57621,52718,61868,57336,55268,51925,48764,58435,63198","128815,113189,313427636,758134257,144864,126918,240584,278641,298403,385632,155057","102327,47309,45284047,133231648,97444,137548,235738,262484,103000,361768,288144"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"144904,93103897,148940099,1168035072,483492507,352279,443477,286930,303127,349664,703160","159660,146719,151820,146296,137588,136105,134783,168753,156401,316210,166570","89121337,88925005,143500,153090,497001389,384004,456354,499011455,233934,585069,642657","140277510,142720107,410943,46986214,225945,436726,246049,929940157,286752,703825,489166"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"45825453,132985979,44787350,317526511,578333,122711,795808,298955,218440,498080133,228805","76669,95478,86049,74273,76933,82528,72306,85822,80377,168582,84173","44422423,83252,80478,88965593,112353,382591,213520,191007,370529,539536,373327","84415,159472,89467386,139019648,184100,213522,383853,932310598,157886,491360,404509"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"609633,138799897,820205345,311700264,486376,711059,883241,628478987,1066123,1031761,926076","588215,532700,586038,517722,598013,537052,552363,564076,504653,452652,525530","737959,44840263,739101,714949951,970325,960715,508557270,492101367,631613,801901,510624818","560981117,542680,517309,179365650,814254,1016420,664322,773666,703495,931632,621991"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"46772553,45779708,44438949,91739532,147545,482036964,237639,608719,253410,332788,170648","17907,18066,19260,18419,19287,17551,18103,17940,18783,16777,18278","44323712,17848,44521093,222475868,230816,189836,156718,499151942,279422,46205,219396","14917,44479542,233770151,926297583,50858,420382,89427,102667,48025,82660,121075"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"599531407,665254716,668373843,861637530,574019956,562196002,562577743,656467063,562687421,562596561,563084533","566094599,568364900,570569130,572819655,562220050,562215436,562231923,562230807,562231169,562142049,562239994","652893493,742487780,699752837,567915603,562338213,502942267,562908924,562901548,563071537,562338232,563291255","614338365,1223470003,654716083,888509689,562982337,562960886,562530677,563011886,563013115,562539464,562426859"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"1175890,183230258,779394805,362043727,661046209,247703,583,1466003,888863,1860017,2321750","1597151,1212798,1175807,420820,1430345,1384898,382090,178426,251225,176592,1353017","1349416,89792473,89004098,90613674,919826467,1694898,1685898,451571,1781502,1689940,1664890","89885522,46318963,432315,183096177,496483682,357312,1682636,414624,473729351,1095692,293740"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"465757098,53747212,191025418,236677105,6339811,6354476,464522113,671024769,701782763,6096930,502850466","5792904,5793267,5793420,5793839,5806311,5803064,5806271,5807925,5806375,5798588,5805823","94898682,94643432,139746454,498753390,916644043,5942338,936956895,931250415,6053513,6243087,6002610","5986716,50266919,57793420,50297254,6066436,5933148,6042230,6098121,6466258,5874987,6366328"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"92056597,498461823,186402186,180768186,72345,235,152074,220157,38094,482632574,252039","401,50,87,401,324,155,172,531,5960,383,228","44353586,96226811,267263883,222396510,104116,228695,66874,471566832,525647337,139935,180353","466,44374766,1249840506,178105387,71670,184012,299638,99344,472986,102926,227956"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"221002992,873669810,628921306,449877355,52806213,650082933,31141760,651492438,490295635,39168973,726043200","40671047,41042286,39763688,32863457,36085361,40354508,34808790,43934112,35967688,63278987,41671480","229761873,129135519,171533467,129568992,58758566,37894303,79381545,62939357,45441188,921012277,83685300","48151695,180444612,283638505,37141231,501181203,45396108,44783749,42598465,504258306,36165047,490019039"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"608097545,941076661,204733301,244517793,11556289,18186659,15593884,14711930,482241735,13516700,13808372","12732932,13773155,13637436,13778169,11354421,11989399,12468228,14509602,13688682,26024916,14161155","14932544,102839758,839228678,262003076,24401700,14055517,27060349,24831938,15591291,30695261,28107292","14935860,269045919,347654190,145844369,487035024,14339158,529974393,15123873,495004816,947013537,13297371"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"239972320,320960436,784622225,325283763,475545185,9364827,15102503,12066536,9769245,10216906,12703161","10275918,11251124,10666390,9918465,8870545,9487710,9699957,11055618,11294089,20008481,10953684","602483753,10772145,97776822,279495721,491484062,10295912,22004630,935070139,10419855,20215738,20943124","9864825,259114849,1080611599,322172706,10520501,10226021,531245728,502648276,10832314,24660323,498807032"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"109227855,666113530,578452990,898332829,25576107,15645684,474613706,16259759,18267346,19652270,16730346","19276833,18219054,15524742,18047290,15423097,17114998,18104673,19398518,18363693,38770792,18552951","117628419,65459334,32033778,574105257,488262195,506423666,45816061,21021790,20210554,48074326,46169076","70749127,189600517,48152898,160577430,19291100,494501806,20035452,18975612,21640292,49844350,20960084"
