Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CPU_CYCLES,"223990326,209177145,230823274,268711257,309017171,528917310,754017383,977756562","1413247583,965823610,846026104,785304468,784971176,910647739,1147049138,1343674184","11183947339,6352864363,5232285882,3960801714,3673382656,3114990691,5352268725,3693758383","226773180,209966795,231639791,271201687,311524419,535867489,768819908,977907924","1460257856,968005110,852195500,774282359,773344249,922786822,1128537561,1368179588","10482064194,6099223963,4611391613,3867246919,3566107782,3204088001,3409401873,5482212837"
perf::PERF_COUNT_HW_INSTRUCTIONS,"414531172,282351579,234604484,211777108,200007965,187825056,198707013,382553644","2557116314,1569708022,1197851661,1015498031,908552957,746356341,884519598,980097578","17879850625,10246008782,7359027312,5926899618,5073281778,3756690479,3810570318,4989667714","415169652,283064621,235284297,212452500,200660556,234370557,335300338,463884184","2563355409,1575901974,1202417573,1019969301,594236535,750865002,805674305,1025845932","17941935104,10284560629,7393643627,5959044327,5103963989,3783175511,3955157698,3882678886"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"25633240,22324927,21520864,21462304,21731246,24294440,129203252,74092576","103665535,84648336,77431554,74273346,72671273,72571324,163604789,122488330","505585524,378749660,325109562,298557803,283117936,262799748,266053425,483930397","25640609,22344277,21538410,21485249,21747603,24324498,27567031,293736688","104038855,85090639,77797145,74677464,73074899,73005400,77055207,256899827","507924921,380831336,327244826,300656101,285163779,265250354,312400487,2904637841"
perf::PERF_COUNT_HW_BRANCH_MISSES,"182452,166354,164900,162607,163284,170438,222097890,600031422","539405,440013,423524,397277,386454,394356,398118,89528248","2363880,1680387,1455550,1199374,1150540,1031776,45640826,400664021","183100,170022,164825,165699,165190,165044,44311614,44605409","509614,438521,424747,396885,390338,396588,135416737,356939476","2381166,1674973,4496626861,3722243535,1157879,1035267,1052572,2773045408"
perf::PERF_COUNT_HW_BUS_CYCLES,"1624559,1585580,1802551,2205183,2351439,4010779,7476277,228566795","10412984,7605073,6641839,6401611,6306454,7792308,9850412,754821317","77230450,47726175,38739979,30912369,28785399,25415281,28281149,118275407","1633709,1597928,1915271,2352481,2562315,4389194,51099260,354863237","10672896,7443358,6574049,6365124,6364642,8551986,12899604,11194303","74278626,46721919,35518582,30058256,27935982,26512994,28077871,30346017"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"175589100,170396136,197558784,220774032,253581084,487867752,709554380,936089493","1124726256,820749240,717015456,676754676,687458232,853041780,1064866926,1236586932","8328020940,5187006720,4208793156,3337101720,3124866168,2819291832,2963550996,3613865814","176801292,171361548,206448696,250040412,272913192,503310456,684502164,947891005","1147609620,801900756,713990268,676610280,674169264,860983128,1169425617,1205969735","8034476184,5018265576,3853789704,3265625268,3015514116,2878618716,3393239073,3280346687"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,1686,506,402,472,401,401,393032201","0,462,3,464,8,784,47127872,44478124","842,1164,1248,1494,982,1162,133074607,3112797258","0,409,716,892,408,412,413,177716063","14,1006,140,1720,948,592,134782252,222415452","1243,654,1503,1125,1497,1171,701,133368210"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0,133477328,223164625","0,0,0,0,0,0,0,311217695","0,0,0,0,0,0,0,266390600","0,0,0,0,0,0,0,323581011","0,0,0,0,0,0,0,267157359","0,0,0,0,0,3029598978,44522626,2960312524"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0,0,707856119","0,0,0,0,0,0,0,89047885","0,0,0,0,0,0,0,44304808","0,0,0,0,0,0,0,399870870","0,0,0,0,0,0,513933205,0","0,0,0,0,0,0,310293272,356697694"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"160125725,102858447,81311555,70696447,64807717,56344783,57960865,103998491","1024838832,606682642,445664602,366774352,319738079,247162969,293053458,471495926","7336644418,4134109812,2900391340,2289204963,1923432134,1361505645,1627549771,1397937413","160316097,103086040,81520314,70909262,65018422,145130427,201112971,493408011","1026633657,608378966,446930072,368026289,320887819,248319204,250484576,295264416","7356097105,4145518792,2910496492,2298195089,1932034033,1368028886,1367997247,1590441682"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"32666133,21557166,16390675,14453969,12628807,10494953,371546066,246684014","206673276,128997538,768450894,81679941,71792790,56550796,148240598,100695414","1413638312,830316609,594978994,477789232,407503509,295579828,296187692,430478519","32918687,21537337,16852836,14227386,13021796,10551458,289187326,322411475","205257908,128231383,96301526,80788347,72054896,55561146,55524104,56659089","1418122703,833191002,597213043,479760475,409244021,296688680,308366616,386706425"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"28445018,22223867,20210539,19226007,18699801,17897664,17949959,285360022","122175445,89206539,78394022,73094903,69909754,64877062,64886170,153790380","634605200,417463099,345379301,309100414,287151979,252950099,252746522,4987075029","28634533,22414111,20401574,19415177,18886711,18091797,62481907,478527673","122559843,89605929,78760306,73467104,70279754,65257884,524309439,65182342","636779833,419497421,347414455,311127973,289206652,254904553,3036725217,254315484"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"135501,186946,187057,182644,175481,184471,123752709,182624744","361279,465396,466808,449981,437284,479431,134675228,402456968","1206441,1362555,1266872,1173805,1116659,1114100,102397079,224222893","131102,198509,188901,183513,180110,183882,278496624,179101197","355230,460299,448172,481059,458820,495683,493886,447553945","1164102,1335617,45926261,1152233,1115442,1161388,45595286,45643735"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"2845384,541320,413637,397023,415533,430860,183973977,418842","30524845,10307485,7312331,5539124,48330910,2403403,571546698,999429514","193738672,65288760,46763197,38520689,34068843,27635474,394121707,27673582","2767653,474450,408711,411007,425571,435213,439811,134042797","30101078,10176754,7369312,5557102,4145060,2421059,2381032,182775410","204432722,65042306,44794568,38851406,33922811,27819267,27075164,474226053"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"17799,10657,9992,10151,10361,9291,9846,11050","379235,197229,156527,184894,190283,165134,841589821,88995351","6791427,4345749,4776520,3767331,3494056,2819474178,47587173,2906414903","26712,11464,12321,9959,9989,177813770,12198,177876328","371182,176980,155453,117277,140042,232165,183133,45152922","4523426,6618110,2806030,2665702,2602071,3303585,2859210727,271128342"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"554045,638392,639990,638681,649618,652241,311718864,659357","4261597,3419881,3097480,3025168,2865929,2450581,228036292,180357070","27415258,17788997,14571355,11881090,12067224,9657255,231258525,541837188","548060,654586,641721,645139,655697,653797,245870621,134124051","4270179,3410846,3050015,2977504,2793819,2414423,557312248,610272810","31054369,18503115,14275121,12152972,12599140,9930372,54822627,322935202"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"62297,63405,61152,60609,62861,63051,89961715,64602","358488,322883,286783,324193,317941,315008,89243380,580098090","1244667,1078177,1343465,1408387,1223369,90308571,89514533,445348126","68486,66453,62446,63063,66841,63844,65227,345311485","353643,297458,303972,296296,290789,340391,319848,792615708","919074,1761030,901777,876322,818589,1028964,45600980,3083776489"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"160125728,102857307,81311090,70694934,136862137,56348099,57059963,338708422","1024838987,606681088,445667163,366778520,319743849,247167617,571457236,572565338","7336644437,4134157841,2900375281,2289187086,3630164688,1361525902,1362951785,1362610158","160316106,103086575,81520257,70908208,65016749,56578796,58128467,103937942","1026633649,608376987,446929310,368026575,320895005,248312984,609621840,788599768","7356096961,4145483244,2910495783,2298195630,1932035440,2944140995,1455926327,1679256848"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"484,15161,34749,13897,12591,262266985,54646098,137842957","49,41449,884339,32526,301011,36793,402928210,88594961","7496519,240719,58288,43829,34849,82453,278439433,44482364","994,42940,16532,29245,16745,19762,19632,266812748","9028,93457,64696,58753,40395,33219,598370857,267208375","27056,87207,54728,104368,67364,33391,12801,133681396"
