Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CPU_CYCLES,"221536868,239638757,297073602,375402838,559074483,880315033,1303390059,1724359636","1431859335,1021424268,888725005,895110561,907956583,1258626164,1677544109,2100734910","10259416940,6195966742,4619738447,4034323070,3688282061,3486275454,3878919952,4263293381","224598340,241805845,297415025,376477315,460988793,1019105399,1302072774,1728602498","1435175031,1017618293,891015975,887950445,883295800,1258206449,1688354722,2089188995","10256162694,6157259301,4627576826,6934327693,3642611007,3469237906,3855878306,4287068089"
perf::PERF_COUNT_HW_INSTRUCTIONS,"414531170,284296636,238267728,217603993,207530270,205024112,225165165,245313190","2557115811,1571639617,1201516595,1020927258,917417925,762917372,782154883,802854163","17879850112,10247105478,7362217709,5932522599,5080353744,3769100591,3787809916,3809316697","415169324,284952955,238844665,217837762,208525543,205565962,224645971,245905360","2563355494,1578016905,1205919592,1025539110,920574230,767256211,787297186,807369213","17941934516,10286464340,7396841085,5963702430,5111663823,3793196832,3813838868,3833753330"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"25633239,22932566,22535757,23046295,23877847,29190188,34967963,40752919","103665655,85207270,78431607,75837848,75404002,77076478,82844533,88662715","505585037,379183036,326038069,300139294,285146177,264772120,270502557,276146118","25640615,22882113,22583661,23149757,23945993,29200353,34926348,40757997","104038948,85628627,78809467,76254921,75264807,77575311,83249404,89022449","507924335,381334838,328153856,302085639,287312752,267053214,272902603,278636316"
perf::PERF_COUNT_HW_BRANCH_MISSES,"182552,167101,165747,163527,242078,163743,165523,164120","539655,448213,416731,392787,402719,392046,393378,394391","2368253,1663257,1445413,1222807,1124645,1028582,1155527,1039747","183510,169896,164050,164327,162840,243036,164501,166260","538092,439115,408624,397352,387621,394002,392272,392530","2391053,1615428,1452613,1648148,1143716,1036324,1053593,1029002"
perf::PERF_COUNT_HW_BUS_CYCLES,"1656202,1729518,2215125,2708512,3992444,6330521,9192333,12011484","10341762,7454805,6787739,6508317,6724013,9146997,12198394,14881539","72963013,44231851,34637879,30538685,28238106,26110273,28430143,31380589","1745061,1733954,2193609,2767306,3375313,7355373,9144005,11892600","10385779,7382788,6794827,6524546,6856902,9193484,12226513,15050428","73737630,44033633,34912206,51944521,27840456,25911099,28371019,31551884"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"176170464,185823612,236573136,291341988,410717952,674121744,986195736,1295749224","1097359596,805297140,731618352,700906284,715832532,992905020,1320662340,1613017152","7861658364,4772257884,3748811544,3308545116,3084854976,2828647116,3078522612,3396825180","179250408,184843188,238047336,304427160,354866184,787972752,970141428,1277476488","1119197952,782749116,719583372,706293648,732736800,986723964,1278772488,1594137132","7919041140,4773534336,3799566468,5609430036,2989976760,2798315856,3077690688,3406507704"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,1230,952,1127,939,401,401,404","0,1379,96,1099,0,581,301,576","505,2320,1163,1164,1703,1539,820,1095","0,1049,405,408,1114,1179,877,997","14,13,552,29,13,55,1364,103","664,1483,647,985,981,1203,1157,1218"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"160125740,103132793,81823834,71530914,65056752,58784350,61652351,64529846","1024839011,606950890,446160653,367598050,321130432,249379381,252261761,255002946","7336641909,4134256204,2900845264,2289965494,1924404947,1363318764,1364893049,1367602057","160316125,103364570,82026250,71699275,66145919,58148333,61884710,64772874","1026633683,608647705,447432565,368840035,321988242,250392332,253442834,256295684","7356096633,4145755662,2910910111,2283779223,1933082318,1368639212,1371422206,1374429659"
