Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CPU_CYCLES,"220519935,196707904,221183432,258966691,305775728,565625500,850367966,978665145","1411941153,972304945,820722352,768427683,757269652,1296012905,1445222241,1650931617","10239720886,6344442954,4589655554,4076403168,3740835518,5552864688,5162941537,3725547742","237894742,198783267,222293187,258708535,378784071,637944094,863772235,976820662","1415838610,970749649,822695798,766287825,758681409,1274908023,1461106499,1649453881","10503967058,5905630429,4595455455,4027570695,3613019368,4190150703,5369086414,5833966234"
perf::PERF_COUNT_HW_INSTRUCTIONS,"414531174,282364648,234618384,211789735,129567019,337359406,198319761,547879766","2557115635,1569816798,1197848159,1015499666,908598941,798659969,1066996333,1022545440","17879850892,10245231218,7358659506,5926641357,3771597609,3750079234,4735900939,3813185644","415169656,283052726,235293924,212622416,200582689,188236197,477637698,634205636","2563354906,1575898354,1202339870,1019970556,912750083,802999654,909898816,879029024","17941935251,10284561363,7393240326,5959164336,5104203160,3818532336,4533626397,3012162891"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"25633240,22328572,21527302,21470561,21741948,170331077,122393901,118014620","103665348,84709564,77417889,74282537,72691237,71949896,920916983,517761090","505585295,378643657,324955593,298442719,283042359,372049874,262434477,662132686","25640622,22344416,21539749,21557954,21715446,286134683,71110943,293769341","104038363,85077701,77780180,74675219,73078985,182964737,163447256,771510456","507924224,380771751,327074846,300682605,285336859,262187978,351639718,3852687505"
perf::PERF_COUNT_HW_BRANCH_MISSES,"180727,166655,164304,162547,164018,225277409,101588445,360968782","525774,439348,410556,392974,389023,111660698,888053141,354794585","2360325,1656155,1407146,1225020,1098233,5072745274,58401885,45217458","185382,166737,164647,167874,240875,53167513,242771,211791994","519333,438150,418135,396807,390663,56002804,44861457,89555858","2374395,1608794,1442584,1227814,1128091,57825113,45943934,268813010"
perf::PERF_COUNT_HW_BUS_CYCLES,"1657300,1487055,1810369,1980955,2327242,4404785,278948270,52086502","10998473,7581798,6501297,6193583,6370149,963214578,199679910,638709315","80119669,45339609,34809389,32261701,29165634,42848115,43545393,427652444","1783265,1653326,1942454,2357559,3264380,243069518,7340322,284432389","11285481,7617620,6875772,6539595,6663157,10350840,1171821330,1074568204","78423529,45360102,36732901,32273236,28487473,28004403,219579287,118212413"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"180377928,169246044,211008348,212870916,267306912,546267410,729713485,857291852","1184324652,822387924,730232388,674195184,679190400,1115149951,1336314564,1229196283","8625652956,5021216892,3908324412,3435875496,3069207504,4586608820,4675947912,3288483000","190608876,166540752,213269544,252969372,368885988,600028258,782262947,977340889","1137066984,809092260,723863628,655426188,684067032,1174023391,1354672836,1561328802","8299794060,4924183104,3906836064,3337186068,3050872668,2827595196,4827829080,3656251518"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,486,405,402,499,401,237026767,267144201","17,2065,408,563,285,44128647,100403463,178248613","553,650,654,1612,3357419187,57047537,202374933,2911936433","2,1635,1109,485,1177,406,235030361,397416644","15,65,262,801,599766511,568,44362509,133530390","553,647,1165,1156,653,690,56846719,178566145"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,197479293,270197533,225600032","0,0,0,0,0,0,51757157,778823027","0,0,0,0,0,158474316,0,3190247730","0,0,0,0,0,53176135,101355254,222799579","0,0,0,0,0,44136266,1022787705,877521376","0,0,0,0,0,56831812,101210725,88840610"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,88257979,314132613,271862865","0,0,0,0,0,880005171,289811389,133035845","0,0,0,3950576236,0,57146730,449113247,2937817112","0,0,0,0,0,0,200703515,142143726","0,0,0,0,0,910394889,1028969104,401073744","0,0,0,0,0,0,145977517,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"160125734,102856410,81311927,70699763,64813474,106971926,57045522,238817783","1024838955,606709230,445652804,366784914,319751988,869782662,345103621,338536001","7336644161,4134016477,2900338521,2289156426,1923383151,1503035962,4766195387,1362605549","160316104,103084399,81524372,70912208,64183914,108274758,168357477,59630775","1026633663,608373253,446923845,368024921,320892112,331687752,459653996,938396064","7356096478,4145473352,2910382586,2298208331,1932105348,1366215717,1353744541,2699454876"
