Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CPU_CYCLES,"219223482,201058891,221451988,257346426,298954673,560774938,1346162404,1631652540","1393928054,903372167,817392847,741647349,747193579,952017261,1779825275,2049902066","10076541254,5907234886,4322195588,3973729278,3503119578,4928511454,4004375496,4379148338","219563288,197266103,223844605,258826077,301086185,572808861,789608197,1626821832","1453720790,909518676,798430797,789645797,731435469,959738023,1772337062,2201389090","10265258523,6206106361,4276560580,4004735349,3403656350,3143552882,4158236041,4202632183"
perf::PERF_COUNT_HW_INSTRUCTIONS,"414530321,282364044,234628929,211792234,200017024,280966183,399731643,332458229","2557117470,1570020421,1197806938,1015626793,908606602,524018232,949832040,918777419","17879850247,10245216734,4305623600,5927114412,5073157711,3749317527,2919617396,4666543925","415169704,283056351,235298189,212469154,216748881,230215242,310851434,394055398","2563355747,1576225568,1202579836,1020008207,912755844,851347610,1140682035,1465073975","17941935419,10284684294,7393807460,5959382674,5104941748,3984275091,3902529285,3217183212"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"25631522,22331004,21527180,21472497,21733602,24232004,35476922,749987814","103667019,84804344,77405577,74315989,72684323,72149267,365485137,262241131","505585010,378635234,325604583,298652336,283063964,259197416,356854057,590951574","25639292,22347793,21541630,21490370,21750904,128992631,351136739,38708796","104040010,85227321,77892421,74682906,73078817,72580831,657618130,85134607","507925068,380833655,327305352,300830521,285596650,262265417,2860140102,3261750458"
perf::PERF_COUNT_HW_BRANCH_MISSES,"182703,167460,163431,162842,162483,106435715,186592146,551753973","514775,449646,411791,396473,388812,392660,563771236,449455141","2315061,1587335,1462595,1232020,1111616,1511156,468114269,348174951","182576,169031,165804,163389,168879,204786525,164485225,341552613","514478,441810,425416,393521,390064,393393,858416969,381832820","2388347,1616130,1420915,1226704,1174346,172038447,186546114,720605626"
perf::PERF_COUNT_HW_BUS_CYCLES,"1585971,1544176,1792853,1951912,2526020,154735949,514635171,12664755","10275247,7045817,6581012,6271601,6174876,629026718,209398052,246794157","72539335,44500275,33337180,30445031,27913571,4570684145,408138261,4128304621","1622784,1645017,1909171,2447813,2906669,245613679,152709158,440914949","10536148,7098447,6595475,6758684,6439005,526398954,997148315,875917908","74398029,44205055,32681136,30872688,27202984,2694428244,511095717,2777622539"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"187964928,168760476,209195460,229041432,243915192,519294456,1157389404,1455985890","1112549364,757160460,696326976,683000532,686126592,850586345,1571693053,2212559747","7785464148,4818596580,4421368638,3276511236,3565112548,4149771048,3789630663,3568972502","183747096,171399240,210070152,266902020,310844088,585969799,1130879880,1383161164","1153149588,763725564,697496724,694841112,699092316,837096768,1527032881,2252176183","8059940856,4783857084,3521455776,3337680816,2888453952,3073973783,3295485216,3694510993"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,405,402,401,402,474,271619437,446587061","0,542,10,2,406,9,549,132131657","503,1610,1167,646,984,4634141417,88613916,4149564600","0,1022,412,126967178,414,44127567,267482805,233564332","14,319,615,1012,100,943,287075706,82168305","984,1164,1165,917,646,44126808,322193359,3114562327"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,164755162,176838513,265321369","0,0,0,0,639667359,54919163,762922554,209299045","0,0,0,0,3417845511,100911962,3310562855,433700011","0,0,0,0,0,0,455672409,0","0,0,0,0,0,0,202039074,188257640","0,0,0,0,0,0,379122688,4118558881"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,89088478,144345837,321631770","0,0,0,0,0,143272843,896647815,0","0,0,4307770444,0,0,189624727,340052948,471888098","0,0,0,0,0,106980267,176734173,313677102","0,0,0,0,0,0,286588969,648786960","0,0,0,0,0,0,3245127247,3238950604"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"160125842,102859789,81311014,70701799,64809450,56304944,149219247,159378057","1024838756,606768081,445652217,366817866,319750749,301299261,288311151,339075108","7336644050,4133982229,2900757619,2289252144,1923377222,1344181133,1543023230,1453267702","160316091,103084406,81526150,214942674,65020276,99430272,340895115,951694773","1026633438,608466264,711692511,368043141,320893876,248062088,249821189,294508496","7356097313,4145513067,4190135189,2298309920,1932315071,2845940324,1643080121,3151796705"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"32451716,21161604,16387010,14010772,12796783,54864126,467994533,10757888","206188216,128101040,96777136,81580197,71348743,111278625,933353584,554132351","1415474792,831010487,595371387,478190477,407526425,349850079,296502986,675137956","32735975,21467916,16760481,14238054,172743674,12189443,374537153,81230958","206337024,129137828,97187588,80627137,71789560,56927226,57908931,153442559","1417081899,832098244,596380921,479734141,409102499,297684519,689572092,759755049"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"28445123,22225145,20210997,19227130,18700088,17883159,260733709,17901041","122175172,89228108,78390033,73104026,69912902,537879514,64767618,109170964","634605208,417415578,4347784599,309115529,3382861297,309330247,442128735,2931217687","28634529,22413662,20402894,19416338,18887465,18057420,106317051,18095658","122559610,89628376,78774787,73471127,710430452,109303677,712942318,304187510","636779840,419504956,4182336484,311155138,289282750,254382774,355634883,442126196"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"137857,181939,173128,175109,169733,178518,85472840,186097377","366317,509918,431368,458140,406194,415762,368066683,1092328192","1234502,1256061,1227608,1120231,1066756,1314470,3242536747,3216259546","138615,173199,184566,174903,169956,44346908,188342,219210861","374961,458672,758241394,439461,410337,414540,769896705,462031496","1258350,1237706,1187969,1250083,1068454,2695186322,291952989,171321371"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"2940421,483602,417148,405946,416507,53945434,370229834,753936648","31450937,10211970,7326890,5516085,4156475,2506324,4020529,91972426","208782377,62818585,4283847059,37275821,33761672,29888188,115782794,1036864745","2842309,451563,413763,407821,172633089,44511564,446772,354540012","30229948,10293427,7274526,5538730,4174291,2470230,185006037,321192647","179607138,68190256,47924090,37482181,3235091708,2646118060,27074809,3026953355"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"12112,10255,11987,10283,9730,44132392,133885489,406981302","228348,142295,140631,119356,112645,101218,103240,691472399","4738505,3048480,4342364020,2463915,2449551,2267609,46823886,235928309","13517,12635,10420,9711,10404,8328,708597917,184012052","227012,155847,135257,116647,110259,104052,186754914,111864091","7482044,3038268,3101051,2501848,2507284,59237682,191742178,90461231"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"576962,649322,643496,638725,648751,141960635,630714,653780","4269505,3305266,3099008,2922266,2820938,46776460,142480032,621417157","31021727,17827069,13922693,12544305,12000658,110985908,54040424,85336158","560226,655855,646079,174363926,660288,44740219,368821967,366619633","4322920,3393059,3052598,3013575,2744284,522058963,291188449,1425236661","29120589,19883006,14319558,12594830,11782317,10309346,3246867647,341630301"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"56302,58158,62112,58553,59327,133141294,96954657,87930485","270005,262952,276046,262070,259587,54308066,542950166,432765471","917985,854164,834378,763096,767967,101924134,88960038,114945134","61344,67351,60629,62786,63223,44204354,133504123,300801724","274592,279793,776876369,268091,269678,256002,257627,628350417","868513,907765,805774,764335,772830,731614,57828696,114502383"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"160125856,102860106,81314295,70699490,64810936,143761711,129886380,502697033","1024838793,606767434,445655251,366816163,319749086,540251066,456422900,752211067","7336643894,4133981228,2900747156,2289254636,3468281175,1488747833,1628390911,3358888653","160316105,103083819,81525808,70913907,65020642,452105178,610941490,769447483","1026633445,608466059,446988501,368044454,711476585,248062769,253097512,254336985","7356097195,4145514555,4179316781,2298309975,1932319291,1366376287,3019019981,1707130339"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"2716,32740,40152,21345,114757,53808422,178110268,451030613","1109,884176733,49967,21007,44851,54288970,34946,30694","88336,89428,62084,42336,52921,56918537,72207,24171","524,53640,17716,20769,403,331948294,230935640,217882039","2016,2165,370,40687,68546,611831817,88740846,176874144","6115244,91359,154901,1127522,3278380848,202429485,13970,108207738"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"28445123,22225050,20210618,19227099,18699802,106801972,556995475,455481095","122175172,89228151,78391065,73103589,69914808,163160034,428648739,394189463","634605209,417415470,4353057951,309114562,287150486,252115653,530294062,3239288777","28634524,22413366,20402872,19416478,18887211,71215442,377619844,653646359","122559610,89628577,78773947,73471278,70279752,65173597,340246463,262983873","636779830,419505262,347423729,311155068,289281691,368434754,2954149239,343646954"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"1209,1201,2108,15055,1520,1242,1234,309381821","2029,1915,1259,991,1239,44125793,44476918,143699753","6470,10848,9234,5259,5250,158214112,290092581,2856890855","1146,1317,1318,174299911,216784674,2016,361498035,784477871","2808,258,773,1507,1097,832,1209,547681238","13813,11995,12201,9473,5106,11874,480286948,6466"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"101095650,55747971,47886344,44542749,45264605,178065850,441408826,49907606","735244538,382812834,336983535,253001181,235727534,299353616,693248751,699418355","5412957305,2962432295,2063585140,1984474699,3473397871,4652925308,2961300760,1603458421","100530940,54580496,48226771,45395881,44893150,147595699,136622541,1118849964","763426395,393952074,307745816,290061207,218928696,253466517,404824167,416055062","5623179745,3303257558,4178390052,1974908457,1518308098,1270888892,2091927678,1657457575"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"49617299,20943142,19241630,19444334,21137445,171608793,173797980,498722697","413603117,199696193,188314188,138753848,130291591,155995860,564406298,664705020","2899424647,1499887867,1109490238,1139894839,990586150,1268687651,1071826272,3468679534","50825293,19469011,19357952,19640440,21980615,271286723,296683708,523673659","426435958,201468339,756554991,163721544,120375271,110328290,304628701,517991782","3016411779,1637901599,1069020665,1152114885,3280833930,793714509,1034035462,974612976"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"1882023,956072,1301196,1043305,972046,120348066,886429883,460565607","27103317,13506387,11774887,10850090,708161662,110819877,210722114,642450695","553652623,326175777,336528774,274763856,251697913,504833319,2857086235,405273573","1755096,1083729,1199427,839955,912792,240673768,712911094,520215476","23884755,12974966,11356230,10713506,699308196,9945752,199523299,644469718","756356993,347303739,277593667,262632851,251567150,353540504,2935077101,401528019"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"40964013,23000305,20150362,20722910,22077414,172702913,124116807,204879104","366794840,182142141,177978652,119685974,119909326,203112840,929876181,670905613","2977845416,1648772756,4329923789,1245202343,3336684276,1543686771,976752052,1658317943","41685267,21641547,21458556,21585655,22432282,117143211,344873642,964285755","382096032,185738218,152943576,157114724,106777915,108581368,298338160,158569679","3326463015,1880215196,1049776232,1231950513,912258874,800284435,1057040450,1356571319"
CYCLE_ACTIVITY:STALLS_L2_MISS,"26864551,13073929,12667517,13389259,14653701,120145071,191331092,19116527","233336908,115554822,125845706,89052753,84448356,134642152,81630266,828123427","1781820340,991741417,735284554,815242033,692104147,1114715776,926425187,752267305","26672861,12293463,13328317,13835346,15728499,71258670,888590390,635898977","241541925,119388763,107466928,111416298,79658981,626452512,332120276,196711475","1878638946,1076231773,681025358,813225161,609970250,555544495,956597943,774676585"
