Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CPU_CYCLES,"194847025,157780862,165043245,195615423,232446350,437935539,669117948,895643531","724032878,421827092,336912786,328874728,340956894,514833893,740264225,951345504","2766118888,1432660006,1043058740,835099546,758266650,786395459,1005437753,1568787886","559767514,982287807,435585930,404894208,406569613,559270319,789791271,1110126124","3552876962,1864899528,1283424558,1074193358,961547389,899350985,1172911293,1344808102","13732466207,6935044176,4699971682,3601516477,2998462226,2278411942,2445459600,2674783894"
perf::PERF_COUNT_HW_INSTRUCTIONS,"631169855,329392343,219431206,172673449,143559896,105545765,328633557,381411512","2448354373,1240949989,823411593,639844040,523079938,175795573,570881692,529544138","9646435302,4855048661,3239421842,2442706482,1987670790,530349207,573945763,1417920090","1637882946,3154853936,1079514024,837455336,683509626,543036429,716764791,562319756","12237956693,6193204592,4098146907,3172236020,2580291685,1746853649,1635197970,2064526131","48217186543,24256102439,16173123295,12182460336,9900077058,6327256310,6516469527,6564361634"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"4899302,3210081,2898130,3180777,3541179,175153841,86619488,143970963","16693406,9228592,6732517,6382572,6124713,51738494,233346842,13857502","62563472,31872562,22067044,17824391,588214753,15064033,194544856,195418861","13444597,24440447,9673559,55615042,8054612,248861635,232475250,326483828","83260272,43341783,28536028,24413808,20751287,589772968,577530555,761317410","312022476,155903270,104749627,125061677,68152303,190014034,194320294,55172250"
perf::PERF_COUNT_HW_BRANCH_MISSES,"47454,26113,16703,105485109,13134,44648322,222457647,314166144","158971,89038,54581,45394,44823492,155148413,89274100,372764071","553839,281786,189004,162122,127740,86134,94984024,44817438","129370,230144,83532,264976503,44940803,200054053,44665080,44637","770572,415498,263496,227408,171465,129249,52885924,626051912","2850550,1445966,955147,770656,609635,44825014,232951010,44975954"
perf::PERF_COUNT_HW_BUS_CYCLES,"1397247,1197376,1398864,60415730,1813052,37724868,5822632,51196937","5205057,3197169,246694798,196702234,2817745,201868456,434906100,228867624","19834281,10901256,8107649,6522073,5940245,6147972,948074659,409782062","4223558,7029317,3532050,3433485,3235815,48465762,6185329,503775401","25607640,14032192,9825792,941971544,52423569,183195640,8987769,666543020","98231407,52795472,36914656,72423974,23983727,106328417,20110193,2036793779"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"150818220,129478716,151072560,159886872,198021445,392929343,600533676,815418456","561165084,348561684,289092348,281834055,297371304,448186486,676218950,892848119","2135827224,1178061516,874978848,704624184,645710622,689778002,963084401,1171684088","456920136,759373920,382686876,337436172,357930042,482928480,681608853,1005225768","2765751480,1515617892,1073398932,910570248,846621396,752127768,1074674577,1230639500","10610847936,5713323768,3983712300,3070375249,2578565232,1975365715,2191558367,2613947508"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,1052,0,0,0,0,88974358,0","0,0,0,46123464,0,44399326,0,222568556","0,351,204,512,574,133065046,793225936,44556120","18,32,338928199,0,90146591,520,368068230,359215933","52,309,105,112,478,500865106,267217722,356692314","250,4,283,15,44134124,36,88859401,1892787667"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,88706173,88601344,323618484","0,0,0,0,0,133295874,193385675,267005138","0,0,0,45490130,0,88637809,186937711,139842606","0,0,0,0,0,88910127,251117673,320075370","0,0,0,0,44317665,132696011,133720334,95120528","0,0,45972720,0,0,133231175,88889613,44640907"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,44167761,0,88569004,209978653,179068972","0,0,0,44277612,162915522,0,88692577,268706649","0,0,0,0,0,221444988,50783358,222838531","0,0,0,0,48883567,88841372,232095272,363993912","0,0,0,983322850,44128444,44218096,740508319,44683949","0,0,0,44321391,44536243,0,1977232769,403030747"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"222896094,117022893,77190586,60397986,49583238,34242827,35785828,125763042","855115804,434185781,286835170,223627777,182096355,247699316,168580500,206803576","3347936016,1684354395,1123231397,847582758,690196754,518796196,442826308,752459980","583708907,1114142998,383406607,267046458,243049063,284023770,280892739,474572216","4274275519,2168965998,1431213557,1114095328,905310957,653426090,612309808,879963421","16734544971,8417869841,5611949421,4276903665,3444965561,2188387109,2366074386,2005587081"
