Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CPU_CYCLES,"194674581,190119966,236769688,306595104,380112930,789062577,1210750080,1634448664","718874084,452059434,406050775,438533379,488439450,860947063,1282055871,1703579169","2739939948,1467283268,1094984038,945494484,907207120,1119831218,1526176636,1958575422","978132034,598736685,499138826,512492325,550229700,905403340,1330540823,1749431508","3507464981,1907347259,1368421288,1176430421,1104594005,1239129131,1652433733,2069811120","13820037230,6993326833,4744563066,3722402181,3166207855,2551553044,3000840511,3421971142"
perf::PERF_COUNT_HW_INSTRUCTIONS,"631169859,331601963,223295567,178358424,151179475,121767355,142835443,163065090","2448354374,1242982628,827300150,645559557,530721853,356185323,376307986,396102527","9646434783,4857138899,3243291681,2448286656,1995262381,1287596876,1307729080,1328036743","3154853914,1639900909,1083285515,843169073,691130222,469266548,488833683,508959421","12237957227,6195234831,4101933639,3178067585,2587900205,1635179134,1655315368,1675434737","48217186708,24258244129,16176955669,12188275082,9907778643,6290117169,6310073592,6330386994"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"4899306,3757377,4033869,4875627,5730074,11048317,16916114,22412092","16693405,9796666,7794845,8001515,8326167,12724619,18476975,24229304","62563466,32445205,23131749,19455550,17841171,19031007,24779542,30535818","24440460,14006965,10783071,10308257,10214407,14485214,20231486,25976731","83260383,43934229,29598056,26060291,22949331,22124168,27875061,33624436","312022220,156484453,105868439,82940344,70352564,53458893,59260357,64963567"
perf::PERF_COUNT_HW_BRANCH_MISSES,"44936,26173,17888,15183,12367,9684,8761,9551","143695,82445,55237,43213,37066,27526,26656,25520","550624,302130,187531,152356,128605,90801,86485,87048","229432,129228,84663,74242,57195,44203,45536,41972","754445,418701,262867,232945,177972,130682,129545,129579","2817490,1441337,950332,774937,617000,437623,436668,434851"
perf::PERF_COUNT_HW_BUS_CYCLES,"1471144,1396699,1649844,2136127,2674205,5337990,8319619,10890623","5157780,3204532,2962143,3115146,3355727,6027319,8905698,11917946","19623703,10517418,8181718,7022325,6781736,8203708,11089970,13993687","7002781,4455773,3676354,3678923,3981449,6300779,9300514,12084631","25423749,13595687,10240582,8652399,8150113,8894648,11718186,14599083","98784478,50144680,35849028,28104940,24292374,19284422,22423770,25412988"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"158753088,152350524,181213740,231120000,289922004,585692316,906909264,1204820352","558190008,346454280,318738996,341831988,374410188,645704244,975763260,1290129336","2102991228,1132385508,884273976,748086516,738430236,867827520,1182089916,1513727136","758550204,480191868,397760220,395281620,426679704,680065632,1002729780,1304052804","2755296648,1489480380,1105430436,930689136,878689512,966385188,1273524228,1610667396","10669626288,5393016072,3869261568,3035260512,2616088320,2075670360,2423803824,2731649616"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,0,947,0,552,0,479,0","0,0,420,698,0,717,0,29","14,0,59,16,0,440,0,444","0,1130,13,526,762,189,0,409","69,86,393,761,12,482,52,482","210,642,0,592,0,0,336,401"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"222896101,117342520,77761299,61233685,50700573,36681989,39532099,42442563","855115830,434468902,287382302,224453476,183161984,117652828,120529461,123378780","3347935951,1684631119,1123764346,848391551,691286145,442260917,444935036,448013639","1114143058,584026374,383966000,299061443,244117789,162660604,165534024,168411879","4274275538,2169266625,1431755654,1114911045,906402196,567364147,570240192,573117098","16734545069,8418152292,5612484555,4233685301,3446065878,2189703100,2192619286,2195506320"
