Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CPU_CYCLES,"194762104,143866718,156176702,184077452,220142909,386520844,685143521,894249363","720513800,410793594,326304152,318438157,328596066,497395364,832029557,962012729","2743834150,1431781132,1021582991,829716177,734877672,1112669150,1350308117,1215196756","966351718,565528790,421366178,641532433,389705169,670655518,894673891,1017145276","3590912838,1869539024,1299265691,1067348839,937961493,1320732717,1565164984,1346052417","13683552862,6915001272,4666220934,3603909640,2971500622,3882380175,4157805561,2699232160"
perf::PERF_COUNT_HW_INSTRUCTIONS,"631169855,329480956,219371171,172623620,143521535,338532333,376168136,389453601","2448354883,1240973110,823367452,639822880,523044442,424448325,440848200,571907100","9646434788,4855091016,3239482874,2442665998,1987670305,1270264181,1365108898,1502895694","3154853910,1637877116,1079479454,837407723,305907928,314195327,637590506,472582061","12237957198,6193193261,4098217863,3172292142,2580287208,1751609112,1802923875,695436436","48217187233,24256116637,16173164228,12182535512,9900088333,3755539459,6455913598,6594936781"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"4899305,3180132,2902269,52844926,3570426,40196399,229294474,517677106","16693400,9246195,6715348,6400174,153027681,7796393,236882656,251943923","62563465,31896897,22079666,17849773,15663406,14078261,17099063,195490522","24440462,13455816,9683077,8667152,54184595,9545662,503326229,236229263","83260387,43353358,28589911,24454427,798060456,17172269,293010684,67352348","312022232,155927076,104773420,81353297,68180066,143195207,95226015,274758190"
perf::PERF_COUNT_HW_BRANCH_MISSES,"47339,25003,16862,51272323,12544,108388371,133862973,304606117","149785,82330,50157,48579,44183805,88960477,26155,275283398","553180,280556,187508,162136,118014,94506,277897013,133725035","229850,127805,83168,70170,58299,55541,146159548,55830","770319,415721,264997,230836,171353,947660969,1201636784,267945079","2836636,1415650,950234,768658,601351,230239435,89044845,3905081599"
perf::PERF_COUNT_HW_BUS_CYCLES,"1513432,1123181,1224356,1374369,89221842,50122309,231320915,325343543","5164043,3135175,2527473,188076358,3112398,141429911,58409093,330497249","19672803,10920626,7863966,6436399,6293895,10407819,143987981,502373664","6913128,4207021,3518078,5128279,49999927,6444588,7598922,97464176","25728513,14170081,1206159852,982179560,797237831,12841961,62251409,413942132","98094025,52378502,36498964,27914957,70594430,3544732472,184295231,378979293"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"163749816,122796108,140657181,177209532,184811459,373027771,589380014,792243474","558226620,344484360,273304476,269577180,308387638,516024049,836396227,865492891","2124744156,1179540144,858389184,694808820,648913248,1116227844,1251310680,1133527176","749635884,459477144,378749088,575149680,390266856,691684404,822225207,871143931","2784856680,1541555496,1090943100,1080502120,879026904,1365763047,1505266625,1188833328","10596831696,5656474620,3939219864,3023616545,2554495812,3823999632,4117460681,2452116920"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,0,0,0,0,32260860,184600622,0","0,1147,0,0,0,44757842,324772440,177773346","0,120,0,430,115,890885134,486,310763476","0,17,760,0,16,95341914,237303884,315","69,525,15,9,44126318,45,141880218,360531275","208,13,747,0,488,46,100986089,274633307"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,44117157,44114665,71485045,94208983,363851987","0,0,0,230501682,0,94395971,100318154,228553274","0,0,0,0,0,47318466,178058858,177784573","0,0,0,0,0,0,437392078,89018258","0,0,1206515267,980971802,759941477,188138858,134167593,133856244","0,0,0,44116129,0,0,227519744,139628282"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,44121656,0,206715726,184774628,313635225","0,0,0,186454619,0,89661511,374032796,268252306","0,0,0,44116129,0,0,133159306,0","0,0,0,0,47174632,286964599,0,336549970","0,0,0,935440483,0,236026742,192212175,667991389","0,0,0,0,91116448,0,88905188,2203700215"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"222896099,117025459,77200656,60391927,49599477,33606833,325822755,130527837","855115453,434186673,286838396,223626173,182094587,115179308,116698628,250642977","3347935999,1684354935,1123244705,847594085,690181558,755238613,535826059,575339455","1114143054,583718166,383394623,298233677,243049264,160195588,214091133,521760253","4274275542,2168990521,1431229962,1114125829,761483238,564886741,566399497,656909489","16734545010,8417882774,5611960833,3446895045,3444980212,2187258774,2365392681,2550443111"
