Event Name,10000x1000,10000x500,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CPU_CYCLES,"327457003,509156813,719179664,407238154,325682572,317851650,770961352,958291034","191933237,143954166,154741721,183614703,221502446,434362132,707831732,912791667","2763505135,1432230331,995750825,829402293,746069900,774681151,1009998197,1229433337","968231949,562892739,424697844,394582046,396543714,552528323,793518831,1125388062","3568392198,1859313948,1276648140,1051946939,942021650,899447975,1170497839,1383254487","13749110697,6922505152,4676162181,3587117457,2974030847,2193978788,2441068037,2750978389"
perf::PERF_COUNT_HW_INSTRUCTIONS,"565153819,425480858,2448354022,1240953111,823365864,639887157,566796554,576091189","631169852,329446735,219378994,172639960,143559932,352922995,306704077,382737689","9646435581,4855109999,3239483717,2442740399,1987745946,514051480,1546819176,1631312529","3154853842,1637875811,1079462648,879554247,683484303,497841236,439627869,855790052","12237957340,6193255552,4098196478,3172324010,2580387058,1797661508,1758806766,1812479295","48217187523,24256135146,16173153928,12182511415,9900096094,6315133530,3646063325,6511133838"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"6145823,107516873,16693365,9242003,6749555,6378115,10856277,366322259","4899226,3239619,2945193,97648053,3548949,41474422,195976829,282276042","62563487,31902142,22054067,17875645,15691588,146089383,17162462,287638592","24440395,13429095,9660843,8718907,8086471,232093048,190588684,148537198","83260339,43390074,28531267,24420523,20770337,17170739,255942660,67131994","312022227,155894218,104758358,81359127,111730467,271268275,95457232,275056531"
perf::PERF_COUNT_HW_BRANCH_MISSES,"152382088,89113244,150179,82421,55147,44166466,289127573,541715681","45252,26836,17846,15416,12219,197322927,89024788,176098195","551033,295539,195984,153392,120415,368555632,86635,269309580","227725,130638,83655,71085,88322507,44494,47614,319733816","763051,419944,264188,229686,170927,96276858,701039719,180734750","2861606,1424221,950865,745627,609889,45289997,142056004,267947429"
perf::PERF_COUNT_HW_BUS_CYCLES,"2491393,137829666,5277906,3280353,2461758,2426135,148811841,186840509","1487905,1052191,1156696,88973154,1641643,148100471,367907435,445206664","19914813,10255631,7684706,6478922,5816699,7452938,8475548,144772632","6930811,4180535,3230243,3047731,210756409,49622872,426910904,187600007","25540589,13966362,9798758,52299694,7187494,11625934,11561859,202723322","98275890,52493811,35766370,72044901,23277066,150728044,161843890,2200873370"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"321329713,466059243,553796460,351131004,309144980,268883388,940310856,1097918154","147937536,115186536,132313608,149057496,220578752,421550349,787124638,1048450870","2146913532,1113076296,862478405,724740696,625044348,707506164,916282627,1636570035","749313720,449798400,406422745,328188564,319815972,507134903,910286598,1124549620","2734139016,1511667576,1048077252,1023198754,854910786,1184152500,1203070174,1360736233","10612430244,5665583772,3823190064,3023094636,2507956344,2202199600,2232257400,4587268671"
perf::PERF_COUNT_SW_PAGE_FAULTS,"44117821,44318852,0,0,238354782,185890827,193544048,144373228","0,0,67517567,0,44346726,93073401,139485418,231136445","0,749,90,0,0,178643032,528504135,587512399","0,956,0,253812509,88255747,136879034,0,418857016","74,419,15,9,765093984,931261851,231563889,629147837","211,52,396,44124314,0,605,3754254262,3783971000"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"44120764,182441413,0,0,239812054,0,333641005,224230527","0,0,0,0,88236917,96523378,92180066,267072473","0,0,0,0,88243502,44610382,0,559703697","0,0,0,0,0,0,139543862,231697729","0,0,0,0,88233986,96489453,231913141,267867611","0,0,44123781,0,0,0,94873915,229845294"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,225964119,0,0,44114382,44114516,196641666,191457244","0,0,44121430,0,0,95708564,0,177801398","0,0,0,0,0,0,140085404,89482890","0,0,0,302741761,0,0,659622541,0","0,0,0,88255624,44120112,0,90519211,133997570","0,0,0,0,0,44824276,179484634,361629002"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"182111827,299242077,855115798,434210488,286835267,185678290,217516241,118347751","222896053,117021062,77215399,104232486,49604180,34165245,79851339,169966419","3347936087,1684351143,1123219083,847598115,690203812,484789522,415231216,620399291","1114143014,583719893,383397620,298269461,243051286,160194678,382711986,471828846","4274275542,2168986966,1431234297,918180354,905341649,564886792,566454374,700057619","16734545060,8417879428,5611954815,4232907993,2796605239,2278380790,2277316784,2249661097"
