Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
PAPI_TOT_CYC,"3524,11389,56946,29898","3652,9248,35004,22122284","3330,11270,19089660,26651030","3078,12827,27390,25864","3212,14601,19121,23684068","2944,9914,18753082,23081552"
PAPI_TOT_INS,"1385,1381,3352,2679","1585,1314,2242,2741","1601,1420,2239,2669","1385,1440,2791,2841","1585,1430,2843,3005","1601,1427,2171,3102"
PAPI_REF_CYC,"3974,14061,40878,25898","6501,13208,28393,39765","7041,23716,44992,50144","6177,15022,47779,57132","6415,21848,38869,52099","6490,17690,34732,64897"
perf::PERF_COUNT_HW_CPU_CYCLES,"3492,10293,36756,25758","2967,10783,21710,26743","2997,9292,19248,23662","2766,9418,34622,26466","3116,9609,33052,23086","2813,10706,26482,24580"
perf::PERF_COUNT_HW_INSTRUCTIONS,"1365,1365,6244,3809","1523,1367,2711,3198","1605,1360,2274,3037","1365,1398,2585,2634","1523,1515,2269,2756","1605,1367,2489,3424"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"247,259,4182,1987","247,282,426,520","316,295,425,1290","246,280,1824,1418","246,252,402,670","316,274,1058,614"
perf::PERF_COUNT_HW_BRANCH_MISSES,"9,23,256,39","20,26,50,47","22,32,673,59","20,33,54,329","19,35,572,238","22,33,221,67"
perf::PERF_COUNT_HW_BUS_CYCLES,"38,118,341,1870","53,128,1292,1023","61,171,3623,529","47,156,401,1234","58,230,442,626","56,188,381,468"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"4093,11718,39247,22237","5497,15195,30358,38836","7214,23004,48718,45257","5389,19029,39614,57963","5378,22021,38098,57207","6642,19504,33525,59670"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,0,246,0","0,0,209,0","0,0,646,0","0,0,237,0","0,0,154,542","0,0,690,1140"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,91","0,0,0,0","0,0,0,237","0,0,0,0","0,0,0,0","0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,192","0,0,0,235","0,0,0,526","0,0,1312,716","0,0,756,0","0,0,141,1055"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"400,397,689,699","400,393,622,721","403,406,1123,1370","400,403,574,752","400,397,771,754","403,394,784,2946"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"29,54,92,131","26,50,82,105","23,59,628,118","25,49,86,966","30,56,84,2007","29,51,268,2508"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"333,303,3630,476","333,303,390,1444","333,302,393,478","333,302,2082,597","333,303,393,5625","333,301,912,483"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"318,330,348,341","306,338,376,366","328,406,372,357","327,355,360,347","324,382,363,342","324,396,573,357"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"2,13,15,22","4,15,17,18","4,16,15,1072","5,15,20,29","5,17,20,961","5,17,2106,27"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"0,1,1,1593","0,0,1,0","2,0,543,2","2,1,1,2","1,0,1,5526","1,1,222,1"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"2,10,115,19","2,17,13,17","0,12,14,832","1,13,15,26","1,14,562,19","1,14,1774,21"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"1,0,3639,0","1,1,931,1","0,2,0,715","0,0,1,940","1,1,149,1179","1,0,1,782"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"404,397,686,975","404,393,904,725","403,407,2073,1792","404,402,583,691","404,414,555,1480","403,404,2678,874"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"1,0,1244,1","1,0,0,1","1,1,0,1","1,1,1365,0","1,1,1,856","1,1,2203,3528"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"333,303,393,481","333,303,389,483","333,302,392,479","332,302,393,4537","333,303,565,1420","333,302,2751,1326"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"0,0,1148,0","0,0,0,0","0,0,0,851","0,0,600,0","0,0,1621,505","0,0,185,0"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"488,1945,2526,5040","329,1773,2285,3477","449,1230,1480,2217","562,1211,1413,3327","418,1102,1694,1817","453,1147,1702,2412"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"306,1606,1786,3110","214,1586,1698,1859","384,847,925,2116","346,1219,1091,2032","410,1051,2491,1160","238,1074,1271,1796"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"90,168,230,1533","19,14,413,52","255,46,97,1115","206,101,621,140","153,55,162,776","137,80,1977,103"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"225,1803,3542,3659","342,1801,1904,2020","355,1077,1334,1771","299,1156,1738,1873","431,971,2801,1645","289,1063,2830,1745"
CYCLE_ACTIVITY:STALLS_L2_MISS,"147,1388,1841,2598","195,1279,1604,2254","210,845,862,1509","284,771,980,1937","285,1095,1094,1976","221,799,2433,1298"
CYCLE_ACTIVITY:STALLS_L3_MISS,"40,185,222,244","21,5,364,1156","100,29,85,151","197,117,97,843","162,51,2613,1499","120,73,140,133"
RESOURCE_STALLS,"63,276,2506,1643","88,943,602,878","77,189,636,912","77,215,517,881","87,406,505,1272","79,955,438,2249"
L2_RQSTS:ALL_DEMAND_DATA_RD,"26,36,61,80","22,31,53,75","17,37,57,80","26,34,55,79","23,36,53,71","23,34,57,81"
L2_RQSTS:DEMAND_DATA_RD_HIT,"19,18,40,59","18,21,32,54","15,199,3131,1289","16,17,35,1509","23,991,594,870","15,19,151,53"
L2_RQSTS:DEMAND_DATA_RD_MISS,"2,14,17,23","3,15,18,19","3,15,18,25","5,15,20,28","6,15,20,23","3,16,18,28"
L2_RQSTS:ALL_RFO,"4,18,32,44","5,19,28,40","5,22,27,41","4,19,31,42","5,18,31,35","5,18,26,42"
L2_RQSTS:RFO_HIT,"2,5,15,23","2,4,14,22","4,8,12,20","4,3,16,25","4,4,10,17","4,5,11,20"
L2_RQSTS:RFO_MISS,"2,244,218,21","1,16,743,17","2,12,229,1237","1,13,217,21","1,19,20,973","1,539,20,133"
L2_RQSTS:ALL_CODE_RD,"276,299,339,311","286,314,350,342","296,357,353,335","290,361,348,321","308,363,351,314","301,381,393,328"
L2_RQSTS:CODE_RD_HIT,"207,201,241,201","199,214,218,236","207,233,227,210","221,233,209,202","221,231,204,210","225,241,238,225"
L2_RQSTS:CODE_RD_MISS,"67,101,103,109","83,117,130,106","85,135,143,119","82,135,141,129","82,129,141,115","73,139,118,117"
L2_RQSTS:ALL_PF,"3,9,1,1323","2,658,8,5","3,4,2,1030","3,11,257,35","2,25,180,519","3,16,4536,7"
L2_RQSTS:PF_HIT,"1,3,3,774","3,2,4,6","3,4,1,4","2,7,618,17","2,4,1,5","5,3,1,916"
L2_RQSTS:PF_MISS,"0,1,1,10","0,7,3,3","0,0,0,5","0,1,2,17","0,12,0,3","0,3,0,7"
L2_RQSTS:ALL_DEMAND_REFERENCES,"307,365,420,446","306,369,436,455","313,448,435,450","308,413,435,444","319,419,434,444","315,447,436,448"
L2_RQSTS:ALL_DEMAND_MISS,"74,124,4528,1035","78,130,165,1153","93,839,1413,1403","85,148,286,1402","79,1145,178,922","74,163,1574,1803"
L2_RQSTS:REFERENCES,"314,370,1486,1329","338,1259,1388,461","327,452,432,469","333,449,565,1808","336,409,430,447","335,1323,453,2621"
L2_RQSTS:MISS,"72,144,3437,1143","83,147,1040,1702","99,181,160,173","96,171,175,185","81,761,158,1539","83,1156,1915,817"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"3,252,8836,22","2,906,1089,925","4,518,1538,1693","5,711,16,1518","4,255,506,580","3,1059,1403,996"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"2,257,13,21","3,15,340,1312","2,418,5671,1259","2,909,1290,1386","2,1026,544,18","2,668,1926,1208"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"66,456,81,411","65,90,1427,87","74,398,1937,97","76,637,131,4454","78,1133,122,1170","72,380,109,1146"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"0,672,853,916","0,987,979,1778","0,593,0,1411","0,0,0,4","0,255,179,1214","0,700,569,1000"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"0,190,2,811","3,750,7231,796","2,262,1820,0","0,766,250,129","2,736,154,1248","3,2,240,6"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"0,193,804,2112","0,245,1865,0","0,282,1222,2174","0,770,109,120","1,437,611,0","0,480,2544,523"
RUNTIME,"0.00263942,0.00306891,0.00459747,0.00443099","0.00367299,0.00360156,0.00524201,0.0105971","0.00381553,0.0050876,0.0120962,0.0128413","0.00369445,0.00494321,0.00686168,0.00840806","0.00366908,0.00513439,0.00664896,0.0131579","0.00375393,0.00482346,0.0118571,0.0130588"
