Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CPU_CYCLES,"2845286400,3097881088,4107983360,2835796480,2836779520,3531992320,3852698368","5678900224,6440776704,8151095808,5665210368,5670310912,6970334208,7693550592","11341334528,11524210688,15614826496,11326596096,11331964928,13928835072,15386358784","14227302400,17521874944,19851145216,14179287040,17443180544,14187759616,19230902272","28387717120,28601247744,38948790272,28335050752,34278791168,28339355648,38319345664","56717967360,56904962048,56642985984,66638708736,77397024768,56660701184,76531163136"
perf::PERF_COUNT_HW_INSTRUCTIONS,"4544739840,4528673792,4533799936,4544265728,4544321024,4547078656,4545760768","9079922688,8877574144,9078049792,9079359488,9079400448,9081915392,9046723584","17741596672,17881929728,18057787392,18149679104,18149838848,18151985152,18154061824","22211702784,22737543168,22735372288,22720931840,22599575552,22721204224,22722131968","44378656768,44557385728,45078941696,45396647936,44835717120,45396885504,45401591808","90068598784,89392701440,90747740160,90751778816,90422984704,90748502016,90040320000"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"578429696,532713728,621259584,483574720,483592288,594126528,568109312","1154628352,1061220480,1171160064,966175616,966183232,966843584,1134949120","2119706240,2404578304,2539447552,1931386624,1931422464,1932044288,1932641920","2418458624,3005056256,2937014272,2417835008,2418479872,2417902592,3259382272","4831482368,5777486848,6191037440,4830852096,4831715328,4830922752,4832263168","11539699712,12013630464,9656863744,9658072064,13711825920,9657108480,9658103808"
perf::PERF_COUNT_HW_BRANCH_MISSES,"59497556,59749324,2709401,2607875,2608525,129743448,194978704","232238944,176024304,160494976,5213744,5215456,5485268,197782240","10430906,464443584,627662272,10421095,10434235,11003210,11271234","13056015,450851424,991464128,13043649,13729322,13045442,14111787","592914176,1164391040,1382636160,26092022,1292317312,26060614,991086208","2318732800,3454975232,52117640,54351284,2751418112,52069652,1976968832"
perf::PERF_COUNT_HW_BUS_CYCLES,"133902976,21032010,86794040,19178808,19254316,24347724,26130284","41745420,268171424,288116672,38297792,38472928,47377920,52050056","759177728,196338048,879885632,76578824,76635912,596037504,104040520","387015040,672761152,726360448,95834736,118095184,95937392,607767552","1336200192,209274160,2207333888,191518192,235551952,191660704,2173449728","2669243904,3234623488,382847360,474221408,2482066944,383203328,517773824"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"2294825984,2283435008,3121276672,2070296960,2079421184,2663870976,2825614336","4532734976,4523437056,6222552576,4135004160,4152566528,5179653120,5674899968","9101142016,9089415168,12347502592,8267036160,8276945408,10186198016,11341442048","11415794688,11443738624,15581615104,10355599360,12923185152,10361993216,14180278272","22662840320,22720974848,30765006848,20686491648,25776742400,20695930880,28004265984","45037826048,45546881024,41347719168,51231088640,61915013120,41389543424,56435757056"
perf::PERF_COUNT_SW_PAGE_FAULTS,"170664352,153,136773152,664,157,126725144,161","272,56915636,271788800,777,267,256857216,266","453737056,454165088,462520384,493,494,493,496","284637408,255,489214560,762,254,252,480789408","1135410560,1138393728,1550105856,817,821,818,963588416","933,1703286528,1440,5117111296,1929625216,932,933"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,85914456,97732208,0,0,0,0","113523416,171179008,194085664,0,0,0,0","0,113599960,231780864,0,0,0,384889280","0,571928000,684815168,0,0,0,0","0,569050240,1549043456,0,0,0,963399488","1134510592,567899712,0,2558788864,2699879680,0,1922912256"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,28667388,19564910,0,0,0,0","0,113931312,232678144,0,0,0,0","226807088,113521552,385366304,0,0,0,768874816","0,285941440,293465728,0,0,0,0","0,0,387556992,0,1266089600,0,1915400832","1134635136,567262848,0,2558375680,3083490816,0,3826621696"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"1654500480,1654612480,1654834944,1654440448,1654446336,1728142336,1654616320","3305638400,3305753344,3439272704,3305560064,3305564160,3306059776,3305799424","6607901184,6607988736,6696187392,6607823360,6607848448,6893351936,7047696384","8272365056,8272792576,8668909568,8272049664,8272223232,8272086528,8272035840","17001993216,16647801856,16974202880,16527611904,17243488256,16527648768,16527927296","33511845888,33276860416,33038673920,34467504128,34145026048,33038788608,36310204416"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"1245961,29806016,59927372,1211613,1248090,100155760,1268129","2490749,287224800,2534806,2456244,2487795,195943472,194883408","4984819,4980576,622075840,4974853,4985016,5033909,389810624","6239782,435142336,789238208,6204845,6311110,6235825,967506560","12447806,12448431,786906304,12435678,1279199488,12441494,12671981","1158847360,1160125312,24884878,1916980992,1183540224,24915764,3851105792"
