Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
PAPI_TOT_CYC,"380593600,239083744,452021408,408843200","1400147328,750535232,663945600,1004859264","5449566208,2772937728,4403442688,3355028992","1863870208,1038417792,893573312,1196154368","7042188800,3618309376,2578168320,4140066816","27958214656,13533725696,21214160896,16089330688"
PAPI_TOT_INS,"1155562112,588667328,393049024,308526560","4532833280,2284478976,1532097408,1158948864","17950511104,9024050176,6011638784,4535054336","5776062976,2933501440,1942812416,1503885568","22657396736,11409226752,7627268096,5754002944","89725976576,45094219776,30018654208,22630559744"
PAPI_REF_CYC,"380244096,256461472,455777536,388571200","1369308800,773555136,686289856,1015280000","5532557312,2842168064,4537115648,3387962880","1845775104,1042708288,835341120,1228699520","7190883328,3717712640,2619792384,4274017024","27870111744,14065644544,18218016768,16995457024"
perf::PERF_COUNT_HW_CPU_CYCLES,"382901312,240407216,455117472,424951392","1405416576,751064192,676715712,1024796544","5560662016,2749495808,3467578112,3349435392","1862809344,1013000064,841319040,1230081280","7073294848,3602615808,2583438336,4137859584","27949144064,13514610688,9463729152,16558610432"
perf::PERF_COUNT_HW_INSTRUCTIONS,"1155562240,588668224,393466176,315474496","4532833280,2284480512,1531990400,1159394944","17950511104,9024048128,6025711616,4534173184","5776062976,2933501440,1942894976,1457418624","22657396736,11409227776,7627209728,5770001920","89725976576,45094248448,30085206016,22629582848"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"10023886,25448308,5170202,6112040","34186368,18240090,15453653,99096336","127211280,67137840,54103468,35228140","49979968,30774534,20749546,19736780","170390880,88277032,68533528,55712808","633941376,331855808,260404480,172149824"
perf::PERF_COUNT_HW_BRANCH_MISSES,"27959,18884134,13280,15472","70227,69760688,24292,40752","207746,97803,69204,89702","130812,96628880,48402,73177","316384,175326,123516,195657","892706,515100,360449,430388"
perf::PERF_COUNT_HW_BUS_CYCLES,"3559805,2219391,4355583,3694740","12689202,7243589,6001178,17830076","52108228,26161536,19383264,31361056","17360658,9670480,7720060,111186672","65309096,34203248,24406092,48724880","262396624,129667856,88814064,154531728"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"365793088,237921360,430552256,385711872","1398660864,782877376,678989120,989926400","5647120896,2819889152,2090579712,3394253312","1876852096,1057512576,830571776,1206072448","7069778944,3681103872,2654637056,4366541824","28246185984,14016279552,9714190336,16552376320"
perf::PERF_COUNT_SW_PAGE_FAULTS,"5,0,75,0","1,0,67,80","5,5,31,19","3,95492216,60,6147514","38,360511264,51,54","196,1348115328,189,1587843584"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,19929588,0,30729172","0,0,0,8614606","0,0,0,5546786","0,95199520,0,0","0,0,0,0","0,1345467520,0,5488853"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,7156647","0,0,0,0","0,269811584,0,326577472","0,95446704,0,7667093","0,350004832,0,8867709","0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"351566752,179764704,118409616,93540640","1361980288,688752320,459085920,355076384","5356319232,2696679936,1798738944,1535488256","1757240576,902438528,589167040,461968544","6807549952,3436255744,2290345984,1736528256","26772271104,13472783360,8986358784,6762439168"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"101434048,52228384,33677156,27006452","392745728,248606160,131525656,100305264","1542361856,972083008,517356544,397134560","506986336,261004896,168612176,141233776","1963040768,985965568,657336448,849263296","7706810880,3883143680,2585136896,3339721216"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"9638453,4928072,3260936,2496188","22641186,11536215,7929651,5834184","58764776,30047292,21191100,15083475","47921420,117205936,16398706,21695062","112166416,56616632,39045696,28554964","289747648,146124960,103249072,79043440"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"19081,19533772,6817,8730","41626,29934,27452,7155835","125882,79099,64846,48943","83244,95569776,55219,33768","210730,119991,124291,91471","596906,1348458368,326411,236376"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"220812,113701,92911,23733474","464988,71242096,193151,9496354","1308942,485734,412377,1617480","1056534,95383024,370421,10588690","2667935,1212397,783637,12047187","11161718,1354596096,1537532,17604020"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"189867,18983356,48897,55395","390414,197347,128851,183783","841452,413392,273785,317114656","805980,401268,257199,6402361","1908136,943043,631925,901504","4008514,1988580,1330504,7509521"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"116837,18905912,62707,88851","281314,71606096,177882,231960","638013,540146,463478,6098023","703774,712982,375230,429912","1459827,1509565,542216,6612363","3425024,1350610688,1425879,9599498"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"4488,5504,8031,8904","10278,70991552,43545,39156","19198,271166752,192615,318169088","17231,95526712,18785,10122","47072,348329056,68347,46565","72618,1348687104,211191,1586230656"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"351566496,179764832,118769192,101180552","1361980160,686151872,459074304,364389504","5356318720,2695390464,1798748800,1538754816","1757240576,897273472,589113216,513946944","6807549952,3428305920,2290360832,1753335424","26772275200,13471086592,8986295296,7647991296"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"1424,18841010,159,7617953","306,369,15302,1360","1265,4275,1737,23106","2539,95219432,2427,109026","147606,348066944,2536,10968","148712,45668,13811,7939370"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"9638457,23618306,3311679,2496372","22641182,81592648,7926508,90801144","58764768,30047114,21183980,15084611","47921416,117810416,16396866,12308296","112166400,400225216,39051864,34724288","289747648,146122528,103224440,73370112"
