Event Name,10000x1000,10000x2000,50000x500,50000x1000,50000x2000,10000x500
PAPI_TOT_CYC,"3397573632,1822700544,1433731840,1272248576","37180301312,16664012800,13198262272,10436629504","431583296,308804160,301708928,323556320","2901415424,1765393408,1423717632,1305085952","33908199424,17381609472,12916609024,8736549888","362414080,261797680,256583936,284764096"
PAPI_TOT_INS,"3559078400,1965267968,1445463040,1186888448","26428809216,14034381824,9976616960,7955330560","521892416,313038912,245483744,213174496","3559172864,1965513472,1445588736,1186762752","26429198336,14034269184,9977042944,7955113472","521862816,313041408,245499296,213225360"
PAPI_REF_CYC,"3184092672,1673003392,1326370048,1291632640","32893276160,17398255616,12299933696,9978300416","361183904,270107456,274989856,302480192","2423732736,1482021376,1232844544,1131650944","28330498048,12892867584,10810322944,8948448256","276206464,209653632,222208720,257164208"
perf::PERF_COUNT_HW_CPU_CYCLES,"3397041408,1809512448,1421358976,1258968832","37315719168,18876209152,13110776832,10140645376","427462752,310708800,302146880,330381248","2858777856,1745820672,1450423040,1292061440","33831999488,17869883392,12694779904,9882786816","358285056,255373088,250409984,281889600"
perf::PERF_COUNT_HW_INSTRUCTIONS,"3559009792,1965351680,1445524224,1186775296","26428637184,14034187264,10283736064,7955489792","521842272,313005600,245446944,217397088","3559261696,1965364864,1445603200,1186865920","26428553216,14034092032,9977102336,8128945152","521882528,313059648,245478816,213218080"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"120794560,92598352,209734528,82462624","693919040,505084416,431885376,395549376","25777068,21257366,19975862,19733660","120799384,92609320,82504200,78062160","693927616,504988256,1589563136,1319861248","25776716,40279016,34304768,19732716"
perf::PERF_COUNT_HW_BRANCH_MISSES,"675408,462025,430957,114448464","2986140,2156922,1296799104,1473300","154401,139332,134838,135695","677020,469730,432097,386579","2988722,2159759,1188407808,958107776","152452,137674,131696,131330"
perf::PERF_COUNT_HW_BUS_CYCLES,"28264954,15982059,145016960,123063808","325046080,146326432,108285568,90812392","3307208,2450330,2529666,2815568","21545292,13620576,11520874,10489044","261958448,1855727360,1171704576,1030809920","2558252,1941547,22546990,2367311"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3078221824,1730886016,1351137024,1262597888","34404040704,17834192896,11308214272,9072456704","360900320,264579840,278249760,304012800","2385271040,1486515584,1232667520,1134877440","26693378048,13849600000,10320152576,9003072512","276244512,210335856,223057760,258584736"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,134,0,123","484,1957268096,1205070208,973445120","0,0,0,19966508","3,48,55,116238872","504,540,1201166720,957107520","0,204,20672510,142"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,120101264","0,1899456512,1276532608,1008481984","0,0,0,19684630","0,0,0,0","0,0,1153344128,942792384","0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,135498144,129237888","0,1890538112,1345174784,0","0,0,0,4414267","0,0,0,0","0,1812867456,1156729984,933119872","0,0,16205765,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"1327530496,832972160,534641056,512534592","9777422336,6541532160,4658552832,2997734912","197691872,115946856,89331792,76419896","1327474816,727668352,534680064,438714304","9777454080,5204113408,3731132928,3598734848","197707808,125507816,89329360,88302608"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"418624896,233563984,298065504,150084416","3099211264,1658956032,2440031232,1012025856","63297164,37717208,29590412,25360152","418632832,233777760,177784864,249309776","3100133120,1659045376,1947296768,1723083136","63253112,37577972,42895768,25600364"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"142042080,90298384,73536304,168870832","820748224,478547264,1649522304,1084130688","30279456,44518824,17937104,16273741","142005760,90350296,205740864,64335532","820666944,2161829632,1158958336,306239200","30289284,20989376,32333708,16277158"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"368197,188245296,349716,333992","1615231,1403933,1304850432,675612736","102533,135250,130133,125172","341813,364692,136861376,324625","1374393,1291941,1262883072,1102719","98581,21193880,16342453,124113"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"86061480,208349488,20000560,126138048","284397216,2002801408,93258656,77280544","15448277,30188742,5809499,986862","107111480,204294320,21655946,16302669","337920256,1756658048,1342563200,1050103296","16400462,4407471,21869198,20192604"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"5417369,180554208,143881328,1628790","164088416,1935165184,1304789888,1082972416","287273,207945,182334,163984","2851102,1734898,1622421,1610153","117380776,1773101056,1267258880,997803840","4545,8415,6586,14961664"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"2834683,3903948,3675336,114963944","20700188,1914016384,1174689408,1063217792","847500,1031245,853605,19930808","4315111,3978030,3718060,3502838","18347428,16002512,14158189,1027885888","961686,22095944,886504,5268526"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"821896,745701,707686,112680896","3683378,1835029248,3373412,2719738","147995,150814,145670,19443204","617111,677194,650000,5141862","3816542,3048509,1249079552,964174848","2961,8706,20587358,19390072"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"1327532800,727615680,539043328,508109312","9777469440,6304904704,4679869440,3751466496","197707520,115955888,89331152,87455616","1327477248,727559360,534687680,438772736","9777453056,5204374528,4602936832,3684692736","197707936,115947760,96699760,76431080"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"4793,179226256,3392,114011944","6080,1894127232,1330405120,3647","880,1490,21013036,836","669,605,598,4420777","2851,3851,1923,961522304","1134,4518,16196973,23716300"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"142012592,90328576,73565416,64322900","820733888,478849024,1647545472,306362176","30274684,21008392,17949052,20691342","141978912,90327128,73532624,64474412","820630336,478731328,1514897152,306230336","30275306,39978832,36778560,38373292"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"3176,4313,3216,115562520","6296,1905560832,1310572288,4313","1147,1906,21504534,1640","1393,169643616,1289,2629","5385,1594337920,1157485952,924606272","1284,21145996,20629644,1222"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"2546872832,1215730944,949302976,798627968","27270453248,15220353024,10662438912,8466768896","284082944,174972768,141204736,127916392","2051769088,1172907392,916727808,778455808","26540306432,14298464256,8573977600,7124698624","241550816,136744336,108107280,105039384"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1620430720,845422720,629998016,514921920","19977072640,9870836736,6555351552,5155124224","205263632,103044920,83699320,75540416","1441567616,735695680,544133248,499738464","16194988032,8718317568,6726454272,4027298304","174890768,87671536,37101640,31462336"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"917814976,350989664,295491712,335191616","17721194496,8344634368,5511632896,3334276096","50143244,38106808,34420812,46785736","467383968,287927712,368149792,206801408","15870631936,8222283264,5635134976,3913230336","759717,2599096,21746472,10901163"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"1763962240,767448704,601476608,516488896","21804437504,13027878912,7594097664,5537743872","156669744,108254416,80918328,62775448","1333627264,807949440,641787648,409857088","22235199488,10753235968,8023702528,6261701632","114608960,71421744,49117600,49183176"
CYCLE_ACTIVITY:STALLS_L2_MISS,"1188121728,659221888,415342848,400978144","18003968000,8414294016,5760027648,4475617792","129317784,70823304,48272968,45442880","979122816,509868736,399953024,284940448","14606278656,8095484928,5665271296,3648264704","98337712,41170704,31091158,42457292"
CYCLE_ACTIVITY:STALLS_L3_MISS,"814254464,315014080,379791296,310743168","16678464512,8959085568,5485694464,4624161280","43946912,56472608,53232536,28021820","419813088,406155680,349021472,195259744","13235420160,5640207360,5063245312,3785315584","613215,22569160,17110936,10219951"
RESOURCE_STALLS,"2276581632,1171143936,899299008,736200128","24911390720,15028987904,10274834432,8303763456","243391232,158783344,124436880,130551896","1873174528,1062786240,858517888,706224000","26359586816,11335004160,9651658752,7436041216","184473312,106208360,76894456,83081008"
L2_RQSTS:ALL_DEMAND_DATA_RD,"148317536,78611048,63597932,57830600","850711936,457768352,368551488,331044896","28225940,15639270,12536984,11310246","164110368,80162208,63871928,57262356","889492288,475671040,377714848,328028736","28765734,15801453,12581332,11516953"
L2_RQSTS:DEMAND_DATA_RD_HIT,"75540496,51967360,184313504,155489808","677153664,2128697344,1626846848,1279932544","13473786,37700348,31730518,37898068","62503096,49812004,177636064,158368560","683170752,377814144,1483537024,1218895488","12936040,32149936,15891245,28878150"
L2_RQSTS:DEMAND_DATA_RD_MISS,"71617712,25896964,15251691,11424691","183521104,83371520,61274856,50471472","14750226,3490021,1054295,827784","101308272,30219414,15815622,11929884","228802640,100498080,68504080,50431392","15830878,3679246,1088144,852444"
L2_RQSTS:ALL_RFO,"25588694,16589965,13208052,11470990","178738880,97490760,70834512,59497248","4359254,3216846,2669386,2379408","26407816,16609109,13177661,11461206","183378080,97908264,70970280,59719252","4494853,3248912,2706026,2401997"
L2_RQSTS:RFO_HIT,"21823418,12206026,9056015,7506078","156837856,80708960,54244640,44623996","3359347,2159444,1768303,1494759","21228924,12118275,9015420,7432803","162369408,79318872,54853804,45178164","3336397,2126758,1766070,1468254"
L2_RQSTS:RFO_MISS,"3693260,4411502,8565910,3954724","24587180,1886184704,16577024,14955912","1004370,1055813,26769044,24566050","5228191,168118400,4158024,12866726","22067690,1653594496,1293042048,917203776","1157598,1124507,936183,9758261"
L2_RQSTS:ALL_CODE_RD,"345497,362157,337648,325146","1545135,1352408,1184030,1049171","97185,128324,127875,133218","302934,350820,331971,322688","1271626,1301583,1172495,1048855","95393,125688,120258,121154"
L2_RQSTS:CODE_RD_HIT,"7418,44239,49161,56034","20234,88945,92213,107119","7510,34999,39038,50739","6964,43737,48222,65554","14680,87978,96459,115526","7570,31754,36307,45233"
L2_RQSTS:CODE_RD_MISS,"335384,333431,288192,271981","1447387,1265861,1087019,933390","88922,93051,89259,82668","296552,308808,285194,300104","1294112,1207546,1079613,986002","88972,94095,84505,76889"
L2_RQSTS:ALL_PF,"423235552,247866368,187331808,250982304","3594094080,3606653440,2594113792,1116094848","53668464,59376096,49407420,46361464","380469760,379698016,304259936,259084928","3448019456,3501635584,2461424384,1092094976","51533848,53250388,44262828,41383884"
L2_RQSTS:PF_HIT,"292865760,162232400,240010448,202447824","2288633600,3060866560,903069568,1747581696","39758644,49241192,39107352,33455712","281089440,308484928,244848768,211582528","2290963456,1246382336,2026602752,723208064","39536748,43518696,23625254,24007652"
L2_RQSTS:PF_MISS,"134066448,86094864,64692008,52111564","1328202496,707298176,495443008,379322496","13896890,11182398,6883113,4653849","97998512,80823744,63512200,50726608","1264793472,694786688,497396576,372879552","12003902,10734216,6751075,4560269"
L2_RQSTS:ALL_DEMAND_REFERENCES,"173974688,94783120,77200952,68623344","1046136000,552976448,440540928,391726784","32685766,18946120,15384597,13894163","191421152,97278456,77335688,68861648","1083075328,582537408,451585280,396676128","33354596,19165166,15378603,14028981"
L2_RQSTS:ALL_DEMAND_MISS,"77454416,30695590,19803814,134218208","202940752,2035917440,1381221888,1061804544","15860544,4626849,23342388,6214623","106143728,35255632,156295200,143809744","243745824,124438768,1139243776,1071287488","17062990,25697110,2104789,20905184"
L2_RQSTS:REFERENCES,"598593856,486700896,371369920,315463744","4653786624,2540671232,2930555392,2346566656","86335976,76236560,63136724,58374656","570843328,469142720,372965312,221605216","4640650240,3956705792,2854407936,2360114688","84861856,54356076,58099640,42606904"
L2_RQSTS:MISS,"208999712,288466624,217187024,181553760","1532389376,2420111872,1755173632,1401466112","29787028,40266208,33734748,10861527","205695744,115817856,212750176,184843552","1513906944,815791936,581623552,1410011904","29067948,15648651,28858844,15239645"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"86975136,201441792,160431472,130743872","302074272,2025712384,1282724608,1069070016","15726890,4313520,22186564,29133756","108190704,42183704,156792464,133828432","350812064,151467552,1344814592,1066438272","16403661,25243226,22138428,14247854"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"2912784,178104736,3666921,120394152","20710532,1936853632,1309653760,992454848","850924,27712188,9679754,28998000","4307983,162039312,138580208,123584768","18294556,1756796160,1243074560,972173312","962702,1086403,21731836,24430872"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"342808,178511456,4704655,120101672","1417368,1941977472,1313009792,948361216","89643,92783,21451356,13326022","311224,157159136,133736000,125804456","1299163,1189617,1246770432,918691840","88507,21544052,8907630,13314086"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"95130512,60486952,181597136,145180704","1015655552,2402861568,1694641920,1197707008","9144590,6861021,8589450,2404872","70409432,55785544,52770008,35077688","1011840320,545906944,1591777024,1092541952","8077728,11169558,4084739,11195764"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"5470889,6633621,6141973,6192199","23459722,1870312448,1326951680,810021504","1129175,6276959,1492906,24715862","5941298,165720720,141393936,134376576","22611952,22904410,21986600,974126912","874811,6158296,5924947,10163394"
