Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CPU_CYCLES,"8578,15888,20255,31554,48124,157946,298262,403428","6250,20806,25410,38683,50001,150704,1142640896,1142554752","4125,14173,24341,41375,66424,258956,1228004224,1346412416","4716,16082,28927,34379,49608,276730,291951,1142584704","4261,14865,43668,46095,47894,203680,1142770944,1189775616","4328,20262,36103,42750,48466,161356,1054967168,1142041472"
perf::PERF_COUNT_HW_INSTRUCTIONS,"1385,1359,1871,2439,3595,30566,118057,358815104","1551,1317,1976,2621,3707,63599,124461,469370944","1675,1373,1990,2558,4036,45499,49412272,220116288","1385,1443,2067,2782,3273,17930,634648000,479781088","1551,1429,1913,2551,3756,19504,221202112,174984576","1675,1821,2018,2698,3532,7513,219589920,300201504"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"304,253,303,3641,651,39605,31883,608098112","337,235,417,497,705,26807,41485,312671776","292,243,367,489,649,47625,491755616,52086632","304,219,409,505,685,46965,578508800,276646016","337,274,447,565,729,20370,406312192,242001136","292,275,523,543,719,11948,15029756,187231456"
perf::PERF_COUNT_HW_BRANCH_MISSES,"16,37,49,8193,79,16084,175812880,360356896","28,33,60,67,12233,43125,87898560,537562304","22,34,55,11055,116,18905,279,219653376","17,30,7018,83,13437,56107,351625568,846904192","24,38,59,74,102,145,269,439365824","23,38,64,86,107,199,275,395502528"
perf::PERF_COUNT_HW_BUS_CYCLES,"51,63,111,218,10074,41769,82407,747020992","68,68,127,228,10134,57750,42258,226467664","52,68,126,199,296,862,1738,8673240","53,74,133,11293,231,65216,183540192,204234864","75,107,118,198,366,27567,183569152,10138463","31,95,238,445,298,20011,8112482,182907328"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"6156,7668,17496,19008,31428,117423,214225,1005150016","8748,8532,14148,23335,39057,143549,199596,1214513152","6696,8100,16200,21816,39204,216202,251279,908360000","5940,8316,12744,21708,35587,137484,990984448,997811392","6588,10368,14148,19872,40741,122603,205712,1033001792","8532,9720,17712,30348,38880,108186,979793408,1382883072"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,0,0,4770,0,19725,112711,219709216","0,0,0,0,0,11838,0,178090224","0,0,0,0,0,40671,175802448,175753968","0,0,0,6490,0,36041,131812400,502404512","0,0,0,0,0,6228,64078,351410560","0,0,0,0,0,0,0,409809024"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,3625,263657424,442448800","0,0,0,3260,3111,31027,74862,320338688","0,0,0,8283,0,28147,87904432,43910768","0,0,0,8965,0,15621,0,278062016","0,0,0,13623,0,16841,63067,131789656","0,0,0,0,0,35309,0,263617168"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,49843,22283,0","0,0,2096,0,0,45844,85381,0","0,0,0,0,0,0,0,46326","0,0,0,3281,28676,0,351587168,395444576","0,0,0,0,0,77865,263649920,263651808","0,0,0,0,0,18057,175828672,346287104"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"404,389,555,714,839,23310,269807552,559990592","404,417,8378,743,11152,33277,7058651,94591328","404,409,565,720,941,1903,49680,252991312","404,404,531,711,910,19063,40156,51059","404,455,529,691,10356,38808,3130,359680352","404,493,564,733,904,23723,7551276,388165728"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"26,56,79,148,16481,25974,182778912,87813472","27,64,82,8166,155,317,485,141168560","32,51,85,131,168,329,175603152,175806432","30,48,77,131,168,363,131838272,1170","31,59,87,118,151,71829,87812000,418604448","38,54,84,110,150,371,871,263681456"
