Metric,false,master,close,spread
perf::PERF_COUNT_HW_CPU_CYCLES,"492201568,733977984,1505840256,1630336640,152419440,153265728,153190784,240230528,238501664,238382640,154390512","720387392,1057041920,1384887168,1696033280,151672016,151681264,152444320,152023024,152581536,152669280,152344736","466880992,644050304,823836736,1002501248,237407392,238305312,238016640,153101248,152769200,236405072,233991600","610037696,799623040,942133888,1002071872,237817600,152377760,238520320,236653456,238007184,237100256,238379280"
perf::PERF_COUNT_HW_INSTRUCTIONS,"298036992,348698976,692611328,392084352,241355008,241362608,241522720,241863504,241513152,241391664,241487840","267600336,284428992,300092832,315638080,241355200,241362560,241370000,241377104,241384480,241391744,241398928","256018496,264420464,272825120,450809184,241523968,241429776,236786096,241534656,242084240,241487472,241399664","349096416,470919232,357570912,493569472,241389840,151530736,241652112,241509648,241541664,241489632,241433056"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"69585960,161866800,237020240,423585984,21869366,22060364,21909324,151650320,21877288,152793216,22780136","29608572,34166124,38632776,43111144,21869876,21871608,21873546,21875450,21877344,21879304,21881168","26059898,28461620,164180240,253152768,22149042,150990288,22103588,22302572,22152438,235345248,22356256","26060748,140926800,174799952,33262324,22177046,22099850,22011616,22072412,21877404,21879584,21880652"
perf::PERF_COUNT_HW_BRANCH_MISSES,"151220,44646832,248935232,287712768,493385,303974,230981,151484,306672,236134144,152300480","151196,150997,151115,151331,151181,151039,151214,151060,151195,151263,151185","151254,151321,378002016,134679344,424645,152014800,290297,415663,526815,250056,943650","44269064,540283392,88926448,333394816,267840,618686,323632,949973,184513,285069,222062"
perf::PERF_COUNT_HW_BUS_CYCLES,"60302968,175043824,6395283,384634304,151857776,1173760,1845141,238293440,1175422,2052520,1232718","5295528,7557721,10083566,12285196,1114360,1111833,1111621,1121584,1123743,1119332,1122372","3431132,4735558,315092960,139879520,1163392,151257680,1183053,1219232,1500863,1817693,1846516","238573696,49866052,50955936,316849536,1162417,1227501,1485529,1266308,1163073,1264353,1792297"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"438992640,581047360,1277581824,1348396800,236458752,152230736,131876264,153716352,189417408,153108640,123670048","571872832,819288000,1070648512,1329490432,121325904,121012384,121439304,120773160,121574520,120677152,121051264","370151200,556489728,787362048,830363904,188131152,120018936,162822032,128369880,237892112,180821680,142236768","484814912,655189888,820368000,831417984,120655392,121737760,152139504,121726400,121994528,190085616,153646928"
perf::PERF_COUNT_SW_PAGE_FAULTS,"44131468,111640704,230859664,335674976,104584,151210944,235618864,184681,42163,81714,426653","4,1229,0,0,0,0,0,0,1164,983,1173","1174,1173,243853520,134413440,151255184,168065,103955,236480048,0,730018,204008240","44113400,337231296,368897088,288308128,82200,151298128,237107728,236326608,158323,480619,510212"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"195143440,0,0,324554560,0,68242,236715888,190506,39868,76905,818242","0,0,0,0,0,0,0,0,0,0,0","0,0,356124352,226958800,67249,238042448,66851,519070,826284,162580,247037","44118228,44514744,101101952,357512000,164932,188880,0,37781,195137,138184,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"56835160,114421096,0,0,34503,151435584,152582816,82422,160372,151354096,151559280","0,0,0,0,0,0,0,0,0,0,0","0,0,178012672,243422544,275809,66998,236139616,64417,77914,67817,201347","215384480,113728400,134028360,133551864,234036,167425,200249,204165,0,645066,128702"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"253851744,200785696,202382832,277776864,96820672,96858824,151100096,237640208,93628456,152243392,93747672","100648552,102873296,105099912,107378608,96738680,96740024,96741208,96742400,96743712,96745176,96747520","98833424,100033056,499910176,602076096,93843696,96758080,96882824,94126464,236356144,94134672,151426400","239532496,197246256,243126528,146848880,152398096,96873696,96978480,96950128,96744224,96854056,93619856"
