Metric,false,master,close,spread
perf::PERF_COUNT_HW_CPU_CYCLES,"1114727424,1345949440,1452244480,1622396416,770997760,766931840,762540992,760850496,781214336,770124544,780213888","1364578560,1707946112,2027797248,2382798592,771616832,778135616,789136704,791689920,783826304,799800576,789396480","1090096896,1287646464,1467539840,1639114112,1255881472,799058624,1293630976,793262016,787869440,1260427904,1264885504","1576625920,1769634560,1905336832,1624444288,1238863104,780938368,1277386240,1275754752,1277994624,1277684736,782627392"
perf::PERF_COUNT_HW_INSTRUCTIONS,"1017355584,965693312,1252267648,1086827392,1002805440,1002646528,1003709952,1002577728,1003005632,967089600,1003514368","1030672832,1046874496,1062161536,1078090880,1002663232,1002683712,1002711616,1002720256,1002839680,1002674112,1002721728","1102970240,938917696,998882176,1042427712,1003946368,796467264,1002144576,1003942592,1003909248,1317499392,1273975168","1273432704,1194430464,1076470784,1170872832,806463424,1002215936,1002903616,781390976,1002393472,1002816896,789022912"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"90429032,183463744,142839744,185908880,87047728,86925848,87385392,86192464,86844240,87180840,87131632","93732648,98889712,103480552,108054528,86251168,86239632,86245640,86253872,86285040,86246608,86265632","136768272,136957088,1038898688,229552672,793924288,86500928,86860792,86453768,86931928,86322992,86427800","90214064,92567776,182629680,363898656,1289044352,86611320,86563312,86137056,86362512,86240664,87229144"
perf::PERF_COUNT_HW_BRANCH_MISSES,"830750592,139527552,94012168,178608656,1101948,809634944,839494,476480,999006,630542,1385306","472568,471475,468679,471112,474303,483672,468750,472429,471777,472867,473375","135633248,863297280,179116816,1094930688,620402,573727,817497216,742441,1885384,1269217,1247110","1329143040,88942064,133625128,134082824,657443,965038,776846,1364632,1289288,1336809344,1017645"
perf::PERF_COUNT_HW_BUS_CYCLES,"9925557,11798565,101714568,973501248,6572144,6112213,6357004,6142394,6050933,819304448,6312179","10102607,12463016,14677424,17147080,6125063,6363772,6148608,6098290,6101663,6212515,6152231","8462942,847121472,99396800,1099601152,6339433,6627490,6614836,6594842,10192621,6545728,10346758","12155172,102039144,368395488,56646672,6138219,6308986,6265734,10437041,6381993,10125353,10063965"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"925310336,1271836288,1317086208,1484932608,679184832,684039680,682442112,817607232,653165056,854137408,911269184","1110850048,1359050112,1596816128,1850031232,671711168,687872768,672108544,663792704,676562240,673207936,678102976","1068193152,1109638144,1358105600,1782050816,680440704,689711936,667063424,693454912,680449408,661014400,1104991360","1335226240,1602800512,1812165504,1819593984,1097197440,698013120,660016256,1074681600,681062720,1079264256,1073599360"
perf::PERF_COUNT_SW_PAGE_FAULTS,"190,88719400,88814624,89398760,63099,36360,297136,950988928,36318,373770,592129","349,58,457,175,252,131,834,335,464,515,1208","845326400,884879360,88859056,447578400,312366,332731,683435,565179,790255680,146841,796929984","280,44526540,1499,1011497216,1124,178901,334120,142103,799305280,803007424,786186304"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"980108288,93208768,275060288,44601100,174691,0,1002856320,175181,734837,295275,119512","0,0,0,0,0,0,0,0,0,0,0","44343464,313029696,1001687936,1062969472,222202,803731200,165701,818067264,798994688,736217,256143","93408392,88402344,268015536,534078208,1283793408,799992128,810801920,32934,0,1320721792,37633"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"1104971136,0,1039403264,46870696,352447,114636,195048,215180,277300,791797312,390838","0,0,0,0,0,0,0,0,0,0,0","44754000,0,981791424,973738560,84560,1288377856,209297,200155,0,0,0","0,177162704,177322240,88960688,198304,143673,217709,798873664,826196288,782772,803825984"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"334928256,428294976,841353152,338807616,333217696,963282432,800796032,331725824,333134784,333425088,333699296","336840288,339167680,341313984,343767200,332861952,332861120,332869856,332864896,332889184,332855008,332864608","335198624,469128192,381820480,515185920,822144256,328765824,792408896,328422976,810760128,332942144,328957536","330734848,419859072,465701600,560178176,333181664,328554528,333091104,796595840,332927520,1267789440,329492512"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"99900176,99916648,969166912,278021088,936983232,99858776,776524416,100101320,101113768,819924224,100210816","99940568,99850672,99903792,99949320,99883872,99755240,99941808,100041808,99865304,99799616,99871768","865475264,188660016,99790992,99921808,99980824,99967968,795324032,1311158272,99816976,805802944,103073112","196937584,1346663936,1295939072,233193552,99876808,1323597824,99865376,795978368,100017520,1285134208,100208896"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"122915608,258518320,399199648,165154064,76517640,76503744,76496568,76260408,76732856,76419536,76585376","76246104,76253536,76261624,76252896,76257440,76260224,76261776,76259824,76269496,76259600,76259728","76334488,164969872,121015056,120648328,76431536,76460984,806675136,1346049664,76673112,76433440,76453824","76206552,76189616,120628120,209512256,76327408,76258912,76298656,1320794240,76646864,817991552,76362696"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"47528824,133500648,92961968,134121856,540884,390299,425803,359210,804485632,606118,641424","343332,339427,337014,339629,360596,339991,341403,337738,340316,340484,343651","379642,89242288,92404832,45004824,432512,683971,684317,1330163840,809177664,670385,722299","47452516,351854,88881272,364171,516563,816502144,406853,542210,770497,881909,580533"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"52292212,1022409984,239476656,185989568,7892406,786648704,10367866,8037089,8229933,7979091,824111680","7868823,7854328,7893725,7897436,7905425,7849548,7896834,7866005,7891698,7886536,7873582","54595820,7925583,141761424,96853216,825142976,11007392,8136432,1328785536,8049979,11337585,10540708","10150947,10262795,1505293056,858757888,8137295,7984710,8131235,7953822,11175159,8093023,8268690"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"520938,184410272,44955176,223088224,929779,1012912128,869951,520498,1090194,798750912,945571","461680,515931,447132,507713,484480,519167,477987,432410,467739,516893,484934","527452,551800,89813888,178189568,893456,609515,549862,596023,822623,809487616,955740","138673792,133981056,44986508,136854976,776144,631526,560283,817002752,534403,874261,945319"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"3707554,94826080,1087523712,315805984,3819382,803172416,4117327,3692056,3749421,3982333,3831192","3724208,3734247,3752087,3715171,3693677,3672498,3735743,3744639,3685870,3756348,3743135","3709986,92537488,47829196,136990208,826461056,3632266,811562752,3927904,4030873,3730766,4371402","50057244,135779440,48079640,226638368,4004104,4103139,3428865,815681728,3715398,834504576,3515636"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"520137,48091196,989213184,134247600,572366,556754,1106824,791958,1112713,867051,751064","490006,593467,486020,558335,504731,472278,506832,484577,487570,489605,488141","483477,45220840,92376400,44835796,800849,559676,813033728,825665472,673986,1194760,842716","453183,507006,45977756,311926240,564019,582934,739295,537038,1295702144,687255,605866"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"334926880,336188064,945769024,386156608,332386944,332431744,994135104,332924416,333783232,332015872,333301472","336841856,339154592,341471776,343769984,332849568,332858592,332845728,332868576,332885504,332853760,332859264","379327872,380703968,1423827840,606391488,813105344,333536416,332861440,819719872,812526144,1300662656,333296960","330724576,331919200,377285664,603617408,820298688,333380384,328655456,333261824,328840192,1329237888,328964800"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"44161760,90037040,3073,1527644928,147616,989527552,219524,814892160,147908,477077,350115","1416,1210,4725,1041,2175,1742,445,1685,1897,4477,3348","821393024,133666016,44955388,89573528,264970,73189,1301764992,404133,146434,330654,211630","2200,1357531904,88554768,133450944,37719,73799,1329045760,147537,85996,607286,411255"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"169844400,122855400,120737296,120826584,76438144,76536352,76487200,76560128,76910000,76579192,76482176","76245440,76251944,76262208,76253008,76256120,76261312,76259640,76263728,76271984,76254624,76258840","76335376,120865504,120719648,254167184,818065984,76477528,76429400,76582456,76256584,809429760,812761600","76205320,120343736,164696096,120947088,76457896,76461504,1326447616,76628728,76691896,76663768,76671632"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"3988,139184016,141740336,267054320,79707,146060,219478,421802,800037,398432,232440","1489,2925,3361,2782,2399,2200,4798,1133,1263,2949,2483","90935224,88986072,911125696,311137632,820064512,173431,190982,435715,79745,807525440,812766464","46894816,132778472,1446276224,44494648,24292,126191,1346084352,260978,203374,345681,486959"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"582871808,883625856,555665600,445123456,529107680,790221568,970859008,515507296,987974656,524427936,570641152","442399616,450772096,447470112,450362208,446483840,454573920,444861056,445852960,447580448,454440608,455521472","491596928,664328960,587545792,538940288,1314145920,454657440,447270400,459358400,447364128,815392320,437835840","586368768,793771200,832170304,1180055040,621933760,1320291968,622314752,627588224,454865056,810339392,607908992"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"394145472,454490880,478779936,878459072,245802048,786766272,305766528,293174944,224709104,240465216,227416208","244540608,254519104,250019552,251844784,249708720,246887584,241960528,251897200,254700464,252438336,251227184","252068016,466812544,609545344,433330944,243212224,254180528,813111552,257934752,797597312,389903936,394882016","353160128,556152768,601659072,517973696,794607104,252519568,378572160,822663104,379894560,251909984,1298855040"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"819712448,1024710912,458706048,143552432,58239004,50572684,43916096,805105344,50552840,1012809472,54337324","47933424,51667168,48834076,53787160,45389856,48383016,51387208,48922816,56718832,52666640,56247176","1023903680,55582676,1164406016,188991520,798027712,822303744,48246544,60282224,52397328,1296191744,1332634496","57607680,256848944,317774368,316888192,54824648,52152880,788651200,821766080,60075636,51683676,60411240"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"251892816,207121840,1140280448,995509248,293393280,317555328,295422208,232081056,294213696,813380288,229717392","224739056,234380336,231769104,233020944,220681392,239096800,219134912,214776352,235725488,235803680,229747072","317928256,226506336,444481632,283408448,233902720,228926272,412550656,424301152,233522832,401901536,412362528","383116224,679079040,380265472,311441888,821049152,228933216,223267232,239006848,1313232768,1282340992,412663776"
CYCLE_ACTIVITY:STALLS_L2_MISS,"191381232,236867744,360144160,477369664,178452976,164774864,1014096704,767983424,145271360,977238464,973527808","169093760,174472688,173915040,176834608,170582016,181949872,172301360,174918816,182653488,183189728,175928624","312583648,213506512,264791216,488865664,171885888,309571648,289485472,822244800,796944704,1279235968,297706368","272141920,382494176,403699968,401522368,177271872,172119840,174085344,173558496,179207856,1283671552,307323360"
CYCLE_ACTIVITY:STALLS_L3_MISS,"40078680,86200200,89592736,1048041024,806437312,45084072,48336292,44382320,38647336,1007550272,1016078464","39794512,42276992,40195416,43761296,41172864,46883760,34512024,36837032,49327712,44252860,42295096","40979144,810736448,1381108096,906254080,45287676,58449032,40887328,50148996,42725424,50640904,53746788","52314400,74286736,188201632,131164488,37427704,38676328,41316808,43660264,45808176,42707944,60238028"
RESOURCE_STALLS,"465633376,563642688,784192576,911470144,475159168,449929600,461384544,1048743552,512113408,425207968,460319808","466538720,477376608,469301536,473204608,447380736,457012672,444657280,443825024,456085824,459755648,458196992","462937888,1038699392,693552896,832275520,450111776,472614560,451239712,460024064,465115552,479560640,1299067776","537495040,710740800,769083584,1579861120,446528384,473809120,797537984,448082880,482377408,472913408,445272096"
L2_RQSTS:ALL_DEMAND_DATA_RD,"41131280,41129216,41728512,41196656,40835880,40973504,41151720,41491672,40982320,41700632,40819592","40951328,40878952,40873292,40808952,40972664,40872764,40875488,40921600,40883672,40769388,40927304","41074096,41035028,40952944,40936756,40932700,40927524,40833444,41313112,40896868,40929404,40888680","40308184,40257600,40093216,40951152,40979920,40987388,41198948,40871180,41224816,40336712,40851648"
L2_RQSTS:DEMAND_DATA_RD_HIT,"35100824,490871840,1334809984,1313096960,33344940,789161024,787870400,34863528,33610464,33506030,800892480","34311592,34288608,34249072,34178516,34253072,34243696,34223036,34304612,34249192,34159920,34282464","34398640,212072352,300852608,301485792,793715264,34596264,1302451968,34742248,34617436,34685884,31939852","31273844,341228032,298047008,1151477504,809062848,34906448,32007636,31760400,32050812,1293327744,34490768"
L2_RQSTS:DEMAND_DATA_RD_MISS,"6746763,6805932,6659604,6731137,6633199,8729213,6710281,8907414,8916325,8778769,6602976","6638678,6601555,6750047,6637573,6627466,6593375,6641932,6604063,6588232,6594718,6564318","6692076,6669430,6744032,6658143,6567866,6656095,9836137,9499916,6648672,9524068,9717401","8963829,9085355,9091784,6671569,9658734,6640659,9683443,6760602,9672401,9007952,9648691"
L2_RQSTS:ALL_RFO,"10599021,10641808,10542657,10541539,10542105,10576462,10577649,10338682,10497397,10282126,10536570","10550471,10547103,10658962,10503055,10562605,10469228,10466597,10569548,10487687,10492291,10524380","10576966,10561386,10554442,10571815,10518308,10614966,10518997,10420154,10550855,10445132,10522551","10123425,10161797,10195024,10527152,10481883,10587474,10390304,10543753,10406694,10481540,10523791"
L2_RQSTS:RFO_HIT,"6796673,6673856,6493765,6705155,6747963,6717033,6680950,6625993,6473130,6643236,6679420","6630409,6646204,6641362,6641462,6654918,6630899,6616287,6663853,6642442,6623826,6637330","6649061,6705817,6636796,6654494,6703943,6620573,6671417,6782106,6638841,6720032,6649559","6658797,6638343,6653380,6627989,6624010,6628501,6602387,6623137,6651514,6613654,6749572"
L2_RQSTS:RFO_MISS,"96693104,1157548416,95040824,225919456,4266701,4161703,4381166,4467173,4210067,4385651,4410928","3915307,3925360,3936262,3879592,3900797,3853384,3845202,3919106,3860103,3858201,3878309","952504128,1042504448,275021760,315689504,3840110,824457792,4178481,4089405,809486912,1328150912,823318464","50329328,183162272,315396032,270464992,821872064,804939200,4225286,4419094,4332624,4661861,4529918"
L2_RQSTS:ALL_CODE_RD,"342052,343626,350184,351568,355832,365135,356875,359578,360310,375058,367648","333561,331982,330016,334398,343625,336855,336559,332224,331538,330172,330992","355312,344153,359797,334751,342120,338904,335296,368359,365325,381373,344215","339778,331459,367744,353850,360994,381278,338296,360554,379872,335567,346447"
L2_RQSTS:CODE_RD_HIT,"110335,104331,86073,112735,123174,112627,151279,118125,117707,125583,134210","103775,105055,103730,99102,105708,102265,103029,100746,102006,106513,101480","109300,114169,112862,106901,100445,142303,104063,136253,109078,134757,108626","105737,120935,133596,106153,111299,134444,108459,106020,108137,118543,107910"
L2_RQSTS:CODE_RD_MISS,"234983,239026,235720,237781,243416,239722,246615,239496,240595,249143,252710","230871,228892,229868,231427,232788,229460,229419,232213,228294,227975,230038","243200,236477,243980,235007,233154,242183,232549,242019,243080,235072,237605","233959,202813,221050,256009,252683,248072,231719,241881,255476,234428,239170"
L2_RQSTS:ALL_PF,"88560864,316562880,1077961344,266183776,87969400,88541312,88395208,88147136,804373568,799272000,87165168","88426384,88445624,88454808,88445920,88127160,88308672,88553120,88397920,88371040,88246576,88507712","88229920,222897888,132754368,399565376,812897920,826812864,822660544,1327402624,89233136,89244904,89063888","87339008,265955584,488534784,267047184,88003984,88543728,90972888,91281928,91654344,1355536000,92483048"
L2_RQSTS:PF_HIT,"60858288,807365824,840054656,463733600,60835640,800303552,61438568,59844904,61320112,59496032,60969316","61010792,59970380,60870384,59774844,60658644,60879092,61022664,60880236,60835044,60891824,60795372","105260856,105068176,908805952,372563264,60552988,61092480,61570708,59794420,61396416,61505252,811662464","151338832,1287180416,105548952,149415328,61351336,60722844,60928448,59484508,61098688,1316351104,1315878144"
L2_RQSTS:PF_MISS,"27376136,27582790,27580330,27439472,28108656,27027916,27648232,27415420,30119240,27522822,27668516","27539986,27620378,27663912,27562872,27619852,27496718,27544172,27694848,27572734,27634188,27603148","27455642,27435972,27720596,27592264,27614100,31151076,27690548,31344376,27555108,27985068,32030808","27530460,27881308,26956940,27551834,31377232,27630816,30848260,27531614,27878760,31218148,31372308"
L2_RQSTS:ALL_DEMAND_REFERENCES,"51995712,51902888,51918748,51960536,52041800,51914936,51791244,52001132,51901036,52492024,52098500","52746792,52697904,51809324,51610992,51760936,51664952,52585112,51833404,51710416,51574728,51746772","51915128,51967432,51909740,51793948,51837136,51663008,51717560,51813008,51810644,51789880,51696636","51866708,50821328,50451448,51850936,51929544,51882016,51642496,51984380,51787740,51823996,52155988"
L2_RQSTS:ALL_DEMAND_MISS,"193504928,1130068352,368021600,277879200,803128576,11133262,1021425216,13041933,1002316480,999335296,13564053","10796496,10754186,10763898,10740233,10751158,10661669,10720613,10763497,10686068,10693987,10688751","99709712,997858048,281160096,1123253888,818643648,13975471,819103552,13669259,10881667,1319615488,11130504","10928328,366822240,368268352,454933824,14083110,11347969,810823040,11291321,11359357,11416613,819394752"
L2_RQSTS:REFERENCES,"322163616,1175155584,980614656,587663488,140734304,1106691200,794894080,139980576,140673040,794483840,141313040","140122720,140152448,140551360,140075472,139866464,139983280,140277344,140024544,139929888,139845440,140100640","273534880,319550592,318050816,139952416,823041920,1319705984,824502464,143827424,141051360,141032608,141324528","140296016,317177056,494386464,1217494784,1295115008,140822944,140374384,824624320,140966624,140814096,140604800"
L2_RQSTS:MISS,"82094768,176980784,927582976,978633984,40163512,38485844,965783232,822095040,38933352,38809016,38695820","38319228,38303640,38493948,38332676,38289516,38213524,38205836,38374800,38249556,38276744,38323480","127447776,83027152,1132593664,127753536,821162048,1319379200,816195008,1329677184,38494524,39004032,45811800","84796496,129958648,306850528,308461504,1299294976,38679240,815694080,38979176,822257344,45739032,38854096"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"959257152,1265147264,1441419776,545795136,7993237,971166272,10874238,10329538,787065728,8515297,8870529","7872161,7838025,7884938,7891016,7915366,7853878,7897242,7878777,7875631,7875811,7883156","1007335488,1262775680,497209536,1258197248,1298174592,1321102336,8395623,11183885,815515456,8582606,8659737","1116147200,1720511104,637245376,1444515328,11439794,8342659,812491840,8254162,8606242,824870080,8585039"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"278709920,1126743040,592901248,1015649152,4290726,802262208,3985743,4022300,1080732416,4453070,4233004","3720536,3739061,3740518,3706196,3757508,3741310,3675938,3718983,3651638,3695722,3680901","183742160,1176729216,451711520,1487738624,819222144,1328606080,819847936,4058471,817613312,1300105600,4159734","235522064,1684872192,1849211008,1298286720,1300746880,3872508,802478528,4312574,1303463424,4384715,4271409"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"273851584,277719712,455118432,1078093312,814615168,804240448,275299,1097399,995428736,796552768,821671168","228948,229506,228812,229770,233584,227836,228651,229826,227247,224747,229762","239085,1207194496,403178944,1136024704,814100,602769,824856192,721652,819155904,474318,663696","1088167296,1724050048,1774552064,1168844672,955015,825216448,808837504,1331082240,1321872896,521159,1103752"
