Metric,false,master,close,spread
perf::PERF_COUNT_HW_CPU_CYCLES,"5551726592,5511951872,6663627776,8973110272,6300041216,6040660992,6029896704,6078822400,6099727872,6265043968,6090708992","5092462592,5852808192,6685255680,7581999616,3674261504,3676105728,3658551808,3672928256,3671420672,3671348224,3654595328","6836261888,7143991808,7420039168,7533871616,6413403136,6415705088,6403781632,6419239424,6409994752,6421161472,6419983360","4177496576,5514873856,6841551872,7693356544,6394496512,6387792896,6401430528,6411855360,6413228032,6411223040,6425211904"
perf::PERF_COUNT_HW_INSTRUCTIONS,"8923551744,8936869888,8952223744,9066584064,8896296960,8821072896,8820336640,8637887488,8305630720,8558992384,8821526528","8965562368,9005780992,9044063232,9083065344,8896300032,8896317440,8896334848,8896350208,8896367616,8896386048,8896402432","7703557120,8928770048,8943366144,8959534080,7937741312,8379150848,8896334848,8896351232,8476988416,8800476160,8896404480","8917960704,8936811520,8945165312,8947104768,8896301056,8896317440,8896337920,8896351232,6997641216,7841384448,8853963776"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"558046400,1369248512,2062635264,4211330816,2676156672,2598480896,1051169088,1143997184,1200792064,1671622144,3220239872","570105024,581521728,592739136,603905728,550264064,550269568,550272000,550275328,550279872,550284224,550290752","556869632,559828096,1867719296,3203488768,1448196608,550266816,550279104,845657472,1080184448,550282688,2387193088","1898875264,1184766080,1466830592,567213056,1439090304,2081994496,1884656512,1734912512,2430281984,1421021184,1776258304"
perf::PERF_COUNT_HW_BRANCH_MISSES,"500896,503062,504877,503953,932500736,574901312,802776512,2026325504,2956166912,376195936,4247022080","500709,505889,503833,506657,500396,502039,502699,503169,500274,503762,501776","506148,506038,505174,1056003520,1917513856,808019456,3182106112,160007760,2290044416,1439771904,838118656","502744,2766015232,809888448,2085464960,233407104,207599904,2675469312,2278450944,1155715968,1669494016,3259746304"
perf::PERF_COUNT_HW_BUS_CYCLES,"40346824,41621356,3850611456,2094993792,2341320960,624115584,1062921024,198696160,2221539328,49713540,1518635008","33809044,40215356,45691384,51343936,24980896,24968658,24968564,24898324,24973782,24929932,24752300","50271920,51994432,5226236928,58587536,48433168,986630336,49984488,1302765184,899029312,173233824,1352010624","1183283840,1074441472,1186199552,712894144,49635408,648807616,1806890240,831408512,475962048,49674384,1872679424"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"4331276800,4726304768,6179055616,8595298304,5180126208,5830556160,5302396416,5592457728,5320138752,5863649280,5151640064","3729108224,4347265536,4931124736,5552252416,2697198592,2695860480,2667535360,2691955712,2694661376,2693423616,2670283008","5368441344,5807897600,5799592960,7003634176,5316395008,5286880768,5267951104,5395673600,5565895168,5477299712,5929078784","3430426880,5029129728,6118948352,6339271168,5877306880,5405881856,5431614976,5564889088,5577142272,5269775872,5474920960"
perf::PERF_COUNT_SW_PAGE_FAULTS,"1783,0,778,1203,3268141056,601012672,2646773504,4574977024,1967069440,499972672,3094729984","723,495,1720,2422,1344,2505,1148,656,789,1028,761","2311,1357,124,0,4984646656,780,0,790795392,2796,1550833664,1677687040","678,1044,0,3059404032,497,205518560,1271,1686036992,426699936,1148,932"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"756757120,344776032,3973504256,2219029504,249571136,760084480,1072070592,1007491008,1252056192,886986880,1520442624","0,0,0,0,0,0,0,0,0,0,0","0,0,0,1417448704,1182354688,0,0,946724224,1417260672,0,1084851968","425468928,0,0,0,0,971571072,705582400,0,1143419008,0,937735872"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,1739348224,2458225408,2993097472,1178459008,187177616,1921857024,1826000768,0,0,564397824","0,0,0,0,0,0,0,0,0,0,0","1433463296,0,5270510080,0,233807680,0,0,0,1992422272,1605992832,233738496","1298308736,0,1212298496,4096574464,946740928,0,3036013056,0,0,270438464,234253776"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"4748856832,4974661632,4751425536,5067580416,4686323712,5866879488,4744935424,5188331520,5428290560,4775679488,5086619648","4754907648,4760586752,4766116864,4771826176,4744261120,4744239616,4744971264,4744271360,4744339456,4744340992,4744983040","4748029952,4749530112,5183504384,5062619136,4969727488,4744031232,4744718848,5234844672,6029024256,4744970752,5188897792","4630684672,4890631168,4893220352,5625440768,4744932352,4744228352,4744147456,4928138752,4744204288,4929268224,4830925312"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"113433144,1424611968,1038724160,2579940608,1747206656,132524048,2159369216,1182711168,3235585280,2783647744,2182427392","77395976,77421328,77418024,77427672,77568856,77538048,77397008,77399760,77429888,77412976,77452336","125495952,128729864,132676904,1475933568,1758687616,721481408,310532736,1827126656,1383684352,250200624,587442752","77372264,424573728,113381984,129243760,361930848,1923886336,127346096,895513600,273219712,250123024,839722816"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"1704359168,1639667584,1611047552,1028070080,2437499904,2096214016,3464711936,2374339072,5128562176,1362225152,1028074368","1028068096,1028068800,1028069248,1028069696,1028070400,1028070976,1028071424,1028072000,1028073216,1028073216,1028073600","1028068288,1028068928,3273181184,1028070272,1860821760,4804365824,2751997952,1028072832,1028073408,2164597760,2129840896","1028068224,2631889152,3205299200,1028070144,1238554880,1565612928,1175213312,1028072832,2789134080,1028074048,3407116544"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"19222,692652736,2599905792,3156884224,3203631360,27316,869131648,783622144,31619,1537643520,1414369024","20345,21692,20034,22367,24374,23759,23703,22281,24406,26486,26056","12968,14505,5387331584,18298,3103383552,405477664,1417315328,24528,1703904512,27351,1182173568","22680,1718369152,16899,3141827072,1205782912,1411033216,1776798976,1720874112,3701033984,26449,1408300928"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"494907776,348105664,4890551808,2287964416,1624506240,781014848,2289061632,2049295360,709148608,2768942592,694414208","161339,160460,159395,166250,165471,164496,152675,155852,157199,153996,156594","164488,163839,4028440576,1033247808,1876031232,1148727040,1772651520,2061931264,142555808,210580,182529","1160891008,1718095488,1644882560,155472,168087,4969994240,3400368384,1999230080,1714649216,1290303744,1665953920"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"92952,1342250880,1897734912,3359874048,103846,2266489344,177490272,159914624,423039008,1219097728,2964438784","102153,101085,103177,102413,106246,103548,103300,104300,103635,101803,103055","95019,93271,1278715264,4740644352,479510240,203990944,888215936,3239629568,107946,1993846528,1185727360","93741,3281198080,2214744064,732598272,1666166016,100455,112969,104041,1861361664,106318,2032143360"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"1437905920,36140,4206930432,32435,38667,1380449408,36874,2915166464,1135618944,3798929920,1169050496","38965,40960,38152,36222,29880,26801,28289,28530,28029,27299,27027","31829,35513,30426,3815002368,32851,205424752,2488076544,2796668928,998298432,513507840,1906400512","2132925440,3455816448,804555328,36358,30451,1959993216,1079278464,799804800,1140019584,256767376,601675840"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"1077643264,1036806400,2815238656,724143552,1880589056,1392231168,2115111936,1554478848,1420803072,1426547584,1812496256","32320,39275,32615,31006,23888,22059,22770,23492,22274,21847,22931","25737,29721,4155409920,1320803072,1905681024,35043,359236064,26877,1141709312,1904735232,718842944","21909,3113043712,806275200,30781,25675,1420241792,29183,41824,427247488,26704,3326103808"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"4749004800,5136488448,5417431552,5567118848,4856762880,5413197824,5035196416,5144381440,4744960000,5239115776,5066570240","4754853888,4760624128,4766155776,4771945472,4744233984,4744968192,4744271872,4744973824,4744317952,4744335360,4744294912","4748263424,4750218240,5167166464,4750898176,4799774208,4744958976,4744202240,5031704576,5322512896,5046301696,5262795776","4733237760,4718996480,6099088384,6751187456,5530923008,5356284416,5181796352,5132500480,4846206976,4895153152,5567998464"
