Metric,false,master,close,spread
perf::PERF_COUNT_HW_CPU_CYCLES,"151397136,195510032,239636320,284229472,327893984,638095104,1446901504,1662404096","151468576,231396992,313495104,396567904,489036480,893112448,1325526912,1710157952","151182576,199984176,244139168,288906304,333116096,556464576,791325696,1001600064","151514896,195488384,239703504,296309248,340008416,637601728,909581440,1003634240"
perf::PERF_COUNT_HW_INSTRUCTIONS,"241314224,243414368,245514784,247615248,249715936,260220080,362754880,281228832","241314208,245120912,249143904,252881616,256115536,276593632,295607840,315852288","241314208,243414240,245514864,247615328,249716032,260219712,270741632,730030080","241314208,243414416,245514912,247615584,159871392,411755584,266791472,365671776"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"21858892,22459666,23059712,23659162,24259238,156524560,30261992,297342560","21858856,23058888,24055240,25177220,26184198,31711060,37687692,43750416","21858862,22458888,23059832,23660072,24259316,27260094,30261776,165887696","21858852,22458958,23059800,23660096,24260194,27261508,130384840,302221568"
perf::PERF_COUNT_HW_BRANCH_MISSES,"151472,150726,151187,151046,151032,158247920,88456016,268524256","151198,150981,150881,151859,150628,150805,151155,151523","150953,151499,151435,150885,151313,151315,324932320,521993152","151015,151289,150609,150643,152018,252365312,151395,178399376"
perf::PERF_COUNT_HW_BUS_CYCLES,"1130842,1454941,1757960,2085838,2410900,118530664,357336032,179050720","1112976,1646936,2277697,2736009,3505436,6227037,9055775,12343395","1023709,1427697,1768475,2118504,2442297,4073967,159335968,140702112","1024007,1538555,1855811,2182538,46291816,117493568,208478496,665388800"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"123198304,160588336,203688640,225103104,260141536,592291008,1169615744,1374891648","120064576,178255840,246726976,296373920,359646048,688531456,978921856,1331833856","110703456,154160384,192260192,234386672,264588336,440725760,755921536,812943808","110348896,167057104,190564480,239899328,302250400,538408128,790569024,838689600"
perf::PERF_COUNT_SW_PAGE_FAULTS,"1,0,0,0,308,42,1171,57624524","1,115,0,0,908,1099,0,0","1,0,1165,0,88290552,960,0,44649844","1,0,0,0,0,56801364,362,404021120"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,114411312,357144832,201765664","0,0,0,0,0,0,0,0","0,0,0,0,0,0,266830976,359188992","0,0,0,0,151006592,113673304,279821088,88737768"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,195275792,44112792,158572560,101950504,0","0,0,0,0,0,0,0,0","0,0,0,0,0,177986928,177878752,183159648","0,0,0,150508128,0,100985392,0,181933872"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"96731520,97031320,97331696,97631872,97931968,200256896,390236192,106211368","96731520,97320144,97848816,98401800,98850896,101707360,104766072,107668992","96731512,97031272,97331376,97631520,97932792,99432728,465986048,100212168","96731520,97031160,97331760,151548640,97932160,241422720,230597872,204404448"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"105327,124475,124149,106743,151144592,196444192,560115648,124611","107130,106476,110137,123437,111910,110081,106941,110038","106941,109823,106135,130124,110077,106599,325053824,88951664","106267,112871,106648,125441,105999,44222612,136892,422618144"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"76067208,76067200,76067256,76067376,76067472,152327808,588261888,220318224","76067200,76067200,76067240,76067288,76067360,76067736,76068104,76068416","76067200,76067200,76067296,76067400,76067480,76067928,209564752,298859168","76067200,76067208,76067296,238890848,132909456,365625248,311320544,255337968"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"1538,2067,1923,2239,2614,101405520,100179576,434504864","1523,1571,2038,1756,2397,2815,3354,3597","1394,1706,2074,2070,2351,199525088,4165,222691744","1734,1732,1941,2434,2468,207935504,303776448,557552320"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"234,279,289,332,411,611,727,894","262,149,252,282,299,421,393,565","284,166,322,308,469,624,645,411715008","261,236,320,367,445,56818492,101130000,224595344"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"178,202,143,179,118,57255096,454687328,387","199,114,202,216,206,365,292,477","189,109,160,164,211,203,294,44558784","230,138,118,238790224,147,194,236014656,134095392"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"1389,1419,1262,1913,1838,44140504,2023,379161600","1655,1925,1754,1603,1491,1730,2271,2345","1469,1498,1438,1345,198182752,1554,1652,312223296","1468,1775,1927,1173,1382,1756,88836720,95048384"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"1764,1416,1538,1801,44132992,1841,56847712,47012436","1586,1397,1357,1597,1747,1568,2100,2061","1322,1879,1376,1311,1263,1116,133460168,44737316","1327,1577,1220,1783,1858,100984776,44535772,44488272"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"96731536,97031616,97331696,97631872,97932112,357347296,104458624,906246400","96731520,97321880,97832440,98390808,99005832,101788544,104782152,107475160","96731512,97031184,97331464,97631632,97931752,99432728,98838368,331567840","96731520,97031616,97331768,97632256,97932184,210074992,329215776,146835472"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"53,97,86,99,107,368089568,278050368,416683296","8,64,63,40,89,142,90,160","12,81,79,93,93,173,134344880,356360000","7,55,66,66,108,71,234983152,110"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"76067280,76067256,76067312,76067432,76067520,190610368,76068400,216183008","76067256,76067256,76067288,76067376,76067440,76067784,76068200,76068568","76067256,76067256,76067344,76067448,120187752,76067984,210266528,307444512","76067256,76067256,76067352,76067440,207450256,177050256,76068400,377194880"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"6,724,3142,1122,397,56842252,303432896,3310","790,144,2057,434,552,849,15,40","800,400,3000,692,532,827,44667552,177612112","790,398,2662,3157,100987416,44134424,151179136,88849736"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"294954,315784,337902,269542,309342,285750,243986144,93109816","333438,316947,336048,347328,367915,392554,355162,400712","331748,418224,359959,356323,153966336,89380968,349663,332343776","328764,267059,318475,347518,328672,88642656,191144976,92567088"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"28749,45328,48738,31539,47604,56874824,277541824,564623488","49183,34869,47522,57839,63815,85704,69294,78085","55974,31829,57308,50990,53959,96627,243983456,644527040","45104,44585,47515,57316,61607,101019504,68865,100744"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"27378,38793,36590,19977,194834544,410444736,43609,237048096","46938,28757,36043,38807,53785,62913,47905,71509","48957,32314,39035,42521,132911480,37681,44813,45976","38423,24648,29188,195089952,151044864,251967296,470691328,44507044"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"72230,103089,70925,64632,74345,239914304,363394816,545295808","76688,59522,74680,77093,80330,102219,88054,113453","67850,63464,68850,70171,242906240,266798064,421827168,516847744","49010,60849,51162,86635,84555,88422368,158279056,401578688"
CYCLE_ACTIVITY:STALLS_L2_MISS,"15510,35017,31911,28665,34171,88309392,189060032,113798","34620,25084,30273,31471,35787,43776,48912,68237","32030,24393,34022,38232,34421,50165,44561696,44191112","37647,22662,30710,40496,38024,88326448,122987,227702528"
CYCLE_ACTIVITY:STALLS_L3_MISS,"12293,18898,20501,24232,24781,309266144,340190176,269703200","28343,12086,27541,22532,31096,46792,33724,67017","27053,20754,44145940,24676,25129,32592,652633792,268279600","25437,17568,20195,22692,20717,150790096,266894624,445964480"
RESOURCE_STALLS,"63961752,64106360,64647176,64191300,150508512,69883144,457917440,411359296","64101400,64030312,64200772,64327976,64601672,64539248,64194356,64176992","64345092,64900560,65895956,65221040,154539264,65307452,289009856,246959904","64430800,63896584,64306000,64955512,64940432,212890800,129008584,721070528"
L2_RQSTS:ALL_DEMAND_DATA_RD,"29733,34200,30569,26752,29295,28756,56227,36813","30272,30571,34394,31557,52604,35071,33425,34472","32288,32269,33837,34037,32778,30157,33481,35766","31106,25908,31394,29661,34793,29698,60940,30145"
L2_RQSTS:DEMAND_DATA_RD_HIT,"28336,29824,31964,25055,238910608,88278424,178663024,1257523712","31491,31113,35101,29881,34976,32691,33285,35733","32504,35821,44147780,33624,31789,34431,88778680,358110912","31351,24673,31198,33149,88263528,195111120,381028928,177492256"
L2_RQSTS:DEMAND_DATA_RD_MISS,"138,244,335,335,408,358,702,913","221,164,233,307,296,327,443,666","286,164,333,318,366,583,583,671","251,230,309,423,435,476,516,469"
L2_RQSTS:ALL_RFO,"75393,75099,75186,75517,75598,75965,75377,75497","75444,75553,75243,75121,75215,75621,75711,75774","75561,75624,75324,75205,75244,75266,75796,75787","75369,75404,75072,75157,75156,75250,75987,75708"
L2_RQSTS:RFO_HIT,"74217,73949,73895,73760,73566,74106,73762,74156","73881,74184,73862,73448,73545,73832,73768,73604","74024,74000,74199,73990,73649,74040,74109,73684","73921,73893,73931,73890,73852,74175,74339,73936"
