Metric,false,master,close,spread
perf::PERF_COUNT_HW_CPU_CYCLES,"2628738560,1547356672,1357046656,1129558016,1081853056,1215689728,1401987328,1621214592","2605765120,1545359232,2230725120,1282008704,1261154560,1462872832,1922983168,2346497024","2612905984,1546816384,1264714752,1155311360,1125186432,1167278336,1377109376,1606126208","2656789760,1507367936,1243648640,1180036224,1781741184,1663833984,1824789760,1593080448"
perf::PERF_COUNT_HW_INSTRUCTIONS,"4041289728,2330697472,1770664576,1491734016,916956736,1065863488,1055394112,974702464","4041292032,2332854784,1773962880,1497165440,1313032576,1038165504,1058702464,1078915840","4041292032,2330790912,1770947584,1491771776,1305864448,1022487680,1291730432,1129731968","4041291776,2330730240,1770978816,1491860864,1305250560,1343099008,1336738816,1126579584"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"148719408,119587328,109038640,104450272,98778712,91546152,230210432,892767296","148713184,120232616,109989616,105902048,100903392,96528232,102322696,107460760","148713232,119647784,109152352,104449368,98814896,954289472,138904752,364324768","148713648,119614256,109177288,104443664,98562184,1388798848,232374880,405651424"
perf::PERF_COUNT_HW_BRANCH_MISSES,"823243,603608,568467,522467,496794,517158,472521,223573984","821881,602249,788513,523505,497396,467710,473857,471873","819433,600423,568012,520639,497990,478097,178769312,1068735424","821894,599648,569277,525696,1681135616,680113,669807,134277840"
perf::PERF_COUNT_HW_BUS_CYCLES,"20270994,11711509,10619200,53108084,53043332,10169685,101336960,232773696","18758756,11816186,16920152,9792484,9533762,11159248,14055680,17134090","18765276,11699176,9711848,9313682,9342699,53503164,148679008,1051223552","19220396,11782028,9757165,52708424,14127559,1460860800,191607360,321278176"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"2172791296,1284121088,1135158144,993326528,958431040,1125466752,1251966080,1501117952","2023137024,1275729536,1813205504,1054701312,1046917952,1200594688,1519098240,1850001280","2022600832,1266698752,1073773696,1001207168,1005038464,1076513408,1168330880,1364368768","2137238400,1293744896,1047655744,949428736,931778688,1490209024,1362247424,1556080256"
perf::PERF_COUNT_SW_PAGE_FAULTS,"30,148,44115268,44122760,1435,135430368,976163008,847041920","31,954,1774,303,152,1567,1573,398","31,1372,1535,44613856,342,88917096,184006208,89129808","30,1338,335,44117092,200,90860640,1416547712,937"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,924845504,0,0,133465576","0,0,0,0,0,0,0,0","0,0,0,0,0,0,863855360,0","0,0,0,0,1047951488,0,271616704,1023075968"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,900946176,179809792,177496016","0,0,0,0,0,0,0,0","0,0,0,1028616192,0,44457256,226131904,177746832","0,0,0,44120400,0,0,180977168,403190656"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"1461543680,827124288,622070592,520194784,447499424,516711808,468418336,471099008","1461543680,827423616,618351744,520929568,448568832,337997824,340836416,343259392","1461543680,827136960,622175296,564420672,447512000,423918880,516913056,648167616","1461543296,827104960,622172544,520219968,447482880,331340128,379167072,382672864"
