Metric,false,master,close,spread
perf::PERF_COUNT_HW_CPU_CYCLES,"420031968,471387072,516523008,561056832,615539712,1256022400,2322699008,2387721984","725065600,778358912,832159040,900985984,909216768,1795930112,2568793856,2965725952","1439070848,1480995840,1593807232,1638408832,1724974976,2669679616,3897104384,4562814464","2160515072,2208575232,2290590208,2334064128,2334383872,3445589248,4774851072,5410549760"
perf::PERF_COUNT_HW_INSTRUCTIONS,"981555392,984234176,986740800,907733248,991989120,1095975552,1139982976,1354923520","1772893824,1775607936,1778018688,1782389376,1629903360,1885260032,2193694464,2274409472","3401057536,3403534592,3407972352,3410098176,3414693376,3044323584,3717412352,3563682816","4985100800,4987875328,4992089600,4994126336,4993819648,5020849152,5094071296,5189413888"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"71523312,72231184,72995944,73512904,74039424,233405152,895794496,1592600960","107036200,107859400,108299920,364339936,109655368,426285728,138921888,1338667776","183441072,184071680,185483232,186377632,186987856,452027200,676678400,839277440","374772704,375670144,376651328,377595296,377376832,382232672,1928100096,3022579712"
perf::PERF_COUNT_HW_BRANCH_MISSES,"98810,100027,99076,100123,99720,119055192,157502432,351235104","100399,100572,100128,100078,164201360,897796032,433148416,755376576","102892,103105,102183,102526,103044,431043104,103617,104336","502948,505216,502026,505676,503545,1284948864,827062144,954498880"
perf::PERF_COUNT_HW_BUS_CYCLES,"2849878,3464262,3876667,4664358,106417536,445053408,140424544,498626944","4991795,5607237,248978448,6951282,332251328,370148160,174584624,395605536","9765606,10783943,11783243,12309839,13242088,632618496,996779392,1314624512","14515487,15696050,16799670,17566274,17525126,655641600,1936621184,1641455360"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"307983264,384420288,445350976,477998272,537580928,1086303104,1860566144,2000331776","539503552,605719104,703724352,806510208,749281856,1549915648,2120369664,2697701376","1049482624,1163218944,1268595328,1325309952,1529691008,2376334336,3132530944,3723594752","1567443584,1717575040,1817284352,1900736896,1874779776,2330667264,4011582464,4533621760"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,0,4,116789256,0,441472736,398606016,1144469888","0,7,0,21,20,373,652794624,440455712","310,564,1075,326,564,429319552,1130715136,230248768","99,1396,0,0,0,0,276522592,249042000"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,236430320,116752808,0,317899008,499095584,1515698048","0,0,0,0,177868896,179401872,637830400,115784888","0,0,0,0,0,0,0,554376704","0,0,0,1093366912,0,202578704,277314464,1356187392"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,233517008,102349656,519172896,0,134830144","0,0,0,0,164223936,179892240,358695168,1594565632","0,0,0,0,0,401706656,227680000,1140674688","0,0,0,0,0,1291941760,1004259776,2676610560"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"508077184,508500416,508837216,509084832,509335904,566453888,517464096,804035008","950312960,950679168,951141824,951277760,941151232,1071376832,1191618048,1164390400","1857070464,1857390848,1858074624,1858481920,1858995968,2347005184,1867922944,2008638080","2562802432,2563338496,2491908352,2564193280,2564206848,2816258304,3191508480,3547167744"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"6688907,6695972,6696443,6698656,6700176,126536976,145933872,224378976","15833741,15861974,15881269,15908771,176678928,233213200,159653536,25614308","54833188,54828716,505433344,54827344,54853504,853163840,525136160,78139544","33185612,33187024,33192358,33193510,33192740,683801152,942391616,289673216"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"130081624,130081552,130081712,360657088,218465648,130082816,1274036352,862782720","201536848,201536944,201537104,201537232,384252672,201538208,877465664,1806673280","354169792,354169728,354169856,354170016,354170176,586904704,660747072,354172544","676697728,676697664,676697856,2033963904,676698176,676698944,1696856960,676700544"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"3967,4008,4818,5175,5719,6110,755322944,209216192","4467,5249,5800,6421,6966,9117,332279296,783225728","8385,7276,8884,9023,9197,213184224,1561626880,1226990976","8749,8528,10307,10803,10497,14510,828804992,11980"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"23937,25918,25833,27452,26533,29761,165575392,529601216","89206,94038,95017,96031,96881,97519,333743072,613870912","391074,386454,385370,383253,381274,262230256,387747232,384444","86305,82332,82522,82131,83313,103269,286059232,60597"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"17975,14620,15141,15795,18642,17065,787819456,21402","84949,87030,77037,90763,87642,85976,389607072,836993152","208304,221801,234909,242754,241812,257922,215862880,378576896","22924,21762,21366,22246,21657,1100045568,25491,25456"
