Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CPU_CYCLES,"30359354,61919936,95641472,124847152,156384288,343064064,916701696,721012096","30537236,62144884,93602488,124944320,156884112,327522112,601661824,749542464","30533034,62343872,93981376,125740288,157400816,339825920,529523264,822624832","151905696,196350000,240614448,284611456,328679328,582143296,905716096,1068492480","152580160,196697360,240838752,284994784,329088512,585993344,909680448,1077962752","152448864,197055712,241258368,285363520,329389216,577747904,853755648,1074964736"
perf::PERF_COUNT_HW_INSTRUCTIONS,"48282632,49775008,51266776,55748384,54258144,76312624,86854480,109727720","48311912,49765428,51217684,55659752,60121464,65313524,80750104,94569848","48369696,49873672,51377940,52884072,54387636,83188176,83524432,96304128","241282528,243383808,249686608,238686128,249685808,251283152,296084512,319609664","241312736,243411840,245512496,247613152,253915184,259689680,274982688,315531872","241369552,243470944,245571744,247672096,240939040,260277968,292103008,336500736"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"4374624,4801276,5227199,5654239,9176993,15467022,40739512,19134238","4378857,4792591,5206123,5619677,11632636,14794590,13760198,47765384","4386606,4838559,5246170,5676273,15462077,15527984,16630048,32109926","21854506,22455728,23055948,23656024,28609028,49032884,60846240,68593080","21859676,22458636,36052464,36658528,24258948,35965112,39024776,82163696","21866484,22467754,23067892,23668064,24268290,36151808,60967668,81955760"
perf::PERF_COUNT_HW_BRANCH_MISSES,"30210,30306,30192,3168866,30242,6994557,25099968,29392230","30256,30256,3072921,30207,3070692,3294388,13099766,9834902","30204,30210,30253,3191104,30281,10522080,19666230,29490966","150699,150927,150914,15370110,4563000,8976577,13492694,24665638","150947,15327446,15315293,4569480,19757292,28560716,13488000,18014232","150708,151002,150997,151029,13389651,17985210,13430333,38024420"
perf::PERF_COUNT_HW_BUS_CYCLES,"205054,440981,664956,916612,1146385,2552916,9697901,14515035","206455,434770,658369,875735,4136080,5646706,26306918,24252846","206041,432872,670168,922092,4289788,16356326,3610506,14561950","1025159,1430783,1859229,2275164,7061856,4868168,6901481,26623164","1031100,1449966,1862883,17362472,17800828,28683018,39904024,26739108","1028328,1465891,1876946,2324285,2738276,37639848,48708496,90682512"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"22140962,47582004,71832288,98877360,130151760,276462432,384359008,520294592","22304656,46853056,71244136,94561744,120728176,260035072,390495424,522830592","22253196,45446496,72400704,99591992,124659696,276918976,391918656,520580096","110727088,153737136,203811728,246412288,293954624,509251264,743821376,969807552","111387048,155743584,206478176,245205408,291168448,514646368,735634560,962592576","111060584,157015664,204671136,247601328,288626272,511287296,736582528,957309312"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,202,202,202,6271913,7039640,6078291,3263124","202,0,0,0,3041405,0,22865834,3267966","0,207,214,208,207,14011302,6545782,16362405","0,1146,1148,4414111,4412917,26476454,17871932,37816664","1141,2,15176509,15185250,15179565,28432358,55640108,46752612","0,1151,1145,1147,15308229,24510848,26636984,60233696"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,6271613,7039210,12153520,9787001","0,0,0,0,0,9799274,3520362,19591408","0,0,0,0,0,17682454,9826596,22935244","0,0,4412254,4412086,0,37281648,0,42403376","0,0,0,24011020,4411693,4412841,31040532,44592564","0,0,0,0,4412206,8874782,8935405,37849804"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,3516206,6074074,16311294","0,3042718,0,3043364,0,0,22879226,19599848","0,0,0,6323149,0,14141653,19642706,19650332","0,0,0,0,0,13236523,31160346,51347804","0,15188704,19588950,4412396,24016852,24025962,42053088,8906094","0,0,0,0,0,22066398,48843948,46816792"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"19356096,19569406,19782624,19996512,20210116,42381732,52421284,55948472","19371098,19578012,22808454,23014508,26243712,42576408,49744792,55978648","19401092,19615716,19829770,20045594,23402524,39016604,56345312,63960632","96716096,97016144,97316376,101998592,102299248,116949608,145098288,155642176","96731096,102544120,97331312,107537448,103444296,121346280,137775312,170528960","96761088,97061136,97361320,97661456,106726680,140125584,133312064,130537328"
