Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CPU_CYCLES,"30422996,62071336,93654832,125479832,157557408,356892384,550543488,804457600","30541820,62285992,94229040,125665152,157717952,325680128,524413952,726055296","30496268,62459736,94334336,127160976,157951568,343845056,572986752,809427520","151857984,196571152,240618192,284802496,328923520,585399232,846717888,1087446272","152683760,196658976,240959056,285051744,329249728,587931200,858489088,1085334528","152473904,197092304,241325136,285320800,329572512,579906688,849236672,1104780032"
perf::PERF_COUNT_HW_INSTRUCTIONS,"48282636,49845060,51279012,52781324,54292152,70249088,99407792,108322480","48311896,49766204,51222304,55685216,52350980,71586776,76211336,125740992","48369704,49879544,51381572,52913208,57435496,73363920,89663720,113499184","241282480,243383840,245484576,247585104,253888032,272932672,279154240,323977664","241312736,243411888,245512320,251815296,249715072,255478496,283340704,345199552","241369600,243470976,245571488,238826704,249772896,259845600,304635520,294057344"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"4374625,4804274,5229878,5659316,6098944,11761749,26865932,17981578","4378862,4792461,5206707,5619751,6032991,19806060,35959536,32064224","4386611,4817669,5285877,5683833,6110566,11921979,24778252,32124372","21854506,22455706,23055900,23656092,28608980,40313924,52147112,99396168","21859678,22458604,27410790,23658896,24259204,49085884,47926444,50881728","21866486,22467790,23067868,23668090,28621156,31630346,56776728,50910000"
perf::PERF_COUNT_HW_BRANCH_MISSES,"30128,30269,3171390,6350550,6366878,20068038,15465744,29959520","30250,30210,30219,3071744,3072582,3071875,13110753,26155014","30229,30226,30303,30296,3204833,30253,6129575,32788134","150879,151132,4563646,4563105,4563219,32981780,33401562,9069253","150951,150672,150910,4563715,150973,150933,17905148,22529672","150789,150935,151204,151093,4562897,151002,18030276,42460292"
perf::PERF_COUNT_HW_BUS_CYCLES,"223239,455890,686384,922269,1153871,16653896,11929250,21033524","224483,447678,672253,6931778,7157754,5255799,16568355,30733536","223828,3574986,3831808,924833,4300014,24319504,15464232,8065654","1116845,1537631,6320281,2387246,2763248,13579997,44366168,42339584","1036276,1438408,1864520,2314048,17834320,28610512,20158436,8839912","1028480,1461976,1855420,2285540,2728878,17843052,24399796,40188980"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"24367100,49140464,74806168,99387392,124266624,283141824,458264736,521843808","24251196,48329416,72534784,96606592,121384752,242205856,393972736,520251040","24216204,49487524,74761608,100551880,125631808,251675824,364223584,522080256","120713256,165433056,210110960,254888864,298133024,536564640,753599040,950709120","111666032,156090720,202280272,245672416,294414848,527410880,723642624,958066048","111064960,156221376,200404272,248092592,289383616,529149536,750459136,962133888"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,3147760,202,202,202,201,10279014,0","202,0,0,0,6088247,9131973,19606218,13073606","0,3168960,214,208,208,9509754,24392868,45860776","0,1147,1148,4413025,1139,1141,13431432,9074375","1141,15187182,15213216,121,19601646,32845516,24446622,13502774","0,1151,1149,4413453,8825674,37276376,40084356,37814636"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,3138242,0,3166513,0,14304162,10194805,22861714","0,0,0,0,3041670,3041923,29425194,16330754","0,3186656,0,0,0,9169877,24405352,0","0,0,0,15203096,0,28491268,35674304,42425300","0,0,15185917,19614500,24007418,24020306,51124276,53559784","0,0,0,0,0,28450698,31162086,44711352"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,6356305,3575928,23802058,13063312","0,0,0,0,3042774,12173987,32681412,35928472","0,0,0,0,3164815,15259926,24386374,19657108","0,0,0,0,4412535,0,64601432,13516995","0,15189024,15188768,24045128,15192142,28423828,26645212,42267040","0,0,0,8825885,0,41691864,37772248,49196576"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"19356098,19579550,19784612,23140820,26498890,32198740,32711476,54049432","19371098,19578174,19784100,19992300,20200158,43493316,35447916,50863672","19401092,19617336,19833360,26323072,27698320,31485292,56697292,69131440","96716088,97016040,97316304,97616464,97916648,99417488,137630752,151177424","96731104,102546104,102848144,97631432,102313776,121344216,151007152,115799248","96761104,97061184,97361320,102043344,102346688,121372968,137627136,143889568"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"16240,13387,6313646,3164481,3191449,10779434,10219845,13082758","23356,20335,3061555,9124316,6091655,3062376,29428928,16351646","33005,35636,35547,6344281,33732,6139770,24422724,36049936","80223,89554,88444,87360,84711,82048,17855236,38044392","117780,15284880,19695492,112024,15283286,4523271,35676760,64726008","169767,176807,172901,8995774,168833,41842776,40174072,53833300"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"15218883,15218880,18366368,16742157,21550522,40344712,15219994,36569368","15226893,15226842,15226941,16738437,15227117,41065232,18499636,28295708","15242891,15242845,15242928,18401156,15243112,15243558,24382754,34895608","76058880,76058888,76058976,80471000,76059128,76059584,84944096,115228784","76066896,76066864,88064496,92473728,96881424,101302424,89462152,120838848","76082896,80495344,76082944,76083048,92522576,114578832,93895808,76084488"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"704,1616,1755,3049798,3157365,7148390,26147854,3269487","1359,952,3043814,3034955,1305,18258686,22878986,42470056","769,1595,1655,6321367,1309,15271670,12187828,34115160","1802,5960,7340,6754,4419441,4415946,4052,60362252","5774,15194067,19601170,19606828,15178757,13241530,22161026,58063500","1615,2038,19634148,19637146,24049112,8829802,44460700,35744664"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"61,3151232,81,133,143,21307620,16341101,19605892","75,70,3043208,6072896,12130486,12155381,22879440,19604070","91,112,3164561,3164296,6105692,6098972,15257926,32752868","341,383,392,515,15252746,19629528,22162482,26826476","314,15262830,19597730,19602986,24021348,46080776,31206682,60195532","310,15222541,15237131,24033900,8826322,22061748,28784714,44876924"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"11,26,15,23,3154742,24962430,9801602,22868668","11,32,3045037,13,9112123,21273204,13073833,32707316","6,18,3044029,3056060,6111069,15254862,21336940,16366858","27,106,4411660,170,153,32824176,22265740,46967204","4,15189506,15189763,15498688,0,32846356,13279271,51175384","0,15223597,19638210,0,13235664,17649860,51099612,31419908"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"445,422,3148156,537,516,10711630,22870962,35930600","539,488,429,9101142,6085666,6081939,26147724,29444438","405,3177377,3044123,439,6103885,484,475,19648888","1481,1262,15167400,1567,15194005,1686,1677,8919762","2243,15183824,19598206,24019484,28419692,28429674,42225548,55631788","1408,1341,1706,1551,1591,41689128,68890704,40213044"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"9,3,6351772,6075592,6292577,21405470,26117996,39226184","0,113,18,3034782,3042031,21290876,13082721,54","2,3049945,3045237,3049209,6105891,27468736,24388720,29469542","381,849,1225,15199998,19624622,15185789,4454674,51203476","0,4,15187416,15183138,19601116,41654056,4413743,1","1,15217438,19642856,4412469,15222990,46102820,51081384,51293596"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"19356088,22703364,19785624,21077150,20212704,35697420,51642324,49509432","19371096,22604190,23920608,26034850,26244112,39349720,48447580,60632716","19401100,22637964,22840062,26085084,23263758,36420496,49543552,63504748","96716056,97016120,102821280,103155376,97916560,126840688,142136160,130425536","96731096,102552080,106094688,106397304,107822824,135631040,145119312,134882656","96761088,97061200,107285848,107592704,116658224,122524712,128858800,138157888"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"0,3150021,3157785,0,6296695,14289139,29381916,22865468","3,3048927,3047989,3033962,6083280,21281086,13085136,29365398","0,34,8,6111484,21,21354790,18306068,42593428","7,20,85,19616266,4412537,28439876,37641232,64719072","21,162,15191053,15180574,19600088,22061304,55535688,73664016","59,15219584,217,19639814,239,24039968,31156630,40155668"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"15218890,16734597,15218947,16732682,18259984,29625396,39817112,21750094","15226896,18283552,18269468,21297300,21306440,25861860,25035600,15228485","15242899,18296258,15242941,15243061,21345156,33506262,33539626,28344724","76058880,83659192,76058960,83661640,88045744,89297384,98199752,111778472","76066896,83714448,88062032,88059312,89307136,96972064,120595376,115365488","76082896,83692632,76082960,76083064,96933160,110160512,119554096,125216600"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"0,0,6073322,0,3038215,6075819,19614828,13056254","551,0,3041631,6075092,6081027,6080375,19616276,26137452","0,3050998,0,6103265,9179439,21362602,36599448,13092197","195,15178909,15182360,4412631,185,15204912,26537244,73663824","2984,15183994,15188126,19596404,24012726,32850604,28846394,4460830","197,15227856,4411690,477,19636324,50516004,42174872,31313062"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"13393,3049047,3053348,6095505,9138110,21312996,42503084,36009024","129598,3107414,6125858,9186656,12213823,18342308,32786812,42549956","162099,3205255,6249256,3209729,3219202,21533564,24651410,29662236","71865,70684,15277027,19664718,93581,37321652,60056120,64708040","713968,15442776,15463115,9127002,303140,37584580,69225328,49491468","836446,15976800,15955283,24809986,20423250,46889296,56450816,54576472"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"3539,3046624,6073740,18000,17285,9162282,26168112,35976328","6438,3054086,6088398,3047027,9133973,9153738,32776860,32703508","6154,3803,6095496,9158821,9169139,27484218,48836,26238174","30070,15212216,21861,15210014,24054166,32887898,70111,49271772","13094,15204525,15202720,25436,8844581,32885180,13387532,17936130","16253,14366,19635630,19661896,19666018,35355608,69002872,64915544"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"1167,6009,3039813,2336,3044145,9112344,32641312,52247920","4426,5022,3041306,6085630,2340,9121086,13082834,45726380","4495,3051299,3044591,1413,6103857,24416530,6103405,32733178","20958,15215258,19580514,21987,24033596,24071736,17912360,46890100","67,15191446,19603254,15185874,4412000,41656592,60161964,69144824","21,21,19631162,15235382,28466336,32867472,42273876,49043428"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"4158,8616,7952,3049388,6094098,9156707,39206776,52282988","16969,3061818,3060220,9138478,3067255,27397510,29521738,32695258","49072,3097257,3088734,9196654,6160575,18363252,36681240,45970456","19077,37127,19601782,15232616,15265386,86679,60156076,31397974","87389,15264190,19683476,8916929,24115132,46200896,60026060,49305724","251219,15434864,15437710,9066852,24279380,46362804,9189135,60593972"
CYCLE_ACTIVITY:STALLS_L2_MISS,"1543,7520,3043954,3049403,9132010,12202054,16360154,39266776","2252,4373,3046397,6084913,3051861,24346688,16396624,55562984","3128,3053241,6102638,9153349,12219499,15289614,47896,32776230","17106,15199600,15190496,35045,28473804,37337192,48972260,69333424","4967,15187979,19609552,13247314,24026986,24061688,64537024,46808600","7374,15227496,15230235,24062736,28480182,35328244,31396860,64730932"
