Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CPU_CYCLES,"3344,16599,23876,27303,43834,137607,113909208,325232928","4037,32043,68131,53283,73685,356537,113664488,143467824","4567,43729,47998,61248,57770,361355,172416096,275339840","3888,24052,22734,52667,39314,213476,228261680,502698176","4665,42334,64853,87582,70494,190110,114066032,263594112","5361,39681,47218,53522,78259,371557,235396912,281059264"
perf::PERF_COUNT_HW_INSTRUCTIONS,"2018,2868,3310,3885,5254,10844,22705,42288","2256,3181,7821,4641,11131,25960,34432,21352","2915,4194,4761,10254,10206,26015,22398,54368","2018,3028,3297,5914,6459,13089,39386,29343","2254,3562,4520,8675,5676,17609,18453,38594","2915,4068,4686,5214,6331,38244,19954,34843"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"385,381,501,599,1243,2376,8156,22843","394,683,1170,1039,1293,8963,4333,13191","561,937,1033,1387,4984,12808,15458,13980","385,682,978,3040,828,9877,9440,12627","389,787,4622,4346,1284,13425,13671,13022","561,896,1020,1131,1398,17876,4260,23960"
perf::PERF_COUNT_HW_BRANCH_MISSES,"2,7,107,17,557,63,5019,6074","2,8,14,17,3812,2438,1392,7067","3,9,12,21,4488,13989,71,112","3,7,528,11,20,4418,10499,2468","2,7,12,18,20,6386,77,15657","4,8,12,15,4096,6256,77,13297"
perf::PERF_COUNT_HW_BUS_CYCLES,"11,84,135,195,384,4338,4688,8813","31,279,573,509,710,3336,17468,11954","16,294,406,3523,4376,10423,4416,19751","12,267,130,1633,763,6978,2096,22238","13,296,506,2760,5351,5084,5063,9533","18,295,398,494,2646,3427,4628,11908"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"1220,9352,14623,21416,42868,104500,195791,360671","3445,30402,59788,54399,59192,97297,238380,306514","1749,24094,70999,66775,71063,115109,196300,353047","1404,29041,15163,43189,38836,125922,210316,297611","1436,31114,55144,52801,82512,146232,213235,295128","1998,32140,43588,53211,75351,119824,238140,296751"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,0,0,0,0,1857,14047,1997","0,0,0,0,0,0,0,0","0,0,1253,0,2397,4761,3733,0","0,0,0,0,287,2742,0,0","0,0,0,0,0,5458,2894,9534","0,0,0,0,0,4593,3094,0"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,1077,4310,13341,13513","0,547,1767,248,1191,1232,13578,8846","0,0,0,0,0,0,10857,28923","0,533,0,0,0,11506,0,0","0,0,0,2098,0,8875,11543,13653","0,0,344,360,1125,746,16513,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,2674,3637,3937","0,0,0,0,1146,6050,0,6076","0,0,104,0,0,1950,0,7703","0,0,0,0,0,2795,1663,0","0,0,0,0,1019,5119,9036,12538","0,327,0,0,0,8707,0,28637"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"486,475,713,874,1077,8484,4904,12192","546,540,726,908,2448,4437,24985,22394","670,917,915,6288,2228,13456,4152,17614","486,1595,654,3294,1089,1999,3698,4350","541,746,763,3291,1123,16696,13181,4834","670,687,873,970,1238,12458,21371,17969"
