Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CPU_CYCLES,"3545,31181,56386,43740,59934,334278,235281824,376759072","3986,31122,37201,73254,60526,323799,228145664,145641936","4590,31354,38781,44808,58520,324014,113248560,207563408","3590,12746,16483,45249,31604,360803,114057984,155969520","4384,35204,36868,63359,67618,173322,114031232,112594960","5101,35684,38874,42984,51904,245385,237155232,7290867"
perf::PERF_COUNT_HW_INSTRUCTIONS,"2018,3411,6246,4821,4738,19776,30489,41319","2256,3036,6657,8052,7824,26654,33816,49407","2915,3594,7301,7846,9378,23111,32352,26615","2018,1865,2738,4922,4584,42413,28029,46986","2256,3229,3641,8272,6065,18112,31706,46286","2909,3870,4230,4799,5335,18861,23091,47378"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"385,606,1365,2067,5815,3413,18853,39268","393,566,3562,5859,1068,14745,24136,27757","561,757,908,1022,1214,2404,4961,20582","385,352,1036,1878,1184,11868,14649,19096","393,710,821,6701,1166,1726,10612,5976","561,866,4236,1019,1123,6027,14522,26255"
perf::PERF_COUNT_HW_BRANCH_MISSES,"3,7,11,566,29,7683,2502,5019","3,8,13,26,3409,71,5600,33692","3,8,12,16,464,376,80,106","3,810,11,13,780,8558,10644,4684","2,8,3698,15,20,2743,3893,118","3,9,9,3840,3445,10615,4488,112"
perf::PERF_COUNT_HW_BUS_CYCLES,"15,280,578,607,5334,4215,19947,12940","16,225,390,3417,4931,1744,5884,25023","21,279,3225,3208,576,1442,2752,26756","13,151,124,357,863,4919,2815,3597","13,286,4125,654,492,6186,10960,2999","17,286,3177,3223,553,6964,2712,11985"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"1760,29343,39625,57834,78577,109453,256921,369320","1879,24418,40894,74936,79293,114507,286382,392477","2289,32421,27264,62465,62650,153509,279342,354765","1501,16243,17884,45694,35521,121181,190732,412970","1425,31168,41936,72565,42120,124960,261716,322003","1900,31914,26060,51742,60575,201582,288835,390927"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,0,0,0,3534,547,0,7822","0,0,0,0,0,2810,11124,0","0,0,0,0,0,515,21064,13363","0,0,0,0,0,2253,4812,2073","0,0,0,0,0,10911,6724,8283","0,0,0,2400,2358,2939,0,9332"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,598,1836,0,2811,6458,0,7322","0,0,0,1718,1362,10595,21199,21084","0,358,0,0,0,5856,0,22291","0,805,0,0,0,3188,4921,4550","0,0,2400,0,887,3439,3066,0","0,0,2286,189,0,5451,1833,16083"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,948,3987,3169,13079,3239","0,285,0,2702,3189,2150,0,25646","0,0,0,0,0,6458,9061,16937","0,0,0,0,0,0,7155,21401","0,262,0,0,0,2912,0,7492","0,286,3524,0,0,0,0,19709"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"486,499,5090,897,2510,2064,3754,23356","541,559,1584,918,3500,6069,16073,27855","669,909,2372,1038,5263,2269,7260,5046","487,520,716,888,2362,9554,14373,33823","545,562,737,2703,1128,3778,20847,4922","670,694,3186,1012,4549,9960,26368,17618"
