Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CPU_CYCLES,"308858432,321948960,332303680,345702304,359654304,718427520,826286848,944052864","619092544,637606336,657378304,678475648,696497600,1360552320,1544114944,1664930560","1335454080,1387728768,1438079360,1479159552,1525129344,2622378752,3081425920,3413171712","1539026048,1568934016,1590637952,1626741376,1661781248,2778108416,3149890048,3457640448","3044172288,3070602752,3112954368,3146752512,3188993536,5271501824,5628932096,6664409600","6345866752,6362512384,6419264512,6456888832,6509178880,6777840640,10769452032,12765740032"
perf::PERF_COUNT_HW_INSTRUCTIONS,"796069248,771048576,779575424,772467456,788403392,798629888,802552128,804660608","1592670336,1593467648,1594272384,1572487552,1560169856,1602362368,1605632512,1606876672","3218872320,3221413120,3158206464,3225669376,3162534912,3247519744,3250402048,3256563968","3957909504,3833450496,3875553280,3897173504,3910520320,3923160576,3956030208,3948709120","7874510848,7876359168,7877982720,7754344960,7686425600,7888722944,7825004032,7870242816","15740712960,15743064064,15745441792,15274415104,15381124096,15581760512,15690135552,15722982400"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"36577612,36677532,36773288,43962344,36987256,63050292,39485880,61195976","73093728,73320088,73540632,88421968,86048272,127804952,88308176,106678416","149125856,149834352,150476896,216881840,179110800,250637360,219277776,255442560","180817920,181190800,181492624,216341168,237604256,234457984,224121600,346147776","357334400,357836672,358347072,358831328,359358592,552261376,610264960,581692992","713367232,714080320,714698176,856883072,829853120,838098624,1085419648,1030523776"
perf::PERF_COUNT_HW_BRANCH_MISSES,"1173,1182,1373,1409,1339,1496,9109201,11507843","2246,2311,21240080,16439182,2636,76245696,56842952,15133197","4399,4519,5283,4807,29991578,64243724,176908336,49057780","1518,1844,1794,1628,1737,2361,124712240,99974944","2905,3018,3155,3124,124494888,261664896,45150824,291196736","5650,5807,6070,158633680,127995600,198565344,297707136,395365376"
perf::PERF_COUNT_HW_BUS_CYCLES,"2003933,2167358,2217759,2340802,8913928,11029136,5027028,24674662","4103778,4438110,4560729,4830725,4935790,22589200,38636776,63565800","8952230,9803615,56877752,10759375,40856728,70243344,204082544,138042864","9951770,10675873,10842406,11407061,42904016,50035532,108990016,107128552","20116358,21455996,21717632,22587636,22899236,62199720,222430208,240621824","42458248,44982756,45395668,204726224,301467712,115114712,355818144,422747616"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"216493728,233946960,239587232,253347040,260907008,507986688,549329536,621901376","443023168,479806624,491426656,522682688,538676352,1019311232,1138465536,1201064448","966967296,1058534080,1097792128,1169956224,1205039104,2073033088,2449961728,2631406848","1074778368,1170569856,1174087808,1229103488,1251424512,2157974272,2493808896,2673866752","2172409600,2316871680,2342983168,2437940480,2473490944,2631718400,4735664640,5458712064","4595848704,4861044224,4898563072,5113132544,5168532480,5352129536,9074409472,10566189056"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,164,0,0,6536131,19121318,31882490,26853622","0,0,0,16431677,0,38674172,47393908,37765084","4,125,161,58,29970028,77798432,128991152,147502768","10,74783408,101206640,116049024,31480320,61071136,119645968,66580600","10,17,316,0,62234072,33748668,160958960,305322336","25,78,190,188,190,333168448,307593024,393833024"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,15176245,10349889,7974149,0,25437656,18228964,15324029","0,0,42485904,0,0,0,28397174,22653564","0,0,0,0,30123524,40223800,83820720,0","0,74778832,50505032,0,0,32468388,16002069,50640048","0,0,0,0,0,32867290,135357168,169609440","0,0,0,0,127955152,0,610820352,528369056"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,7976693,0,31178790,18224748,11496237","0,0,0,16439475,13423462,31124506,47402412,45356932","0,0,0,0,29966662,52659304,81866224,49067824","0,74776856,50509660,38752600,31464436,34202936,194706816,136331136","0,0,101150032,0,0,0,116283248,237468704","0,0,0,0,127852480,198776112,435577856,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"443575232,443624768,443677440,440825248,443780192,443324864,454050752,455594752","887618240,873561600,887838400,887960576,888065920,888611520,890698368,902761600","1793704192,1770925056,1794358912,1794645376,1794970880,1796462848,1858694400,1814752512","2205695232,2205880064,2206024704,2206231296,2206428672,2190268416,2261465344,2278345728","4389737984,4389990400,4390213120,4390470144,4390737920,4359887872,4394683904,4513587712","8775824384,8776158208,8692450304,8655041536,8731040768,8758231040,8784142336,8941314048"
