Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CPU_CYCLES,"30408074,62983832,94140800,126483240,158059536,350092064,611675264,761197184","30536208,62126280,93799496,125674968,157520608,327319072,563660992,744655232","30527546,62492180,94113072,125841024,158501440,433218976,531697504,840538560","151989120,196363872,240777648,284799360,328767008,585727104,855685312,1076722560","152544144,196688224,240802352,285126848,329057344,583415872,908960128,1079191552","152473440,197237760,241285584,285417504,329658336,588661120,851230656,1089757056"
perf::PERF_COUNT_HW_INSTRUCTIONS,"48282636,49829144,54330856,55874516,54333396,70374392,95808960,114662872","48311916,49763840,51214280,55680936,54131340,73145072,85441944,91531032","48369688,49878328,51396364,52887676,57443572,81452368,100680784,82312744","241282480,243383776,245484576,251787616,240792544,264382752,266302336,306661312","241312720,243411872,245512400,238716544,240833232,251294768,287440768,336519968","241369568,243470944,245571504,247672144,258176768,264479152,274664960,319546272"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"4374625,4829618,5237348,5672429,9239587,12155414,21705332,30622182","4378858,4792044,5204282,5620107,6032210,18041972,26291976,12723149","4386609,4817237,5250868,5682845,6108614,15302232,26346084,34926792","21854510,22455710,23055880,23656020,28608010,57717440,69638800,72984752","21859676,22458604,23058712,41010040,24258962,53321284,43523208,55317464","21866486,22467770,23067900,23668064,28620826,31621386,52277380,33270992"
perf::PERF_COUNT_HW_BRANCH_MISSES,"30173,30226,30272,3210359,3202788,3654928,35695032,19639418","30210,30202,30242,3072177,3070701,19641210,19643860,30504","30179,30193,30259,3194267,30297,6639057,13130874,3302471","150786,151140,151046,4563323,4563778,8977099,13688552,17988384","151098,15334066,15313494,151015,19737324,150986,51157704,46862116","150773,150961,150987,151091,151035,4563193,4610263,17995396"
perf::PERF_COUNT_HW_BUS_CYCLES,"223469,3585597,729631,4078998,1157371,2736370,20399524,21022016","224540,3465543,669141,895452,1117409,12085356,13338291,8046397","224176,458107,690578,924183,1156436,14343952,32859460,27555754","1118355,1532380,1945545,2395374,17915780,17971654,15622987,48775880","1031247,1442852,1851657,2248338,17788084,19834822,11240421,35353864","1029153,1472353,1876486,6671757,2714826,9217153,35338536,26641756"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"24130786,49186764,74447976,99835184,125130192,272237952,419358400,525055296","24244964,48893436,72927560,96652240,120696272,242821968,395586624,520469440","24207316,49472672,74552392,100313928,124875888,245310336,391347872,521222976","120588440,165670352,208947728,258809856,294539232,516653824,757452480,973377216","111351184,155614224,199576992,253926272,300450592,530420832,737910592,968051712","111179968,158823488,200352560,247770320,294948832,520972800,731433280,965043072"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,202,3171849,3181053,202,201,7151176,48939424","202,3040796,3043005,3046344,0,15216094,19630076,19619522","0,207,6344722,208,208,6099859,16372734,29464086","0,1147,1148,1149,8825966,13237341,28782106,17969544","1141,15188326,15189987,15187307,28415604,99,13327137,62485112","0,1148,1145,1147,4413248,4411947,4534488,33377878"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,3172011,0,12608977,17846590,9801182","0,0,0,3042236,0,6082580,16347883,9801994","0,3170287,3163382,3171359,0,21344356,16385595,39266176","0,0,0,0,0,22061048,17823528,17882192","0,0,19598094,19601340,0,30932896,39978328,33426038","0,0,0,4412905,4411742,19642364,55600660,46801336"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,3144414,0,0,0,6813898,10711510,36284584","0,3037784,3041256,0,3038786,3042446,6535949,32666004","0,3184589,0,0,3169463,9199422,22934962,26203604","0,0,0,0,8823686,0,50952908,60151112","0,15179923,0,19612724,15182880,22060344,22262306,26807652","0,0,4412154,0,0,13236083,40068744,40154680"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"19356092,22698714,19787648,20004806,26531394,34943844,43329112,30042108","19371100,19577848,22801044,24126948,20200708,33323404,49774576,33291898","19401088,19616846,19831036,20045020,26520754,43572292,51771144,46333112","96716080,97016144,97315992,101998256,102299224,103799440,133219440,102419216","96731096,97031136,107229584,111901104,107821032,121354512,155530528,151311584","96761104,97061176,97361328,97661424,112277376,125754992,159837696,161575024"
