Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
perf::PERF_COUNT_HW_CPU_CYCLES,"379914880,262579248,340894784,294679616,340435072,593586624,1357943040,1752627584","2472923904,1368794752,1108024576,1029622272,1153193856,1571109632,2169420032,2561235968","19187845120,10201013248,8746322944,6435304960,6024456192,6236261376,6278424576,7312242176","362953536,416235424,406467264,287651904,373201632,695634304,1439822848,1724726912","2427397376,1370584832,1179530624,1025542464,1197012224,1313213184,2359869696,2512463872","19302060032,10875347968,7724512768,7238824960,6491877376,5433477120,7005866496,7879739904"
perf::PERF_COUNT_HW_INSTRUCTIONS,"521896512,313074496,247012816,213200336,197103136,190929888,225920176,260080304","3559125760,1965602816,1445631232,1195315328,1010534016,755588608,832046080,834194368","26428805120,14033502208,9983789056,7785549824,6570874880,4461198848,4556131840,4522444288","521895520,318645344,252682960,211607568,193611680,194330880,270630880,291919904","3559089664,1965407488,1410717824,1191335680,1017246336,773751680,776923712,802406528","26429224960,14034198528,9740535808,7956145664,6456054784,4465769472,4494699008,4808748032"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"25776270,21253190,20084322,24082676,19534142,51411072,112280896,33675840","120794048,92634320,175951904,86778440,77435768,81927320,133186112,123872912","693916288,504727616,1243135872,400103936,867606208,282554656,306773344,320226528","25775860,55825108,19958260,24087344,19604788,50991512,77727880,135349568","120793088,92612960,82525320,78177848,166111968,70235216,224855120,149454768","693909184,504705024,1144953600,986244608,858730624,303934048,356663296,1054340480"
perf::PERF_COUNT_HW_BRANCH_MISSES,"153702,136777,4552823,132345,14515019,8964550,48470596,10115869","672438,465848,433643,4796895,4824802,28289062,148145200,368958","2953264,2154600,1776736,628836800,560811456,1088895,633177728,14824370","152552,143686,136352,131694,135041,132995,64794004,94137672","672821,463737,108087384,387508,104887856,107042960,9235149,22028546","2956135,2161896,760538112,1472608,544921984,465525088,63151000,67983456"
perf::PERF_COUNT_HW_BUS_CYCLES,"2762752,2088042,2880165,17874444,2750922,13653958,67633488,57057160","17616300,9962075,8736275,17179496,111813520,18499436,189369792,24712384","144777488,1075312384,800695296,53209680,57846632,47538188,102432464,95693040","2551188,2960864,34305688,17383360,3153604,29378836,43313644,30245622","17202008,9939473,116045352,8253961,107206448,14569506,157531104,68899928","136730560,1086226816,808614080,48745160,48703092,70554912,535066016,719894272"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"296912512,222412320,318024384,262964256,298356064,537028288,1209978624,1412157056","1901315712,1078338944,944729984,896970752,1038829184,1362269056,1838708096,2110026496","15701753856,8271044608,6167251968,5392443904,4831233024,6801914880,5244330496,5338492416","275566144,327595488,331085632,285786528,339672672,633813952,1271062016,1509632256","1859420544,1071156416,989764480,889203392,1011171136,1109742848,1844683008,2155485952","14762039296,8155889664,6290180608,5384035328,4792327168,6677775872,5289552896,7151924224"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,176,4413486,20919440,219,8911994,30542028,21541430","3,89,48,94629424,144,27343052,8834755,130717656","519,1029580672,224,634553728,4412641,15875901,473,572168384","0,101,3,0,8823753,26806790,98258064,4456097","0,80,4413926,93494688,99774672,106807736,37677272,115655184","268,1019825472,760998656,4412553,548612032,4414194,19256068,528492992"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,4412227,4412795,19960678,20753586,0,44460580","0,0,0,90860224,107143800,149408992,27283220,13441507","0,0,8895683,632984448,555036928,4414424,495546048,549252992","0,0,0,4414369,4411809,4413829,103792496,59967128","0,0,0,97892016,0,8827060,45972436,49956904","0,0,4412469,4412423,4412288,528530848,54200928,88938352"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,8826922,4412279,4461856,12493805,84605296,33503750","0,0,0,4413285,5620941,23914048,148305232,87676304","0,1030650752,0,8825394,557513600,764345024,37332076,70300552","0,0,0,4413848,4412682,35859000,77464568,112240912","0,0,4412539,8826219,13238934,5931339,144093328,17776660","0,1018549568,756059776,4412464,4413687,34478632,0,12602117"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"197710240,115960752,89394024,80823728,71856704,66977228,114075376,93834552","1327498368,727689600,534679360,484012640,418359232,285315424,287197184,326576288","9777367040,5712532480,3731195392,2997885696,2461206528,2239185920,1662655232,2012417792","197707920,115955480,89327032,88072464,67472360,98684480,117666776,108771416","1327536384,727691712,539085440,443225600,369636544,281527712,267090400,300740352","9777454080,5703276544,3731238144,3323052544,2465837568,1982259200,1965748224,2258935808"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"63133516,37710616,57199712,30211110,38862732,37127000,76852048,23829340","418642528,233637152,177450192,154153840,133065256,158545680,122459984,250727648","3099471104,2519590400,1846395136,1017114816,836538368,584035456,609565120,614218176","63312440,56152360,42949716,37835912,48716748,31292332,26849024,39381496","418272128,233622624,177701088,224015200,140999200,102587536,130170280,148401312","3099844096,2509346048,1858155264,1545609856,1300897152,576807232,596399488,572741696"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"30298806,20997180,42814872,16282266,15420181,49734076,85558160,18707306","142002208,90330056,73506312,151342496,68478024,58471244,160068880,119379280","820657024,478570816,1075042944,911099264,799294400,239280992,294944960,223320240","30283972,21004240,17954866,33910968,33410032,27507052,125648424,114963880","141960064,90355608,73537880,73264624,162127520,61145192,150246704,175602208","820755136,478822464,1089970944,904792960,277064000,650354112,246155776,1035883328"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"103947,130653,8957813,20072456,131404,28202838,38525600,30619306","308447,348907,342430,95623632,85572864,380874,158986384,13751546","1283146,1136840,1087462,631388160,551622848,14319296,9874404,27608650","98816,128374,125742,124752,8953194,44120888,70483792,87730656","296974,337626,337236,4729739,103475136,16814736,58492608,160000640","1166635,1157297,758284352,942712,920340,39810336,30683718,14484765"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"15976896,4253673,1628477,5374874,5321801,18499900,63893548,36202588","114231768,168477072,22808040,20416006,17775988,96639264,100764816,62723392","599990336,268152272,860551488,714559232,73621008,81979600,130106584,152916592","16283605,4376381,22124140,20182698,9920393,44929468,20510902,36860260","114774952,42619920,23822382,16340920,13738939,105042568,142548752,116315568","641364608,250126048,883053184,110975296,621573504,74936664,836879424,68562032"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"184860,129170,9311678,4767248,24991,4479291,64573528,82078120","963374,620099,5267657,733091,85716400,39295476,213461664,1164964","30207164,1048069632,18413642,636190784,565836416,707720256,603219008,560241088","7369,22178364,16510805,4954,28501946,35358032,9107115,86476528","882779,711039,578233,4997519,108879280,16284379,22246140,191339232","26259876,1038345344,769684032,11704323,20030848,27020298,26733824,61395808"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"780120,1053335,834272,16151106,15386299,9617665,745900,23199194","4410746,4416420,3781361,101313128,90668880,3233699,62063112,134135960","26675652,25712944,18686526,632631680,21509820,28572236,44521292,43092440","916099,5498229,21725358,24424468,28872170,32338166,57445876,142801216","3747203,4487396,116809512,12388970,3730796,7695461,81000552,25576984","31788428,1036975808,771496064,638570368,22382176,16660706,38228300,69598952"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"123151,21728236,25752242,43262,4780904,13295608,108236392,9622958","437299,470909,462797,91242832,87001368,86020048,18892730,53050264","2348159,1036232320,747380096,6408739,560505792,19635196,33682516,3613501","5834,8625,11470,6897,32702682,43480852,64338484,118151640","466966,469432,109341016,93826016,1365533,5582090,205633984,170645888","2219202,1024163648,6548214,626875712,6394186,479858944,496391072,39189896"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"197691664,115949072,89382472,76434384,71869360,59071500,136743440,87109040","1327526784,727686720,587717504,484853600,369295232,280403232,281784096,320785408","9777354752,5717295104,4108328192,2997840896,2461250048,2164658432,1699468032,1952754304","197712048,126595952,96953784,76435056,67467304,95826840,97527008,148939360","1327501696,727661696,534707136,488549952,437361920,333470848,304527936,311900928","9777408000,5703801856,3731075072,3328684032,2456920576,1644708352,1707252352,1679569920"
